DLiP-ID,T003Y1
DLiP-Mol-ID,21001
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H32N2O5/c1-24(2,3)33-23(31)27-25(17-18-10-11-19-8-5-6-9-20(19)16-18)13-14-26(22(30)32-4)12-7-15-28(26)21(25)29/h5-6,8-11,16H,7,12-15,17H2,1-4H3,(H,27,31)/t25-,26+/m0/s1"
Standard Inchi Key(RDKit),MPUGQWNNSSZDQI-IZZNHLLZSA-N
Canonical SMILES(RDKit),COC(=O)[C@]12CCCN1C(=O)[C@](Cc1ccc3ccccc3c1)(NC(=O)OC(C)(C)C)CC2
SMILES(SDF),
MW(SDF),
MW(RDKit),452.551
MW Monoisotopic(RDKit),452.231122124
MolLogP(RDKit),3.9738
XLogP(SDF),
XLogP(CDK),4.353
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),84.94
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.709751549546786
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cyclophilins
Common Target Pref Name,Cyclophilins
RDKit Descriptors
Ipc,21902231.094387725
qed,0.7097515495467861
Chi0,23.855160383312143
Chi1,15.583901197868666
TPSA,84.94000000000001
Chi0n,19.77254761926594
Chi0v,19.77254761926594
Chi1n,11.479585617240826
Chi1v,11.479585617240826
Chi2n,10.150788533363384
Chi2v,10.150788533363384
Chi3n,6.734007540105441
Chi3v,6.734007540105441
Chi4n,5.244569529106657
Chi4v,5.244569529106657
MolMR,124.68070000000006
MolWt,452.5510000000003
fr_SH,0
Kappa1,23.081117494827883
Kappa2,8.357294509438912
Kappa3,4.283481375537272
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1091.5239371005975
MolLogP,3.9738000000000024
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7062164354663099
SMR_VSA1,23.85733745981556
SMR_VSA2,0.0
SMR_VSA3,10.216698334856808
SMR_VSA4,0.0
SMR_VSA5,69.5542210294523
SMR_VSA6,13.65455394719011
SMR_VSA7,48.02802097092827
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,193.96183178747594
NHOHCount,1
PEOE_VSA1,19.690424242456906
PEOE_VSA2,4.794537184071822
PEOE_VSA3,9.589074368143644
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,42.46456947923127
PEOE_VSA7,62.7903980114025
PEOE_VSA8,12.965578028838586
PEOE_VSA9,7.109797541277533
RingCount,4
SMR_VSA10,28.742173517171363
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,452.23112212399997
NumHDonors,1
PEOE_VSA10,16.67890131575038
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,12.062545358890265
SlogP_VSA1,5.316788604006331
SlogP_VSA2,53.20309008203273
SlogP_VSA3,25.48362189866975
SlogP_VSA4,0.0
SlogP_VSA5,52.01794958247291
SlogP_VSA6,42.46456947923127
SlogP_VSA7,0.0
SlogP_VSA8,10.772448428929591
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,22.772141386688794
EState_VSA2,11.876485017303356
EState_VSA3,32.22804289761662
EState_VSA4,22.756721543552597
EState_VSA5,7.109797541277533
EState_VSA6,25.67112132992235
EState_VSA7,42.46456947923127
EState_VSA8,5.316788604006331
EState_VSA9,9.473725907600098
SlogP_VSA10,4.794537184071822
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,77.25
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,2
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,14.383611552215466
EState_VSA11,0.0
FractionCSP3,0.5
VSA_EState10,0.0
fr_C_O_noCOO,3
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,1
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-3.0899999999999994
NumHAcceptors,5
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,33
HeavyAtomMolWt,420.29500000000024
MaxEStateIndex,13.971437232300326
MinEStateIndex,-1.2017343395691618
NumHeteroatoms,7
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.0606060606060606
FpDensityMorgan2,1.7878787878787878
FpDensityMorgan3,2.484848484848485
MaxPartialCharge,0.40803747442446264
MinPartialCharge,-0.4672669754759412
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,13.971437232300326
MinAbsEStateIndex,0.2540112958763747
NumAliphaticRings,2
NumRotatableBonds,4
NumSaturatedRings,2
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,1
fr_dihydropyridine,0
MaxAbsPartialCharge,0.4672669754759412
MinAbsPartialCharge,0.40803747442446264
NumRadicalElectrons,0
NumValenceElectrons,176
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,2
NumSaturatedHeterocycles,2
Mordred Descriptors
MW,452.2311221240009
MZ,0.6205128205128205
Mi,1.1272775571630487
Mm,0.5796622326969506
Mp,0.653775918931368
Mv,0.6116795002270273
SZ,40.333333333333336
Si,73.27304121559817
Sm,37.67804512530179
Sp,42.49543473053892
Sv,39.759167514756776
nB,0
nC,26
nF,0
nH,32
nI,0
nN,2
nO,5
nP,0
nS,0
nX,0
ABC,25.99506049023722
AMW,6.957401878830782
IC0,1.4712743800114512
IC1,3.3631086756370525
IC2,4.538591321122693
IC3,4.983154351157151
IC4,5.160227812762181
IC5,5.221766274300643
MID,66.91614514495629
Mpe,0.965188536953243
Mse,1.0028460978206062
NdO,3
NdS,0
NsF,0
NsI,0
NtN,0
SMR,124.68070000000006
SdO,39.5313135462108
SdS,0
Spe,62.737254901960796
SsF,0
SsI,0
Sse,65.1849963583394
StN,0
fMF,0.3076923076923077
nBr,0
nCl,0
AMID,2.0277619740895845
BIC0,0.23548198612191468
BIC1,0.5382758792256624
BIC2,0.7264154891933469
BIC3,0.7975691684058374
BIC4,0.8259103201275919
BIC5,0.8357597400201965
CIC0,4.551093433017003
CIC1,2.659259137391402
CIC2,1.4837764919057612
CIC3,1.0392134618713031
CIC4,0.8621400002662734
CIC5,0.8006015387278111
GGI1,10.5
GGI2,5.333333333333335
GGI3,3.3402777777777777
GGI4,2.712222222222223
GGI5,1.6358333333333333
GGI6,1.2284807256235828
GGI7,0.9549319727891157
GGI8,0.69991654069035
GGI9,0.5165740740740741
