DLiP-ID,C1015I
DLiP-Mol-ID,36609
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H9ClFN5O2/c14-6-3-7(15)5-8(4-6)17-10-2-1-9-11(12(10)20(21)22)19-13(16)18-9/h1-5,17H,(H3,16,18,19)"
Standard Inchi Key(RDKit),GOYKPTVODBAOPR-UHFFFAOYSA-N
Canonical SMILES(RDKit),Nc1nc2ccc(Nc3cc(F)cc(Cl)c3)c([N+](=O)[O-])c2[nH]1
SMILES(SDF),
MW(SDF),
MW(RDKit),321.699
MW Monoisotopic(RDKit),321.042880428
MolLogP(RDKit),3.5894
XLogP(SDF),
XLogP(CDK),4.595
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),109.87
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.504114026303456
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Aryl hydrocarbon receptor nuclear translocator/Endothelial PAS domain-containing protein 1
Common Target Pref Name,Aryl hydrocarbon receptor nuclear translocator/Endothelial PAS domain-containing protein 1
RDKit Descriptors
Ipc,101684.3935193469
qed,0.5041140263034563
Chi0,15.853006672199017
Chi1,10.435560745775547
TPSA,109.87
Chi0n,10.930954333083852
Chi0v,11.686883279102307
Chi1n,6.095342782615925
Chi1v,6.473307255625153
Chi2n,4.5181328886891325
Chi2v,4.954568669161118
Chi3n,2.974042824303033
Chi3v,3.1922607145390254
Chi4n,2.1547166479624646
Chi4v,2.376498583133321
MolMR,81.8532
MolWt,321.699
fr_SH,0
Kappa1,14.083531974442574
Kappa2,5.1533670810372065
Kappa3,2.510979571724493
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,875.2629887475404
MolLogP,3.5894000000000004
NOCount,7
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.132939198361102
SMR_VSA1,9.313726096492491
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,11.050456081168516
SMR_VSA7,51.286007765860845
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,127.61050049218545
NHOHCount,4
PEOE_VSA1,16.034434602115724
PEOE_VSA2,10.114318268765572
PEOE_VSA3,9.374393568622029
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,11.600939890232516
PEOE_VSA7,30.33183534230805
PEOE_VSA8,10.710019588424888
PEOE_VSA9,10.440011766433933
RingCount,3
SMR_VSA10,45.644839430502216
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,321.042880428
NumHDonors,3
PEOE_VSA10,17.021307833345716
PEOE_VSA11,5.948339280986494
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,5.687386274683562
SlogP_VSA1,11.050456081168516
SlogP_VSA2,14.891268090712089
SlogP_VSA3,0.0
SlogP_VSA4,15.931539109811467
SlogP_VSA5,0.0
SlogP_VSA6,30.33183534230805
SlogP_VSA7,5.022633313741326
SlogP_VSA8,11.033401435232523
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,3
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,2
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,10.740531889863565
EState_VSA2,27.86244586171121
EState_VSA3,11.204086992299825
EState_VSA4,6.06636706846161
EState_VSA5,18.19910120538483
EState_VSA6,6.06636706846161
EState_VSA7,0.0
EState_VSA8,15.284745645900749
EState_VSA9,17.3346073673947
SlogP_VSA10,27.400913152712
SlogP_VSA11,0.0
SlogP_VSA12,11.600939890232516
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,13.355146905997376
VSA_EState9,44.31880037563269
