DLiP-ID,T000FG
DLiP-Mol-ID,15923
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H14N2O2/c1-2-18-14(17)8-9-16-10-13(15-11-16)12-6-4-3-5-7-12/h3-11H,2H2,1H3/b9-8+"
Standard Inchi Key(RDKit),BEKFBSWUSPGORQ-CMDGGOBGSA-N
Canonical SMILES(RDKit),CCOC(=O)/C=C/n1cnc(-c2ccccc2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),242.278
MW Monoisotopic(RDKit),242.105527688
MolLogP(RDKit),2.5839
XLogP(SDF),
XLogP(CDK),3.099
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),44.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.611089840795067
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CRM1/Rev
Common Target Pref Name,CRM1/Rev
RDKit Descriptors
Ipc,19990.760781877394
qed,0.6110898407950671
Chi0,12.794682450997078
Chi1,8.792024997884274
TPSA,44.120000000000005
Chi0n,10.114182975820825
Chi0v,10.114182975820825
Chi1n,5.731799768029766
Chi1v,5.731799768029766
Chi2n,3.6399345147031816
Chi2v,3.6399345147031816
Chi3n,2.3404122313160456
Chi3v,2.3404122313160456
Chi4n,1.5135400868396534
Chi4v,1.5135400868396534
MolMR,69.62600000000003
MolWt,242.278
fr_SH,0
Kappa1,12.106323039940829
Kappa2,5.816413911391583
Kappa3,3.0707190072955837
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,543.9314516585836
MolLogP,2.5839000000000008
NOCount,4
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.094149014670213
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,9.551078168738563
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
SMR_VSA6,6.606881964512918
SMR_VSA7,48.93201909551955
SMR_VSA8,0.0
SMR_VSA9,11.257379486545457
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,105.53745208346658
NHOHCount,0
PEOE_VSA1,9.303962601591405
PEOE_VSA2,0.0
PEOE_VSA3,9.77851570501903
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,30.33183534230805
PEOE_VSA7,6.923737199690624
PEOE_VSA8,24.0362700599644
PEOE_VSA9,18.62813003412592
RingCount,2
SMR_VSA10,12.169260177772298
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,242.105527688
NumHDonors,0
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,0.0
SlogP_VSA2,22.12726542120333
SlogP_VSA3,9.53140013787187
SlogP_VSA4,0.0
SlogP_VSA5,6.923737199690624
SlogP_VSA6,48.93201909551955
SlogP_VSA7,0.0
SlogP_VSA8,17.457334376365903
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,5.969305287951849
EState_VSA3,6.606881964512918
EState_VSA4,11.257379486545457
EState_VSA5,6.076020106833881
EState_VSA6,24.01811181206697
EState_VSA7,36.52867891392113
EState_VSA8,4.9839785209472085
EState_VSA9,4.736862953800049
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,1.7214814814814814
VSA_EState9,40.27851851851851
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,4.794537184071822
EState_VSA11,0.0
FractionCSP3,0.14285714285714285
VSA_EState10,0.0
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,1
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.3599999999999994
NumHAcceptors,4
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,18
HeavyAtomMolWt,228.16599999999994
MaxEStateIndex,11.150394183538124
MinEStateIndex,-0.3542026748971192
NumHeteroatoms,4
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.3888888888888888
FpDensityMorgan2,2.1666666666666665
FpDensityMorgan3,2.888888888888889
MaxPartialCharge,0.33172813146035307
MinPartialCharge,-0.4627858196657698
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,11.150394183538124
MinAbsEStateIndex,0.3542026748971192
NumAliphaticRings,0
NumRotatableBonds,4
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.4627858196657698
MinAbsPartialCharge,0.33172813146035307
NumRadicalElectrons,0
NumValenceElectrons,92
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
