DLiP-ID,P000AC
DLiP-Mol-ID,24572
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H25Cl2NO4/c1-2-19(13-27)26-22(14-6-8-17(24)9-7-14)20(15-4-3-5-18(25)10-15)11-16(23(26)30)12-21(28)29/h3-10,16,19-20,22,27H,2,11-13H2,1H3,(H,28,29)/t16-,19+,20-,22-/m1/s1"
Standard Inchi Key(RDKit),MUYVUHCWOCMQPD-CJXUKZFBSA-N
Canonical SMILES(RDKit),CC[C@@H](CO)N1C(=O)[C@@H](CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),450.362
MW Monoisotopic(RDKit),449.11606364
MolLogP(RDKit),4.9124
XLogP(SDF),
XLogP(CDK),4.144
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),77.84
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.628449069951481
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,HDM2/P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,4430745.07534034
qed,0.6284490699514812
Chi0,21.836134335324452
Chi1,14.349774308148644
TPSA,77.84
Chi0n,16.67069666846776
Chi0v,18.18255456050467
Chi1n,10.010046675792957
Chi1v,10.765975621811412
Chi2n,7.678529265876284
Chi2v,8.551400826820252
Chi3n,5.807753226203233
Chi3v,6.294826644330457
Chi4n,4.388736287179679
Chi4v,4.713451899264494
MolMR,116.75660000000003
MolWt,450.3620000000001
fr_SH,0
Kappa1,22.60176456289857
Kappa2,9.818058678275282
Kappa3,4.7981516131986215
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,898.3310461269648
MolLogP,4.912400000000004
NOCount,5
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.1606908244351293
SMR_VSA1,19.802129157825057
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,5.917906046161393
SMR_VSA5,44.18778977292597
SMR_VSA6,6.606881964512918
SMR_VSA7,69.70310615856953
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,185.7749072588407
NHOHCount,2
PEOE_VSA1,15.11296452053189
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,54.39108525400209
PEOE_VSA7,48.234014503092446
PEOE_VSA8,21.88107871980544
PEOE_VSA9,25.111385245734848
RingCount,3
SMR_VSA10,35.07836479776839
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,449.11606364
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,0.0
SlogP_VSA2,39.63817233149612
SlogP_VSA3,9.589074368143644
SlogP_VSA4,5.917906046161393
SlogP_VSA5,49.27285192717199
SlogP_VSA6,48.53093654769288
SlogP_VSA7,10.045266627482652
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,2
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,17.929052163261204
EState_VSA2,30.894630192099786
EState_VSA3,22.886909873334673
EState_VSA4,11.126902983393991
EState_VSA5,0.0
EState_VSA6,23.099010936235306
EState_VSA7,37.255572541998674
EState_VSA8,0.0
EState_VSA9,23.20187978046503
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,23.20187978046503
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,63.22206633650809
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,19.802129157825057
EState_VSA11,0.0
FractionCSP3,0.391304347826087
VSA_EState10,12.333489219047479
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,1
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.0799999999999987
NumHAcceptors,3
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,30
HeavyAtomMolWt,425.16200000000015
MaxEStateIndex,13.41406947243918
MinEStateIndex,-1.0137648578885348
NumHeteroatoms,7
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,1
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.1333333333333333
FpDensityMorgan2,1.8333333333333333
FpDensityMorgan3,2.4
MaxPartialCharge,0.3036504620310254
MinPartialCharge,-0.4812120697611831
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,13.41406947243918
MinAbsEStateIndex,0.1735874905517767
NumAliphaticRings,1
NumRotatableBonds,7
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,1
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.4812120697611831
MinAbsPartialCharge,0.3036504620310254
NumRadicalElectrons,0
NumValenceElectrons,160
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,449.1160636400007
MZ,0.715151515151515
Mi,1.1204118330449777
Mm,0.6817326541579312
Mp,0.6940427327163855
Mv,0.646758533020003
SZ,39.33333333333332
Si,61.622650817473776
Sm,37.495295978686215
Sp,38.1723502994012
Sv,35.571719316100165
nB,0
nC,23
nF,0
nH,25
nI,0
nN,1
nO,4
nP,0
nS,0
nX,2
ABC,22.891285195036243
AMW,8.165746611636376
IC0,1.5970264456395795
IC1,3.5885713692677905
IC2,4.8585435771216865
IC3,5.4403617589398685
IC4,5.549452668030777
IC5,5.549452668030777
MID,60.408046185329106
Mpe,0.9751871657754008
Mse,1.0111765874329608
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,116.75660000000003
SdO,24.87314634497475
SdS,0
Spe,53.63529411764704
SsF,0
SsI,0
Sse,55.61471230881284
StN,0
fMF,0.32727272727272727
nBr,0
nCl,2
AMID,2.01360153951097
BIC0,0.26518248224305757
BIC1,0.5958738291448217
BIC2,0.8067497250186189
BIC3,0.9033592646351645
BIC4,0.9214735533132667
BIC5,0.9214735533132667
CIC0,4.18433326788508
CIC1,2.1927883442568694
CIC2,0.9228161364029734
CIC3,0.34099795458479143
CIC4,0.23190704549388297
CIC5,0.23190704549388297
GGI1,6.5
GGI2,3.333333333333335
GGI3,2.5625
GGI4,2.7200000000000006
GGI5,1.6597222222222223
GGI6,1.2579591836734696
GGI7,0.9722222222222223
GGI8,0.5497606449987401
GGI9,0.18375000000000002
JGI1,0.203125
JGI2,0.0740740740740741
JGI3,0.05024509803921569
JGI4,0.04857142857142858
JGI5,0.025933159722222224
JGI6,0.01996760609005507
JGI7,0.017361111111111112
JGI8,0.013408796219481467
JGI9,0.009187500000000003
MIC0,18.87516338679003
MIC1,36.930337045396215
MIC2,43.95701448545841
MIC3,45.74381448545841
MIC4,47.10632357636749
MIC5,47.10632357636749
MPC2,45
MPC3,60
MPC4,83
MPC5,114
MPC6,130
MPC7,154
MPC8,173
MPC9,170
Mare,0.9834909090909094
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,2
NsLi,0
NsOH,2
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.19291700933464764
RPCG,0.12173289636559048
SIC0,0.2762371699348798
SIC1,0.6207140788823161
SIC2,0.8403807785486557
SIC3,0.9410176893530642
SIC4,0.9598871101288906
SIC5,0.9598871101288906
SaaN,0
SaaO,0
SaaS,0
Sare,54.09200000000002
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,12.333489219047479
SsLi,0
SsOH,19.402791287696594
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,87.83645451017688
TIC1,197.37142530972847
TIC2,267.21989674169276
TIC3,299.21989674169276
TIC4,305.2198967416927
TIC5,305.2198967416927
Vabc,402.9828751347944
WPol,51
apol,63.747824999999985
bpol,29.546174999999995
nRot,7
ABCGG,19.287983916140778
ATS0Z,1736.0
ATS0d,179.0
ATS0i,8828.575552330025
ATS0m,7076.9494360000035
ATS0p,88.54763862122498
ATS0s,271.39948178631306
ATS0v,12634.801548913138
ATS1Z,1504.0
ATS1d,231.0
ATS1i,8204.844441386998
ATS1m,5753.741878000001
ATS1p,108.97531510200002
ATS1s,173.43004115226339
ATS1v,15641.799145425526
ATS2Z,2317.0
ATS2d,377.0
ATS2i,15153.539655628638
ATS2m,8733.419269000004
ATS2p,170.05542885594306
ATS2s,298.87654320987644
ATS2v,23534.00286652881
ATS3Z,2765.0
ATS3d,477.0
ATS3i,23037.03442150733
ATS3m,10084.454251000003
ATS3p,214.418902833527
ATS3s,375.69958847736626
ATS3v,28835.381682099323
ATS4Z,2988.0
ATS4d,519.0
ATS4i,26504.713969716297
ATS4m,10805.770922999998
ATS4p,234.66680473092302
ATS4s,464.6543209876544
ATS4v,31888.614829162332
ATS5Z,3412.0
ATS5d,564.0
ATS5i,30098.7211852141
ATS5m,12377.635439
ATS5p,267.65608732316804
ATS5s,650.409465020576
ATS5v,36310.17966757023
ATS6Z,3619.0
ATS6d,567.0
ATS6i,33742.928045412926
ATS6m,12965.022647999998
ATS6p,294.6340915754131
ATS6s,597.6522633744855
ATS6v,38821.75294849569
ATS7Z,3622.0
ATS7d,498.0
ATS7i,36070.77157103148
ATS7m,13028.463148999996
ATS7p,282.46011373069507
ATS7s,647.5946502057615
ATS7v,36328.3579386118
ATS8Z,3316.0
ATS8d,363.0
ATS8i,32135.191534975616
ATS8m,11948.456644999998
ATS8p,221.764708173242
ATS8s,642.925925925926
ATS8v,27801.819479076432
C1SP1,0
C1SP2,2
C1SP3,2
C2SP1,0
C2SP2,10
C2SP3,5
C3SP2,2
C3SP3,2
C4SP3,0
FCSP3,0.391304347826087
GGI10,0.07009488827670646
JGI10,0.014018977655341292
JGT10,0.47589275148292953
Kier1,24.638671875
Kier2,11.227654320987654
Kier3,5.88
MAXdO,13.41406947243918
MID_C,47.677074441079846
MID_N,2.2636514482998917
MID_O,6.936074102425662
MID_X,3.5312461935237014
MID_h,12.730971744249254
MINdO,11.459076872535567
MPC10,147
MWC01,32.0
MWC02,5.043425116919247
MWC03,5.8998973535824915
MWC04,6.799055862058796
MWC05,7.68937110752969
MWC06,8.600982717145921
MWC07,9.507254695741542
MWC08,10.425164091606355
MWC09,11.339488324609803
MWC10,12.260584504776437
NaaCH,8
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,4
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,2
NdssS,0
NsCH3,1
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,4.912400000000004
SRW02,4.174387269895637
SRW03,0.0
SRW04,5.501258210544727
SRW05,0.0
SRW06,7.0326242610280065
SRW07,0.0
SRW08,8.666474894131992
SRW09,0.0
SRW10,10.3610706149064
SaaCH,14.762725449526645
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,2.9870532725384833
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-1.2530907271251182
SdssS,0
SsCH3,1.90504781851012
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,1.6864247921390778
SsssP,0
VE1_A,4.482044206532333
VE1_D,5.379317718334446
VE2_A,0.14940147355107775
VE2_D,0.17931059061114818
VE3_A,2.598691527124562
VE3_D,2.781173836646252
VR1_A,273.0862893576835
VR1_D,194.0157184803067
VR2_A,9.102876311922783
VR2_D,6.467190616010224
VR3_A,6.708400112144141
VR3_D,6.366551467543609
WPath,2169
Xc-3d,2.2030203017602075
Xc-4d,0.0
Xc-5d,0.4219255258296728
Xc-6d,0.0
Xp-0d,21.836134335324452
Xp-1d,14.349774308148644
Xp-2d,12.931388368278938
Xp-3d,10.418979565551233
Xp-4d,8.875782826219163
Xp-5d,7.663803309443635
Xp-6d,5.378470768245418
Xp-7d,4.053158418629325
ZMIC0,100.960105570755
ZMIC1,54.543000495894795
ZMIC2,33.478912489345966
ZMIC3,28.341216999792934
ZMIC4,25.728641197721352
ZMIC5,25.728641197721352
nAcid,1
nAtom,55
nBase,0
nRing,3
piPC1,3.713572066704308
piPC2,4.23410650459726
piPC3,4.686750172980514
piPC4,5.181783550292085
piPC5,5.70169696816518
piPC6,5.825446857020557
piPC7,6.149002341324198
piPC8,6.517855893978063
piPC9,6.779424624756786
AATS0Z,31.563636363636363
AATS0d,3.2545454545454544
AATS0i,160.51955549690953
AATS0m,128.6718079272728
AATS0p,1.609957065840454
AATS0s,4.9345360324784195
AATS0v,229.7236645256934
AATS1Z,26.385964912280702
AATS1d,4.052631578947368
AATS1i,143.94463932257892
AATS1m,100.9428399649123
AATS1p,1.9118476333684216
AATS1s,3.0426323009169014
AATS1v,274.41752886711447
AATS2Z,22.940594059405942
AATS2d,3.732673267326733
AATS2i,150.03504609533306
AATS2m,86.46949771287132
AATS2p,1.683717117385575
AATS2s,2.9591736951472916
AATS2v,233.00992937157235
AATS3Z,18.80952380952381
AATS3d,3.2448979591836733
AATS3i,156.71451987419954
AATS3m,68.60172959863948
AATS3p,1.4586319920648094
AATS3s,2.5557795134514714
AATS3v,196.15905906190017
AATS4Z,17.785714285714285
AATS4d,3.0892857142857144
AATS4i,157.76615458164463
AATS4m,64.32006501785713
AATS4p,1.3968262186364466
AATS4s,2.765799529688419
AATS4v,189.81318350691865
AATS5Z,17.770833333333332
AATS5d,2.9375
AATS5i,156.76417283965677
AATS5m,64.46685124479167
AATS5p,1.3940421214748335
AATS5s,3.387549296982167
AATS5v,189.11551910192827
AATS6Z,16.75462962962963
AATS6d,2.625
AATS6i,156.21725946950428
AATS6m,60.02325299999999
AATS6p,1.364046720256542
AATS6s,2.7669086267337293
AATS6v,179.73033772451709
AATS7Z,16.02654867256637
AATS7d,2.2035398230088497
AATS7i,159.60518394261717
AATS7m,57.64806703097343
AATS7p,1.2498235120827215
AATS7s,2.865463054007794
AATS7v,160.74494663102567
AATS8Z,17.005128205128205
AATS8d,1.8615384615384616
AATS8i,164.79585402551598
AATS8m,61.274136641025635
AATS8p,1.1372549137089334
AATS8s,3.297056030389364
AATS8v,142.573433226033
AMID_C,1.5892358147026615
AMID_N,0.07545504827666306
AMID_O,0.2312024700808554
AMID_X,0.11770820645079004
AMID_h,0.4243657248083085
ATS0dv,369.2098765432099
ATS0pe,347.10469999999987
ATS0se,429.15321799999987
ATS1dv,351.22222222222223
ATS1pe,368.18350000000004
ATS1se,441.6121479999999
