DLiP-ID,T005LD
DLiP-Mol-ID,22645
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H30N4O7/c1-24(2)10-9-15-3-5-16(6-4-15)21(32)23-13-18(27)26-12-11-25(14-20(30)31)22(33)17(26)7-8-19(28)29/h3-6,17H,7-14H2,1-2H3,(H,23,32)(H,28,29)(H,30,31)/t17-/m0/s1"
Standard Inchi Key(RDKit),RLRVAHVRDIDRIV-KRWDZBQOSA-N
Canonical SMILES(RDKit),CN(C)CCc1ccc(C(=O)NCC(=O)N2CCN(CC(=O)O)C(=O)[C@@H]2CCC(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),462.503
MW Monoisotopic(RDKit),462.2114493
MolLogP(RDKit),-0.490699999999996
XLogP(SDF),
XLogP(CDK),-0.863
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),11
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),147.56
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),11
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.39907824187054
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,11258096.553672869
qed,0.3990782418705398
Chi0,24.543241116511002
Chi1,15.578295155867385
TPSA,147.56
Chi0n,18.820915025259616
Chi0v,18.820915025259616
Chi1n,10.618642645044966
Chi1v,10.618642645044966
Chi2n,8.121752650354047
Chi2v,8.121752650354047
Chi3n,5.325870627869886
Chi3v,5.325870627869886
Chi4n,3.5317982464435147
Chi4v,3.5317982464435147
MolMR,117.61980000000005
MolWt,462.5030000000002
fr_SH,0
Kappa1,25.787745867338337
Kappa2,11.954280140506343
Kappa3,7.86461876442972
fr_ArN,0
fr_COO,2
fr_C_O,5
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,885.2354601171394
