DLiP-ID,T0030O
DLiP-Mol-ID,19572
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H26FN3O5/c1-27-23-5-3-4-18(28-23)12-13-34-19-9-6-16(7-10-19)14-21(25(31)32)29-24(30)20-11-8-17(26)15-22(20)33-2/h3-11,15,21H,12-14H2,1-2H3,(H,27,28)(H,29,30)(H,31,32)/t21-/m0/s1"
Standard Inchi Key(RDKit),JVAQDGLFINTCRG-NRFANRHFSA-N
Canonical SMILES(RDKit),CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3ccc(F)cc3OC)C(=O)O)cc2)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),467.497
MW Monoisotopic(RDKit),467.185649152
MolLogP(RDKit),3.3182
XLogP(SDF),
XLogP(CDK),1.684
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),109.78
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),11
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.396870973375191
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,35194326.324574895
qed,0.3968709733751912
Chi0,24.501424753254113
Chi1,16.388580448408863
TPSA,109.78
Chi0n,18.87755813051012
Chi0v,18.87755813051012
Chi1n,10.619345989195784
Chi1v,10.619345989195784
Chi2n,7.419591860469503
Chi2v,7.419591860469503
Chi3n,5.064634360853652
Chi3v,5.064634360853652
Chi4n,3.277684557966647
Chi4v,3.277684557966647
MolMR,124.97070000000005
MolWt,467.4970000000002
fr_SH,0
Kappa1,24.501400761098168
Kappa2,11.644512093260298
Kappa3,6.6785398579940125
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1137.6499642812516
MolLogP,3.318200000000001
NOCount,8
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.571663588188963
SMR_VSA1,28.559742718259265
SMR_VSA2,0.0
SMR_VSA3,10.30076712495354
SMR_VSA4,0.0
SMR_VSA5,18.88348407499998
SMR_VSA6,26.081140092473973
SMR_VSA7,83.30172250390446
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,196.29440460918403
NHOHCount,3
PEOE_VSA1,25.213830510453462
PEOE_VSA2,4.794537184071822
PEOE_VSA3,14.16893075269385
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,41.96165390246666
PEOE_VSA8,31.649610291839277
PEOE_VSA9,19.280130997487447
RingCount,3
SMR_VSA10,17.694347795138384
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,467.18564915199994
NumHDonors,3
PEOE_VSA10,29.175948114596693
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
SlogP_VSA1,20.10730311561276
SlogP_VSA2,48.77318325070687
SlogP_VSA3,17.63618042992384
SlogP_VSA4,5.817220841045895
SlogP_VSA5,21.615368162314272
SlogP_VSA6,60.6636706846161
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,23.735546687497212
EState_VSA2,17.73378494790691
EState_VSA3,24.340666912419827
EState_VSA4,23.64452490960671
EState_VSA5,13.176164609739143
EState_VSA6,24.26546827384644
EState_VSA7,25.24677318806202
EState_VSA8,15.617555728959871
EState_VSA9,9.473725907600098
SlogP_VSA10,10.208277825509848
SlogP_VSA11,11.49902366656781
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,13.381621196861666
VSA_EState9,74.45171213647166
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,1
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,19.086016810659167
EState_VSA11,0.0
FractionCSP3,0.24
VSA_EState10,0.0
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-4.14
NumHAcceptors,6
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,34
HeavyAtomMolWt,441.2890000000002
MaxEStateIndex,13.381621196861666
MinEStateIndex,-1.1888384370202891
NumHeteroatoms,9
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.1176470588235294
FpDensityMorgan2,1.8823529411764706
FpDensityMorgan3,2.5588235294117645
MaxPartialCharge,0.32605589963302606
MinPartialCharge,-0.49581392177083167
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,13.381621196861666
MinAbsEStateIndex,0.024096403992841964
NumAliphaticRings,0
NumRotatableBonds,11
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.49581392177083167
MinAbsPartialCharge,0.32605589963302606
NumRadicalElectrons,0
NumValenceElectrons,178
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
