DLiP-ID,T001YN
DLiP-Mol-ID,17919
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H32N4O5/c31-23(7-6-22(24(32)33)28-25(34)35-18-20-4-2-1-3-5-20)29-15-10-26(11-16-29)12-17-30(19-26)21-8-13-27-14-9-21/h1-5,8-9,13-14,22H,6-7,10-12,15-19H2,(H,28,34)(H,32,33)/t22-/m0/s1"
Standard Inchi Key(RDKit),GRRXZYXWSPNQQD-QFIPXVFZSA-N
Canonical SMILES(RDKit),O=C(N[C@@H](CCC(=O)N1CCC2(CC1)CCN(c1ccncc1)C2)C(=O)O)OCc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),480.565
MW Monoisotopic(RDKit),480.237270124
MolLogP(RDKit),3.0603
XLogP(SDF),
XLogP(CDK),0.487
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),112.07
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.597176586566821
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,100043498.43341236
qed,0.5971765865668212
Chi0,24.67515133962105
Chi1,16.93909070562568
TPSA,112.07000000000002
Chi0n,19.766418047617023
Chi0v,19.766418047617023
Chi1n,12.068920393926534
Chi1v,12.068920393926534
Chi2n,9.393321832718383
Chi2v,9.393321832718383
Chi3n,7.092812865909956
Chi3v,7.092812865909956
Chi4n,4.939296865002206
Chi4v,4.939296865002206
MolMR,129.73450000000003
MolWt,480.56500000000017
fr_SH,0
Kappa1,24.502857459032445
Kappa2,11.203652355328774
Kappa3,6.494695340501791
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1008.9169165010135
MolLogP,3.0603
NOCount,9
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.2038110942576843
SMR_VSA1,24.227001900856223
SMR_VSA2,0.0
SMR_VSA3,15.200676855804016
SMR_VSA4,5.41499046939678
SMR_VSA5,44.752830908290925
SMR_VSA6,31.07893535450078
SMR_VSA7,60.42170811415441
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,204.63248952124712
NHOHCount,2
PEOE_VSA1,24.959998414348043
PEOE_VSA2,9.77851570501903
PEOE_VSA3,9.589074368143644
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,30.33183534230805
PEOE_VSA7,48.794462589721036
PEOE_VSA8,50.68092066448602
PEOE_VSA9,0.0
RingCount,4
SMR_VSA10,23.657111362925335
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,480.2372701239999
NumHDonors,2
PEOE_VSA10,12.648722793660879
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,12.062545358890265
SlogP_VSA1,10.216698334856808
SlogP_VSA2,65.18100718767842
SlogP_VSA3,20.93281928645661
SlogP_VSA4,5.41499046939678
SlogP_VSA5,37.667559606327046
SlogP_VSA6,54.85825662245742
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,18.104386188038227
EState_VSA2,30.770695409113223
EState_VSA3,13.08951281182515
EState_VSA4,37.91542917230017
EState_VSA5,5.687386274683562
EState_VSA6,0.0
EState_VSA7,59.7581663533079
EState_VSA8,15.200676855804016
EState_VSA9,4.736862953800049
SlogP_VSA10,10.481923458755384
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,83.91666666666667
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,1
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,19.490138947056174
EState_VSA11,0.0
FractionCSP3,0.46153846153846156
VSA_EState10,0.0
fr_C_O_noCOO,2
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,1
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-3.6199999999999997
NumHAcceptors,6
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,35
HeavyAtomMolWt,448.30900000000025
MaxEStateIndex,12.782454000173225
MinEStateIndex,-1.1859100206305084
NumHeteroatoms,9
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.0285714285714285
FpDensityMorgan2,1.7142857142857142
FpDensityMorgan3,2.4
MaxPartialCharge,0.40768337087860973
MinPartialCharge,-0.4797158700726471
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.782454000173225
MinAbsEStateIndex,0.01990770003944342
NumAliphaticRings,2
NumRotatableBonds,8
NumSaturatedRings,2
fr_Ndealkylation1,0
fr_Ndealkylation2,1
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,1
fr_dihydropyridine,0
MaxAbsPartialCharge,0.4797158700726471
MinAbsPartialCharge,0.40768337087860973
NumRadicalElectrons,0
NumValenceElectrons,186
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,2
NumSaturatedHeterocycles,2
Mordred Descriptors
MW,480.2372701240008
MZ,0.6368159203980099
Mi,1.132156981051246
Mm,0.597170255623887
Mp,0.6539223880597014
Mv,0.6160461887590343
SZ,42.666666666666664
Si,75.85451773043349
Sm,40.01040712680043
Sp,43.812799999999996
Sv,41.275094646855294
nB,0
nC,26
nF,0
nH,32
nI,0
nN,4
nO,5
nP,0
nS,0
nX,0
ABC,27.186296540493867
AMW,7.167720449611952
IC0,1.5612970539487396
IC1,3.630650938996556
IC2,4.7837586388026425
IC3,5.35303788432617
IC4,5.588477250159265
IC5,5.588477250159265
MID,71.3572802546361
Mpe,0.9719637108574776
Mse,1.0076311813112153
NdO,3
NdS,0
NsF,0
NsI,0
NtN,0
SMR,129.73450000000003
SdO,36.44499610936814
SdS,0
Spe,65.121568627451
SsF,0
SsI,0
Sse,67.51128914785143
StN,0
fMF,0.44776119402985076
nBr,0
nCl,0
AMID,2.0387794358467457
BIC0,0.24767629400819943
BIC1,0.5759481625445889
BIC2,0.7588713551285848
BIC3,0.8491789448537111
BIC4,0.8865278589797582
BIC5,0.8865278589797582
CIC0,4.504792136509033
CIC1,2.435438251461216
CIC2,1.2823305516551295
CIC3,0.713051306131602
CIC4,0.47761194029850706
CIC5,0.47761194029850706
GGI1,7.5
GGI2,4.000000000000002
GGI3,1.7569444444444446
GGI4,1.8155555555555556
GGI5,1.156388888888889
GGI6,0.5910204081632653
GGI7,0.572952097505669
GGI8,0.41724143361048116
GGI9,0.28687500000000005
JGI1,0.19736842105263155
JGI2,0.07692307692307696
JGI3,0.034449891067538124
JGI4,0.04034567901234568
JGI5,0.025697530864197526
JGI6,0.013432282003710574
JGI7,0.013641716607277832
JGI8,0.01098003772659161
JGI9,0.008196428571428572
MIC0,14.74910441854352
MIC1,33.748038687536166
MIC2,39.87451633010214
MIC3,42.13405251942441
MIC4,42.37137540018416
MIC5,42.37137540018416
MPC2,52
MPC3,65
MPC4,79
MPC5,98
MPC6,101
MPC7,110
MPC8,121
MPC9,134
Mare,0.9861492537313431
NaaN,1
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,1
NssS,0
NtCH,0
NtsC,0
RNCG,0.14058454961335154
RPCG,0.1194748530440379
SIC0,0.25738115694123476
SIC1,0.5985159177526983
SIC2,0.7886067099586513
SIC3,0.88245288129735
SIC4,0.9212652624610578
SIC5,0.9212652624610578
SaaN,4.090530904265613
SaaO,0
SaaS,0
Sare,66.07199999999999
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,9.485079664178013
SsSH,0
SssO,5.109831303758442
SssS,0
StCH,0
StsC,0
TIC0,104.60690261456556
TIC1,243.25361291276926
TIC2,320.51182879977705
TIC3,358.6535382498534
TIC4,374.42797576067073
TIC5,374.42797576067073
Vabc,451.23628559572046
WPol,51
apol,73.16737599999999
bpol,41.572624000000026
nRot,8
ABCGG,19.899729561467037
ATS0Z,1484.0
ATS0d,212.0
ATS0i,10986.23480336847
ATS0m,5848.005395000001
ATS0p,94.795032955168
ATS0s,326.22916666666663
ATS0v,14061.329844980859
ATS1Z,1695.0
ATS1d,271.0
ATS1i,10322.620905259451
ATS1m,6402.634054
ATS1p,122.436409586
ATS1s,215.1388888888889
ATS1v,17954.930958902376
ATS2Z,2511.0
ATS2d,437.0
ATS2i,19638.562611651996
ATS2m,9235.142384000002
ATS2p,189.11678813049002
ATS2s,394.84722222222223
ATS2v,26698.788473851822
ATS3Z,2715.0
ATS3d,512.0
ATS3i,28295.174531842375
ATS3m,9528.533655
ATS3p,230.68219983322496
ATS3s,467.52777777777777
ATS3v,30943.192769082278
ATS4Z,2611.0
ATS4d,495.0
ATS4i,33416.6328199972
ATS4m,8884.495937
ATS4p,227.21931928590303
ATS4s,541.4444444444445
ATS4v,29830.896149674394
ATS5Z,2540.0
ATS5d,463.0
ATS5i,32340.465832346443
ATS5m,8880.969113
ATS5p,204.76890671548702
ATS5s,611.9583333333334
ATS5v,27058.012080560184
ATS6Z,2363.0
ATS6d,417.0
ATS6i,26381.26249595906
ATS6m,8386.574284000002
ATS6p,185.974821923658
ATS6s,521.1527777777778
ATS6v,25156.327870376663
ATS7Z,2325.0
ATS7d,391.0
ATS7i,25020.300324411623
ATS7m,8182.582842
ATS7p,182.77246091147
ATS7s,513.361111111111
ATS7v,24735.957414038578
ATS8Z,2129.0
ATS8d,386.0
ATS8i,26242.56218311751
ATS8m,7389.96161
ATS8p,174.357326799658
ATS8s,456.81944444444446
ATS8v,23333.814403790333
C1SP1,0
C1SP2,4
C1SP3,5
C2SP1,0
C2SP2,8
C2SP3,6
C3SP2,1
C3SP3,0
C4SP3,1
FCSP3,0.46153846153846156
