DLiP-ID,T002BQ
DLiP-Mol-ID,18493
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H23N3O6S/c1-33(31,32)26-18(23(29)30)11-13-5-7-14(8-6-13)15-3-2-4-17(12-15)25-20-19(21(27)22(20)28)24-16-9-10-16/h2-8,12,16,18,24-26H,9-11H2,1H3,(H,29,30)/t18-/m0/s1"
Standard Inchi Key(RDKit),HUVJBZOVXVKRBF-SFHVURJKSA-N
Canonical SMILES(RDKit),CS(=O)(=O)N[C@@H](Cc1ccc(-c2cccc(Nc3c(NC4CC4)c(=O)c3=O)c2)cc1)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),469.519
MW Monoisotopic(RDKit),469.130756456
MolLogP(RDKit),1.8124
XLogP(SDF),
XLogP(CDK),3.098
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),141.67
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.32953094582354
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,29116544.360593684
qed,0.3295309458235396
Chi0,23.75034789769755
Chi1,15.603175405237453
TPSA,141.67
Chi0n,17.79152637373904
Chi0v,18.608022954666765
Chi1n,10.368743078336042
Chi1v,12.260154616394296
Chi2n,8.214551898107555
Chi2v,9.99458521245489
Chi3n,5.349599813052243
Chi3v,6.062269960042056
Chi4n,3.50803067755854
Chi4v,4.209006766211132
MolMR,126.26670000000006
MolWt,469.5190000000003
fr_SH,0
Kappa1,22.685325443786983
Kappa2,8.796296296296296
Kappa3,5.467966668943379
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1370.4064034549879
MolLogP,1.8123999999999998
NOCount,9
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.4865659832792635
SMR_VSA1,18.318861563241462
SMR_VSA2,0.0
SMR_VSA3,4.722094864452088
SMR_VSA4,0.0
SMR_VSA5,31.34614652707395
SMR_VSA6,16.889346391524064
SMR_VSA7,74.54104319133461
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,189.76254255457414
NHOHCount,4
PEOE_VSA1,15.740104602853368
PEOE_VSA2,14.383611552215466
PEOE_VSA3,13.139891848781026
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,36.39820241076966
PEOE_VSA7,48.085553480792235
PEOE_VSA8,11.729227103831523
PEOE_VSA9,6.255769183511404
RingCount,4
SMR_VSA10,33.054755265410115
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,469.130756456
NumHDonors,4
PEOE_VSA10,17.416613378515084
PEOE_VSA11,0.0
PEOE_VSA12,10.023291153407584
PEOE_VSA13,10.857580783801081
PEOE_VSA14,5.969305287951849
SlogP_VSA1,26.213252856265832
SlogP_VSA2,37.833080508928816
SlogP_VSA3,21.238649960405414
SlogP_VSA4,0.0
SlogP_VSA5,18.405094737549014
SlogP_VSA6,58.120010915836524
SlogP_VSA7,0.0
SlogP_VSA8,11.126902983393991
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,3
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,32.89201805430848
EState_VSA2,18.150048726757532
EState_VSA3,16.93822404106412
EState_VSA4,30.224315412757413
EState_VSA5,0.0
EState_VSA6,18.19910120538483
EState_VSA7,30.33183534230805
EState_VSA8,15.355672072464749
EState_VSA9,0.0
SlogP_VSA10,17.062158824050687
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,22.79305703565197
