DLiP-ID,T002OB
DLiP-Mol-ID,19040
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H15N3O3/c1-22-12-13(15-9-5-6-10-17(15)22)11-16-18(24)21-20(26)23(19(16)25)14-7-3-2-4-8-14/h2-12H,1H3,(H,21,24,26)/b16-11-"
Standard Inchi Key(RDKit),IVMNCXYYMGVUKG-WJDWOHSUSA-N
Canonical SMILES(RDKit),Cn1cc(/C=C2/C(=O)NC(=O)N(c3ccccc3)C2=O)c2ccccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),345.358
MW Monoisotopic(RDKit),345.11134134
MolLogP(RDKit),2.8447
XLogP(SDF),
XLogP(CDK),2.775
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),71.41
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.573381390839481
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,1215500.113141966
qed,0.5733813908394806
Chi0,18.25878406613483
Chi1,12.558550648063802
TPSA,71.41
Chi0n,13.970025023477392
Chi0v,13.970025023477392
Chi1n,8.066271387439853
Chi1v,8.066271387439853
