DLiP-ID,C000N7
DLiP-Mol-ID,31079
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C10H10O4/c1-14-10(13)5-2-7-6-8(11)3-4-9(7)12/h2-6,11-12H,1H3/b5-2-"
Standard Inchi Key(RDKit),BQCNSTFWSKOWMA-DJWKRKHSSA-N
Canonical SMILES(RDKit),COC(=O)/C=C\c1cc(O)ccc1O
SMILES(SDF),
MW(SDF),
MW(RDKit),194.186
MW Monoisotopic(RDKit),194.0579088
MolLogP(RDKit),1.284
XLogP(SDF),
XLogP(CDK),1.418
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),66.76
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),14
QED Weighted(RDKit),0.422571275517743
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1324.7139056815984
qed,0.4225712755177435
Chi0,10.55204176387779
Chi1,6.6302289553358
TPSA,66.76
Chi0n,7.597675117875773
Chi0v,7.597675117875773
Chi1n,3.9124276506632296
Chi1v,3.9124276506632296
Chi2n,2.599611741646138
Chi2v,2.599611741646138
Chi3n,1.611273132874648
Chi3v,1.611273132874648
Chi4n,0.901270530551148
Chi4v,0.901270530551148
MolMR,50.821600000000025
MolWt,194.186
fr_SH,0
Kappa1,10.113125519534497
Kappa2,4.3182753757478265
Kappa3,2.5158513680748387
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,368.38478965282144
MolLogP,1.2839999999999998
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.9048532570690915
SMR_VSA1,19.74445492755328
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,7.109797541277533
SMR_VSA7,29.838572803915707
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,2
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,81.06510337884181
NHOHCount,2
PEOE_VSA1,14.94991774348146
PEOE_VSA2,0.0
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,24.27512131221871
PEOE_VSA8,11.639471598530877
PEOE_VSA9,7.109797541277533
RingCount,1
SMR_VSA10,12.045325394785731
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,2
ExactMolWt,194.0579088
NumHDonors,2
PEOE_VSA10,11.49902366656781
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,0.0
SlogP_VSA2,23.292157618910792
SlogP_VSA3,9.53140013787187
SlogP_VSA4,0.0
SlogP_VSA5,5.563451491696996
SlogP_VSA6,24.27512131221871
SlogP_VSA7,0.0
SlogP_VSA8,6.076020106833881
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.969305287951849
EState_VSA2,11.49902366656781
EState_VSA3,5.563451491696996
EState_VSA4,6.076020106833881
EState_VSA5,31.38491885349624
EState_VSA6,0.0
EState_VSA7,0.0
EState_VSA8,4.736862953800049
EState_VSA9,5.106527394840706
SlogP_VSA10,0.0
SlogP_VSA11,11.49902366656781
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
