DLiP-ID,C001MY
DLiP-Mol-ID,32622
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H15BrO4/c1-3-18-13(16)12(14(17)19-4-2)9-10-5-7-11(15)8-6-10/h5-9H,3-4H2,1-2H3"
Standard Inchi Key(RDKit),AFYSUDAWCPZFEQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOC(=O)C(=Cc1ccc(Br)cc1)C(=O)OCC
SMILES(SDF),
MW(SDF),
MW(RDKit),327.174
MW Monoisotopic(RDKit),326.01537106
MolLogP(RDKit),2.9587
XLogP(SDF),
XLogP(CDK),4.308
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),52.6
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.361079356295982
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,14932.634532727558
qed,0.361079356295982
Chi0,14.25071237662706
Chi1,9.078917360319544
TPSA,52.60000000000001
Chi0n,10.811922543185906
Chi0v,12.397919082300609
Chi1n,5.895760123230605
Chi1v,6.688758392787957
Chi2n,3.550504286376514
Chi2v,4.466179815168203
Chi3n,2.171699565207534
Chi3v,2.700365078245768
Chi4n,1.3445473140806923
Chi4v,1.6088800705998094
MolMR,75.38500000000003
MolWt,327.1740000000001
fr_SH,0
Kappa1,15.437537399309551
Kappa2,7.735820856902586
Kappa3,4.8672324416974515
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,456.72426089919077
MolLogP,2.958700000000001
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,3.03890316042476
SMR_VSA1,19.06280027574374
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,13.847474399381248
SMR_VSA6,13.213763929025836
SMR_VSA7,39.874743811445114
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,2
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,120.07901926722825
NHOHCount,0
PEOE_VSA1,9.473725907600098
PEOE_VSA2,0.0
PEOE_VSA3,9.589074368143644
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,28.06267803487257
PEOE_VSA7,37.61968013483534
PEOE_VSA8,4.472719515832414
PEOE_VSA9,13.213763929025836
RingCount,1
SMR_VSA10,33.944574580686925
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,326.01537106
NumHDonors,0
PEOE_VSA10,5.573104530069267
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,11.938610575903699
SlogP_VSA1,0.0
SlogP_VSA2,25.152374504929536
SlogP_VSA3,19.06280027574374
SlogP_VSA4,0.0
SlogP_VSA5,19.410925891078243
SlogP_VSA6,34.31129231974812
SlogP_VSA7,0.0
SlogP_VSA8,6.076020106833881
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,11.938610575903699
EState_VSA2,18.786868459095103
EState_VSA3,0.0
EState_VSA4,10.03617100752941
EState_VSA5,6.076020106833881
EState_VSA6,25.980208536304467
EState_VSA7,12.13273413692322
EState_VSA8,15.929943897949348
EState_VSA9,9.473725907600098
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,15.929943897949348
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.9152494855967079
VSA_EState9,44.85276426677445
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,9.589074368143644
EState_VSA11,0.0
FractionCSP3,0.2857142857142857
VSA_EState10,0.0
fr_C_O_noCOO,2
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-1.62
NumHAcceptors,4
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,19
HeavyAtomMolWt,312.0540000000001
MaxEStateIndex,11.73021195515243
MinEStateIndex,-0.6769733796296296
NumHeteroatoms,5
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.0526315789473684
FpDensityMorgan2,1.5263157894736843
FpDensityMorgan3,1.9473684210526316
MaxPartialCharge,0.3450820655894177
MinPartialCharge,-0.4621989616379004
NumAromaticRings,1
fr_unbrch_alkane,0
MaxAbsEStateIndex,11.73021195515243
MinAbsEStateIndex,0.10553476946334084
NumAliphaticRings,0
NumRotatableBonds,5
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.4621989616379004
MinAbsPartialCharge,0.3450820655894177
