DLiP-ID,T006DH
DLiP-Mol-ID,23853
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H18ClN5O3/c22-16-8-3-4-9-17(16)27-19(29)14-7-2-1-6-13(14)15(20(27)30)12-23-21-24-18(25-26-21)10-5-11-28/h1-4,6-9,12,28H,5,10-11H2,(H2,23,24,25,26)/b15-12+"
Standard Inchi Key(RDKit),UNFWMGRLVWDOPL-NTCAYCPXSA-N
Canonical SMILES(RDKit),O=C1/C(=C/Nc2nnc(CCCO)[nH]2)c2ccccc2C(=O)N1c1ccccc1Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),423.86
MW Monoisotopic(RDKit),423.109817116
MolLogP(RDKit),3.023
XLogP(SDF),
XLogP(CDK),4.27
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),111.21
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.414842156080209
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Rac1/GEFs
Common Target Pref Name,RAC1/TIAM1
RDKit Descriptors
Ipc,9654891.26799228
qed,0.4148421560802092
Chi0,21.087211190881018
Chi1,14.59655545052459
TPSA,111.21
Chi0n,15.800788202203064
Chi0v,16.55671714822152
Chi1n,9.31709647989736
Chi1v,9.695060952906587
Chi2n,6.5925218943943165
Chi2v,6.9997220211349225
Chi3n,4.635910254843374
Chi3v,4.955522783103965
Chi4n,3.205683047188695
Chi4v,3.425931848241749
MolMR,113.0997
MolWt,423.8600000000001
fr_SH,0
Kappa1,19.810353532181168
Kappa2,8.480371370130522
Kappa3,3.699936440929673
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,3
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1140.930335337871
MolLogP,3.0230000000000006
NOCount,8
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.708078824002891
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,15.181342137549283
SMR_VSA4,0.0
SMR_VSA5,12.841643245852019
