DLiP-ID,I000DP
DLiP-Mol-ID,28258
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C29H31N5O2/c1-19(30-2)28(35)33-27(21-12-7-4-8-13-21)29(36)34-17-9-14-24(34)23-18-22-15-16-31-25(26(22)32-23)20-10-5-3-6-11-20/h3-8,10-13,15-16,18-19,24,27,30,32H,9,14,17H2,1-2H3,(H,33,35)/t19-,24-,27-/m0/s1"
Standard Inchi Key(RDKit),GNHIJPSSTOTMHO-SZJUTTIESA-N
Canonical SMILES(RDKit),CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1cc2ccnc(-c3ccccc3)c2[nH]1)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),481.6
MW Monoisotopic(RDKit),481.247775232
MolLogP(RDKit),4.3588
XLogP(SDF),
XLogP(CDK),3.67
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),90.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.365918100555537
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP_Smac
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,276567693.71708256
qed,0.36591810055553664
Chi0,25.07033885400645
Chi1,17.56288194571337
TPSA,90.12
Chi0n,20.569848422521304
Chi0v,20.569848422521304
Chi1n,12.426462740861044
Chi1v,12.426462740861044
Chi2n,9.266796574885134
Chi2v,9.266796574885134
Chi3n,6.998400854583476
Chi3v,6.998400854583476
Chi4n,4.921848859896971
Chi4v,4.921848859896971
MolMR,141.06509999999986
MolWt,481.6000000000001
fr_SH,0
Kappa1,23.757020125163223
Kappa2,10.336768456480833
Kappa3,4.617787088443924
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1352.1243675652693
MolLogP,4.358800000000003
NOCount,7
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.472303356931913
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,25.501443980757557
SMR_VSA4,0.0
SMR_VSA5,37.89090293298653
SMR_VSA6,13.592428388589765
SMR_VSA7,90.25062787969787
SMR_VSA8,0.0
SMR_VSA9,11.257379486545457
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,210.48225669326482
NHOHCount,3
PEOE_VSA1,20.51746545981035
PEOE_VSA2,14.573052889090853
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,60.6636706846161
PEOE_VSA7,44.50923805684005
PEOE_VSA8,29.385203678535902
PEOE_VSA9,23.29431037076064
RingCount,5
SMR_VSA10,22.717284390784066
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,481.24777523200004
NumHDonors,3
PEOE_VSA10,6.041840829147961
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.633577208012662
SlogP_VSA2,46.31649544918564
SlogP_VSA3,9.589074368143644
SlogP_VSA4,0.0
SlogP_VSA5,43.10644159038402
SlogP_VSA6,78.99324839315241
SlogP_VSA7,0.0
SlogP_VSA8,22.160304418626517
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,12.083681658295921
EState_VSA2,17.85620028785097
EState_VSA3,6.544756405912575
EState_VSA4,46.25932715102399
EState_VSA5,0.0
EState_VSA6,13.971409182367815
EState_VSA7,77.82679105554128
EState_VSA8,26.66790131836869
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,78.33333333333331
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,1
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,9.589074368143644
EState_VSA11,0.0
FractionCSP3,0.27586206896551724
VSA_EState10,0.0
fr_C_O_noCOO,2
fr_Nhpyrrole,1
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-3.9699999999999984
NumHAcceptors,4
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,36
HeavyAtomMolWt,450.35200000000026
MaxEStateIndex,13.944269617601147
MinEStateIndex,-0.7490511662526458
NumHeteroatoms,7
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.0555555555555556
FpDensityMorgan2,1.7777777777777777
FpDensityMorgan3,2.5
MaxPartialCharge,0.24987048398973358
MinPartialCharge,-0.35488929785561846
NumAromaticRings,4
fr_unbrch_alkane,0
MaxAbsEStateIndex,13.944269617601147
MinAbsEStateIndex,0.09683608615877737
NumAliphaticRings,1
NumRotatableBonds,7
NumSaturatedRings,1
fr_Ndealkylation1,1
fr_Ndealkylation2,1
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.35488929785561846
MinAbsPartialCharge,0.24987048398973358
NumRadicalElectrons,0
NumValenceElectrons,184
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,2
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,481.2477752320009
MZ,0.63681592039801
Mi,1.1240216857507974
Mm,0.5984563901001196
Mp,0.6810669675574224
Mv,0.6360857760859859
SZ,42.66666666666667
Si,75.30945294530343
Sm,40.09657813670802
Sp,45.6314868263473
Sv,42.61774699776106
nB,0
nC,29
nF,0
nH,31
nI,0
nN,5
nO,2
nP,0
nS,0
nX,0
ABC,28.2484796160065
AMW,7.1828026154029985
IC0,1.4680119523215107
IC1,3.6111113877595735
IC2,4.841625011094971
IC3,5.573260085850997
IC4,5.804749265020057
IC5,5.834600011288713
MID,74.2054083443171
Mpe,0.9612525607257829
Mse,0.9960974443152047
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,141.06509999999986
SdO,26.705090034388515
SdS,0
Spe,64.40392156862745
SsF,0
SsI,0
Sse,66.73852876911872
StN,0
fMF,0.417910447761194
nBr,0
nCl,0
AMID,2.0612613428976974
BIC0,0.23027496035602524
BIC1,0.5664453414991057
BIC2,0.7594658924442178
BIC3,0.8742314688198678
BIC4,0.9105432723250817
BIC5,0.9152257133656619
CIC0,4.598077238136261
CIC1,2.4549778026981985
CIC2,1.2244641793628013
CIC3,0.4928291046067752
CIC4,0.26133992543771534
CIC5,0.23148917916905898
GGI1,5.5
GGI2,4.444444444444446
GGI3,2.3125
GGI4,1.8905555555555558
GGI5,1.423888888888889
GGI6,1.0108390022675735
GGI7,0.6128826530612245
GGI8,0.4628842277651801
GGI9,0.3297145061728395
JGI1,0.13749999999999998
JGI2,0.07936507936507939
JGI3,0.03919491525423728
JGI4,0.03099271402550092
JGI5,0.02224826388888889
JGI6,0.015551369265654974
JGI7,0.010214710884353741
JGI8,0.009257684555303604
JGI9,0.007850345385067608
MIC0,13.132515096271895
MIC1,32.302672604421176
MIC2,39.37458338708071
MIC3,42.778191756951344
MIC4,43.33998061074778
MIC5,43.370070162986586
MPC2,56
MPC3,78
MPC4,104
MPC5,130
MPC6,149
MPC7,181
MPC8,212
MPC9,230
Mare,0.9734328358208955
NaaN,1
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.12149962276880871
RPCG,0.08554546369601564
SIC0,0.2420030280185723
SIC1,0.5952948059913151
