DLiP-ID,C000E6
DLiP-Mol-ID,30691
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H8N2O3/c15-8-5-6-11-12(7-8)14(17)10-4-2-1-3-9(10)13(11)16/h1-7,15H"
Standard Inchi Key(RDKit),BMYLMFASUBJXBU-UHFFFAOYSA-N
Canonical SMILES(RDKit),[O-][n+]1c2ccccc2[n+]([O-])c2cc(O)ccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),228.207
MW Monoisotopic(RDKit),228.053492116
MolLogP(RDKit),0.9654
XLogP(SDF),
XLogP(CDK),3.13
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),74.11
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.353627646107697
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,10882.13348302446
qed,0.3536276461076975
Chi0,11.991199352633217
Chi1,8.181540550352056
TPSA,74.11
Chi0n,8.699589251754983
Chi0v,8.699589251754983
Chi1n,5.0485665013222185
Chi1v,5.0485665013222185
Chi2n,3.7504867834416484
Chi2v,3.7504867834416484
Chi3n,2.715927478318763
Chi3v,2.715927478318763
Chi4n,1.9134018670790482
Chi4v,1.9134018670790482
MolMR,61.03880000000003
MolWt,228.207
fr_SH,0
Kappa1,9.650773083275615
Kappa2,3.2137035718523803
Kappa3,1.2548148148148153
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,740.4750216578263
MolLogP,0.9654
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.630126776864969
SMR_VSA1,14.567342678653157
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,52.87907552878585
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,95.94474937359506
NHOHCount,1
PEOE_VSA1,15.521033444395286
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,9.460815283812451
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,6.06636706846161
PEOE_VSA8,18.19910120538483
PEOE_VSA9,6.06636706846161
RingCount,3
SMR_VSA10,22.066802870465047
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,1
ExactMolWt,228.053492116
NumHDonors,1
PEOE_VSA10,5.749511833283905
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,22.066802870465047
PEOE_VSA14,0.0
SlogP_VSA1,9.460815283812451
SlogP_VSA2,5.106527394840706
SlogP_VSA3,0.0
SlogP_VSA4,10.41450604955458
SlogP_VSA5,0.0
SlogP_VSA6,42.46456947923127
SlogP_VSA7,0.0
SlogP_VSA8,22.066802870465047
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,22.29961398613269
EState_VSA3,14.977516001428713
EState_VSA4,0.0
EState_VSA5,18.19910120538483
EState_VSA6,24.26546827384644
EState_VSA7,0.0
EState_VSA8,0.0
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,5.749511833283905
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,46.333333333333336
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,2
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,15.521033444395286
EState_VSA11,0.0
FractionCSP3,0.0
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.5599999999999996
NumHAcceptors,3
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,17
HeavyAtomMolWt,220.14299999999994
MaxEStateIndex,12.04574074074074
MinEStateIndex,-0.04409155328798153
NumHeteroatoms,5
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,0.7647058823529411
FpDensityMorgan2,1.2941176470588236
FpDensityMorgan3,1.9411764705882353
MaxPartialCharge,0.2938353283290853
MinPartialCharge,-0.6174993281562843
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.04574074074074
MinAbsEStateIndex,0.04409155328798153
NumAliphaticRings,0
NumRotatableBonds,0
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.6174993281562843
MinAbsPartialCharge,0.2938353283290853
NumRadicalElectrons,0
NumValenceElectrons,84
fr_para_hydroxylation,2
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,1
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,228.053492116
MZ,0.7866666666666667
Mi,1.1148317327247055
Mm,0.7599933394388476
Mp,0.7180920718562877
Mv,0.7131054264197029
SZ,19.666666666666668
Si,27.870793318117634
Sm,18.99983348597119
Sp,17.95230179640719
Sv,17.82763566049257
nB,0
nC,12
nF,0
nH,8
nI,0
nN,2
nO,3
nP,0
nS,0
nX,0
ABC,13.520557554648654
AMW,9.12213968464
IC0,1.692878689342031
IC1,2.7517374334224662
IC2,3.377796811598595
IC3,4.083856189774725
IC4,4.163856189774725
IC5,4.323856189774724
MID,35.017383907295425
Mpe,1.0133333333333334
Mse,1.0347851420247631
NdO,0
NdS,0
NsF,0
NsI,0
NtN,0
SMR,61.03880000000003
SdO,0
SdS,0
Spe,25.333333333333336
SsF,0
SsI,0
Sse,25.86962855061908
StN,0
fMF,0.56
nBr,0
nCl,0
AMID,2.0598461121938487
BIC0,0.33275499834923106
BIC1,0.540886001389678
BIC2,0.6639452546386438
BIC3,0.8027294384662357
BIC4,0.8184543690448616
BIC5,0.849904230202113
CIC0,2.9509775004326935
CIC1,1.8921187563522581
CIC2,1.2660593781761293
CIC3,0.5599999999999996
CIC4,0.47999999999999954
CIC5,0.3200000000000003
GGI1,3.0
GGI2,2.4444444444444455
GGI3,1.8125
GGI4,1.6222222222222222
GGI5,0.5
GGI6,0.2
GGI7,0.046875
GGI8,0.02040816326530612
GGI9,0.0
JGI1,0.15789473684210525
JGI2,0.08730158730158732
JGI3,0.05846774193548386
JGI4,0.062393162393162394
JGI5,0.02777777777777778
JGI6,0.022222222222222223
JGI7,0.01171875
JGI8,0.02040816326530612
JGI9,0.0
MIC0,16.59092916795462
MIC1,27.834472535521794
MIC2,35.35407172679528
MIC3,36.94601957999682
MIC4,38.06657957999682
MIC5,40.30737957999683
MPC2,28
MPC3,40
MPC4,55
MPC5,74
MPC6,77
MPC7,81
MPC8,84
MPC9,87
Mare,1.02784
