DLiP-ID,T004VW
DLiP-Mol-ID,21570
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H23N3O3/c1-27-20-9-6-10-21(28-2)19(20)15-23-16-11-13-18(14-12-16)25-22(26)24-17-7-4-3-5-8-17/h3-14,23H,15H2,1-2H3,(H2,24,25,26)"
Standard Inchi Key(RDKit),PJOHVWFUKXZUOW-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cccc(OC)c1CNc1ccc(NC(=O)Nc2ccccc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),377.444
MW Monoisotopic(RDKit),377.173941596
MolLogP(RDKit),4.9599
XLogP(SDF),
XLogP(CDK),3.668
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),71.62
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.544152531948632
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,HIF-1a/p300
Common Target Pref Name,HIF-1a/p300
RDKit Descriptors
Ipc,2620761.4219880933
qed,0.5441525319486317
Chi0,19.769373945685235
Chi1,13.690203145651198
TPSA,71.62
Chi0n,15.86005488285365
Chi0v,15.86005488285365
Chi1n,8.862043541235238
Chi1v,8.862043541235238
Chi2n,6.0171398531418765
Chi2v,6.0171398531418765
Chi3n,4.173602921150711
Chi3v,4.173602921150711
Chi4n,2.7790159104094125
Chi4v,2.7790159104094125
MolMR,112.39810000000001
MolWt,377.4440000000001
fr_SH,0
Kappa1,19.101605361209767
Kappa2,9.319763892886844
Kappa3,4.9442337615921375
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,889.819920563229
MolLogP,4.959900000000003
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,1
BalabanJ,1.584908495417022
SMR_VSA1,14.268263091671919
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,6.544756405912575
SMR_VSA6,30.169960894574057
SMR_VSA7,78.35985631323634
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,164.04355909909307
NHOHCount,3
PEOE_VSA1,25.42409171961909
PEOE_VSA2,0.0
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,24.26546827384644
PEOE_VSA7,48.53093654769288
PEOE_VSA8,23.60691522996326
PEOE_VSA9,19.78304657425206
RingCount,3
SMR_VSA10,23.09327333638876
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,377.173941596
NumHDonors,3
PEOE_VSA10,11.49902366656781
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,6.031114512338072
SlogP_VSA1,25.42409171961909
SlogP_VSA2,20.250709594893138
SlogP_VSA3,6.544756405912575
SlogP_VSA4,0.0
SlogP_VSA5,5.563451491696996
SlogP_VSA6,72.79640482153933
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,3
fr_benzene,3
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,2
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,6.031114512338072
EState_VSA3,12.232142680596137
EState_VSA4,28.43724770763193
EState_VSA5,0.0
EState_VSA6,14.219595082555067
EState_VSA7,72.79640482153933
EState_VSA8,15.950365812018994
EState_VSA9,9.473725907600098
SlogP_VSA10,21.85669600812251
SlogP_VSA11,11.49902366656781
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,62.66666666666666
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,4.794537184071822
EState_VSA11,0.0
FractionCSP3,0.13636363636363635
VSA_EState10,0.0
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-3.6699999999999995
NumHAcceptors,4
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,28
HeavyAtomMolWt,354.26000000000016
MaxEStateIndex,12.052954199176
MinEStateIndex,-0.28641901193443386
NumHeteroatoms,6
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,0.7142857142857143
FpDensityMorgan2,1.25
FpDensityMorgan3,1.8214285714285714
MaxPartialCharge,0.3231784477529517
MinPartialCharge,-0.4962612499709697
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.052954199176
MinAbsEStateIndex,0.28641901193443386
NumAliphaticRings,0
NumRotatableBonds,7
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
