DLiP-ID,C001CT
DLiP-Mol-ID,32172
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H10F3N3O4/c1-11(2)9(19)17(10(20)16-11)6-3-4-8(18(21)22)7(5-6)12(13,14)15/h3-5H,1-2H3,(H,16,20)"
Standard Inchi Key(RDKit),XWXYUMMDTVBTOU-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),317.223
MW Monoisotopic(RDKit),317.06234046
MolLogP(RDKit),2.4484
XLogP(SDF),
XLogP(CDK),2.272
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),92.55
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.514937138181363
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,44112.961445795045
qed,0.5149371381813627
Chi0,16.86987900907357
Chi1,9.948212855527386
TPSA,92.55000000000001
Chi0n,11.393364579451928
Chi0v,11.393364579451928
Chi1n,5.972804434360317
Chi1v,5.972804434360317
Chi2n,5.152036182254975
Chi2v,5.152036182254975
Chi3n,3.100709803072433
Chi3v,3.100709803072433
Chi4n,2.032318028141528
Chi4v,2.032318028141528
MolMR,68.1951
MolWt,317.223
fr_SH,0
Kappa1,15.733461415402449
Kappa2,4.681462447745509
Kappa3,2.4680661151087757
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,684.6843211615159
MolLogP,2.4484000000000004
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,1
BalabanJ,2.5729027020200763
SMR_VSA1,27.683630559985772
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,0.0
SMR_VSA5,25.562698169208065
SMR_VSA6,4.899909730850478
SMR_VSA7,33.8768709658474
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,1
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,121.39754663752483
NHOHCount,1
PEOE_VSA1,5.316788604006331
PEOE_VSA2,14.908855452837393
PEOE_VSA3,9.694446914922299
PEOE_VSA4,13.171245143024459
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,25.980208536304467
PEOE_VSA8,6.06636706846161
PEOE_VSA9,10.610697323501233
RingCount,2
SMR_VSA10,23.313066791056702
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,317.06234046
NumHDonors,1
PEOE_VSA10,11.102376744080342
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,11.594566004035068
PEOE_VSA14,12.207413029781547
SlogP_VSA1,10.216698334856808
SlogP_VSA2,22.400530542890593
SlogP_VSA3,10.970835701515297
SlogP_VSA4,10.114318268765572
SlogP_VSA5,19.410925891078243
SlogP_VSA6,18.19910120538483
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,3
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,39.827666826714626
EState_VSA2,5.687386274683562
EState_VSA3,17.032643867773697
EState_VSA4,6.06636706846161
EState_VSA5,13.847474399381248
EState_VSA6,0.0
EState_VSA7,0.0
EState_VSA8,5.316788604006331
EState_VSA9,0.0
SlogP_VSA10,29.340554876463408
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,38.74070117630386
VSA_EState9,40.59263215702948
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,32.87463777993368
EState_VSA11,0.0
FractionCSP3,0.3333333333333333
VSA_EState10,0.0
fr_C_O_noCOO,2
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.6499999999999995
NumHAcceptors,4
fr_morpholine,0
fr_nitro_arom,1
fr_phos_ester,0
HeavyAtomCount,22
HeavyAtomMolWt,307.14300000000003
MaxEStateIndex,12.913567058767953
MinEStateIndex,-4.992877692743764
NumHeteroatoms,10
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,3
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.2727272727272727
FpDensityMorgan2,1.8636363636363635
FpDensityMorgan3,2.272727272727273
MaxPartialCharge,0.42257558768201336
MinPartialCharge,-0.32333309750210937
NumAromaticRings,1
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.913567058767953
MinAbsEStateIndex,0.3833333333333331
NumAliphaticRings,1
NumRotatableBonds,2
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.42257558768201336
MinAbsPartialCharge,0.32333309750210937
NumRadicalElectrons,0
NumValenceElectrons,118
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,317.06234046000026
MZ,0.84375
Mi,1.1696261700398747
Mm,0.8253481433685788
Mp,0.6528242889221557
Mv,0.6806840652350907
SZ,27.0
Si,37.42803744127599
Sm,26.41114058779452
Sp,20.890377245508983
Sv,21.781890087522903
nB,0
nC,12
nF,3
nH,10
nI,0
nN,3
