DLiP-ID,T001SB
DLiP-Mol-ID,17662
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H26N2O3S/c1-17-11-13-19(14-12-17)27(25,26)23-16-6-10-20(23)21(24)22-15-5-9-18-7-3-2-4-8-18/h2-4,7-8,11-14,20H,5-6,9-10,15-16H2,1H3,(H,22,24)"
Standard Inchi Key(RDKit),GETPCDIMPMUWOU-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(S(=O)(=O)N2CCCC2C(=O)NCCCc2ccccc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),386.517
MW Monoisotopic(RDKit),386.166413692
MolLogP(RDKit),2.89712
XLogP(SDF),
XLogP(CDK),3.554
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),66.48
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.744296442489102
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,1647666.5732927346
qed,0.7442964424891022
Chi0,19.277810114122513
Chi1,12.981200378874176
TPSA,66.48
Chi0n,15.596350136370958
Chi0v,16.412846717298684
Chi1n,9.384663479210353
Chi1v,10.824726808010997
Chi2n,6.967014269994045
Chi2v,8.857568870866448
Chi3n,4.918194332542953
Chi3v,6.840592993385683
Chi4n,3.402088973900888
Chi4v,5.058524820873718
MolMR,105.86550000000003
MolWt,386.5170000000001
fr_SH,0
Kappa1,19.577973865041116
Kappa2,8.672214041798371
Kappa3,4.758342507091992
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,864.0595499280801
MolLogP,2.897120000000001
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.5797197383921893
SMR_VSA1,13.212334168400758
SMR_VSA2,0.0
SMR_VSA3,9.622004595302565
SMR_VSA4,0.0
SMR_VSA5,43.544347996060395
SMR_VSA6,13.08951281182515
SMR_VSA7,65.72420659954848
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,160.99913904787147
NHOHCount,1
PEOE_VSA1,5.316788604006331
PEOE_VSA2,4.794537184071822
PEOE_VSA3,8.417796984328938
PEOE_VSA4,4.305215991296234
PEOE_VSA5,0.0
PEOE_VSA6,48.02802097092827
PEOE_VSA7,50.30320932001488
PEOE_VSA8,13.08951281182515
PEOE_VSA9,4.895483475517775
RingCount,3
SMR_VSA10,15.930470882759089
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,386.166413692
NumHDonors,1
PEOE_VSA10,6.041840829147961
PEOE_VSA11,0.0
PEOE_VSA12,15.930470882759089
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,37.76154634594979
SlogP_VSA3,21.238649960405414
SlogP_VSA4,6.923737199690624
SlogP_VSA5,30.38936785217202
SlogP_VSA6,59.49278709167226
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,16.065131982555545
EState_VSA2,10.80266320486928
EState_VSA3,25.93115605767717
EState_VSA4,18.405094737549014
EState_VSA5,9.86866748299323
EState_VSA6,24.26546827384644
EState_VSA7,25.122838405075452
EState_VSA8,17.449522740929552
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,27.19440920354174
VSA_EState9,39.87298870000674
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,13.212334168400758
EState_VSA11,0.0
FractionCSP3,0.38095238095238093
VSA_EState10,-3.650731236881805
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,1
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.1799999999999993
NumHAcceptors,3
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,27
HeavyAtomMolWt,360.30900000000014
MaxEStateIndex,12.921512283176765
MinEStateIndex,-3.650731236881805
NumHeteroatoms,6
fr_aryl_methyl,2
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.1111111111111112
FpDensityMorgan2,1.8148148148148149
FpDensityMorgan3,2.5185185185185186
MaxPartialCharge,0.24329694806628907
MinPartialCharge,-0.35469736789453116
NumAromaticRings,2
fr_unbrch_alkane,1
MaxAbsEStateIndex,12.921512283176765
MinAbsEStateIndex,0.19791818888048995
NumAliphaticRings,1
NumRotatableBonds,7
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.35469736789453116
MinAbsPartialCharge,0.24329694806628907
NumRadicalElectrons,0
NumValenceElectrons,144
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,386.16641369200073
MZ,0.6477987421383645
Mi,1.1231782557487409
Mm,0.6071635591902392
Mp,0.6769022483335217
Mv,0.6205875593823089
SZ,34.33333333333332
Si,59.52844755468326
Sm,32.17966863708268
Sp,35.87581916167665
Sv,32.891140647262375
nB,0
nC,21
nF,0
nH,26
nI,0
nN,2
nO,3
nP,0
nS,1
nX,0
ABC,20.838614156410962
AMW,7.286158748905674
IC0,1.5542414724464853
IC1,3.2408725766740467
IC2,4.415677529626696
IC3,5.208868095990994
IC4,5.374054652635587
IC5,5.374054652635587
MID,54.52441663419905
Mpe,0.9598964113947465
Mse,0.9988113070126018
NdO,3
NdS,0
NsF,0
NsI,0
NtN,0
SMR,105.86550000000003
SdO,38.424972370166415
SdS,0
Spe,50.87450980392156
SsF,0
SsI,0
Sse,52.936999271667894
StN,0
fMF,0.4339622641509434
nBr,0
nCl,0
AMID,2.0194228383036683
BIC0,0.25904024540774756
BIC1,0.5401454294456745
BIC2,0.7359462549377827
BIC3,0.8681446826651656
BIC4,0.8956757754392645
BIC5,0.8956757754392645
CIC0,4.173678982116714
CIC1,2.487047877889152
CIC2,1.3122429249365029
CIC3,0.5190523585722051
CIC4,0.3538658019276122
CIC5,0.3538658019276122
GGI1,5.5
GGI2,3.7777777777777786
GGI3,1.9930555555555556
GGI4,1.5883333333333336
GGI5,0.7955555555555556
GGI6,0.44993197278911556
GGI7,0.3454861111111111
GGI8,0.254976064499874
GGI9,0.1550077160493827
JGI1,0.18965517241379307
JGI2,0.09444444444444448
JGI3,0.04982638888888889
JGI4,0.041798245614035084
JGI5,0.02410774410774411
JGI6,0.014997732426303853
JGI7,0.01328792735042735
JGI8,0.010624002687494749
JGI9,0.0070458052749719415
MIC0,16.58081972059131
MIC1,30.959441400073988
MIC2,38.066440323175314
MIC3,40.68352409683099
MIC4,40.850032145928736
MIC5,40.850032145928736
MPC2,40
MPC3,51
MPC4,62
MPC5,70
MPC6,67
MPC7,63
MPC8,65
MPC9,67
Mare,0.9719245283018869
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.17814666325848394
RPCG,0.12219583059288423
SIC0,0.27134480738263134
SIC1,0.5658026507844006
SIC2,0.7709041291083062
SIC3,0.9093820588659367
SIC4,0.9382208945227754
SIC5,0.9382208945227754
SaaN,0
SaaO,0
SaaS,0
Sare,51.51200000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,82.37479803966372
TIC1,171.76624656372448
TIC2,234.03090907021488
TIC3,276.07000908752264
TIC4,284.8248965896861
TIC5,284.8248965896861
Vabc,361.32078569555284
WPol,40
apol,59.91261799999998
bpol,35.88738200000001
nRot,7
ABCGG,17.020587713807284
ATS0Z,1328.0
ATS0d,164.0
ATS0i,8556.704220748075
ATS0m,5244.103906000002
ATS0p,82.88644752607398
ATS0s,249.74391289437585
ATS0v,11434.610206043193
ATS1Z,1557.0
ATS1d,210.0
ATS1i,7918.965088668799
ATS1m,5927.187933000001
ATS1p,105.72202005000003
ATS1s,139.8641975308642
ATS1v,14614.998283852457
ATS2Z,2154.0
ATS2d,331.0
ATS2i,15147.086169754739
ATS2m,7997.106647999998
ATS2p,159.62489559364104
ATS2s,318.46450617283944
ATS2v,21368.58742437476
ATS3Z,2412.0
ATS3d,380.0
ATS3i,21124.342643795622
ATS3m,8654.138031
ATS3p,187.60136883807397
ATS3s,364.09567901234567
ATS3v,23802.35689365461
ATS4Z,2346.0
ATS4d,352.0
ATS4i,22856.7459795485
ATS4m,8257.678378999999
ATS4p,171.53037010431905
ATS4s,451.42438271604937
ATS4v,22581.85712736384
ATS5Z,1986.0
ATS5d,313.0
ATS5i,20944.773545446104
ATS5m,6929.530019
ATS5p,154.573329204376
ATS5s,493.9861111111111
ATS5v,20439.04145028118
ATS6Z,1732.0
ATS6d,301.0
ATS6i,19053.530316048327
ATS6m,5974.320725
ATS6p,152.95493498007403
ATS6s,312.63425925925924
ATS6v,19340.834221441317
ATS7Z,1565.0
ATS7d,290.0
ATS7i,20811.066871404226
ATS7m,5293.1679970000005
ATS7p,140.60778721656402
ATS7s,347.57870370370364
ATS7v,17818.382318150063
ATS8Z,1385.0
ATS8d,248.0
ATS8i,16565.182259581434
ATS8m,4761.275899
ATS8p,125.331868114074
ATS8s,273.85493827160496
ATS8v,15919.216802356746
C1SP1,0
C1SP2,1
C1SP3,3
C2SP1,0
C2SP2,10
C2SP3,5
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.38095238095238093
GGI10,0.13499030711151924
JGI10,0.00674951535557596
JGT10,0.45253697856367947
Kier1,21.702734839476815
Kier2,10.15625
Kier3,5.757785467128028
MAXdO,12.921512283176765
MID_C,42.776552712519006
MID_N,4.214121777156925
MID_O,5.280754152833472
MID_X,0.0
MID_h,11.747863921680056
MINdO,12.581947803812884
MPC10,66
MWC01,29.0
MWC02,4.9344739331306915
MWC03,5.771441123130016
MWC04,6.642486801367256
MWC05,7.502738210754851
MWC06,8.382289428951436
MWC07,9.253878673990666
MWC08,10.140178916395607
MWC09,11.019333812850217
MWC10,11.910956340859252
NaaCH,9
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,3
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,1
NdssS,0
NsCH3,1
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,2.897120000000001
SRW02,4.07753744390572
SRW03,0.0
SRW04,5.389071729816501
SRW05,2.3978952727983707
SRW06,6.8966943316227125
SRW07,4.59511985013459
SRW08,8.495152060539358
SRW09,6.6293632534374485
SRW10,10.144824594042303
SaaCH,16.886062872681862
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,2.482545727431381
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.19791818888048995
SdssS,0
SsCH3,1.9146314124036055
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.9124585590409002
SssPH,0
SssSe,0
SsssB,0
SsssN,1.3513846371882088
SsssP,0
VE1_A,3.88872877368752
VE1_D,5.11332469758329
VE2_A,0.1440269916180563
