DLiP-ID,C000NK
DLiP-Mol-ID,31092
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C5H7N3O5/c6-2(3(9)10)1-8-4(11)7-5(12)13-8/h2H,1,6H2,(H,9,10)(H,7,11,12)/t2-/m0/s1"
Standard Inchi Key(RDKit),ASNFTDCKZKHJSW-REOHCLBHSA-N
Canonical SMILES(RDKit),N[C@@H](Cn1oc(=O)[nH]c1=O)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),189.127
MW Monoisotopic(RDKit),189.038570324
MolLogP(RDKit),-2.4585
XLogP(SDF),
XLogP(CDK),-4.386
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),131.32
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),13
QED Weighted(RDKit),0.482851156206134
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,751.3394340488894
qed,0.4828511562061341
Chi0,10.008071689507773
Chi1,6.002907755397973
TPSA,131.32
Chi0n,6.389227672421168
Chi0v,6.389227672421168
Chi1n,3.2927688866715874
Chi1v,3.2927688866715874
Chi2n,2.314702482808839
Chi2v,2.314702482808839
Chi3n,1.3083338810343437
Chi3v,1.3083338810343437
Chi4n,0.6909416478977579
Chi4v,0.6909416478977579
MolMR,39.19989999999999
MolWt,189.12699999999998
fr_SH,0
Kappa1,9.25952551477171
Kappa2,3.2706915162759307
Kappa3,2.0561519756691595
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,412.2946157604664
MolLogP,-2.4585
NOCount,8
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,2.860552952958505
SMR_VSA1,14.424159515885876
SMR_VSA2,0.0
SMR_VSA3,9.7237629049168
SMR_VSA4,5.733667477162185
SMR_VSA5,12.586597235060536
SMR_VSA6,0.0
SMR_VSA7,21.03488058857657
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,70.53987323036132
NHOHCount,4
PEOE_VSA1,15.363289808976239
PEOE_VSA2,4.794537184071822
PEOE_VSA3,14.573052889090853
PEOE_VSA4,0.0
PEOE_VSA5,4.7397843839695915
PEOE_VSA6,0.0
PEOE_VSA7,0.0
PEOE_VSA8,0.0
PEOE_VSA9,6.544756405912575
RingCount,1
SMR_VSA10,5.969305287951849
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,189.038570324
NumHDonors,3
PEOE_VSA10,6.041840829147961
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,17.415111508384776
SlogP_VSA1,17.179473697595114
SlogP_VSA2,26.841436416857313
SlogP_VSA3,11.339293589984397
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,14.112169305116993
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,23.456952337532734
EState_VSA2,6.544756405912575
EState_VSA3,4.7397843839695915
EState_VSA4,0.0
EState_VSA5,0.0
EState_VSA6,4.9839785209472085
EState_VSA7,0.0
EState_VSA8,4.523094936973348
EState_VSA9,10.84019487200289
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
