DLiP-ID,T006ZP
DLiP-Mol-ID,24816
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H36N4O5S/c1-2-3-16-33(31,32)26-20(22(29)30)17-25-21(28)18-4-8-23(9-5-18)10-14-27(15-11-23)19-6-12-24-13-7-19/h6-7,12-13,18,20,26H,2-5,8-11,14-17H2,1H3,(H,25,28)(H,29,30)/t20-/m0/s1"
Standard Inchi Key(RDKit),WIZNRUGPDHNTSZ-FQEVSTJZSA-N
Canonical SMILES(RDKit),CCCCS(=O)(=O)N[C@@H](CNC(=O)C1CCC2(CC1)CCN(c1ccncc1)CC2)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),480.631
MW Monoisotopic(RDKit),480.240641252
MolLogP(RDKit),2.1473
XLogP(SDF),
XLogP(CDK),0.465000000000001
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),128.7
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.46790441735844
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,18531701.004215796
qed,0.4679044173584403
Chi0,23.89913045768215
Chi1,15.734712546489835
TPSA,128.7
Chi0n,19.332265228195514
Chi0v,20.14876180912324
Chi1n,11.890108755837135
Chi1v,13.542373982157287
Chi2n,9.392986017278556
Chi2v,11.266432320345062
Chi3n,7.1359742898961445
Chi3v,8.605741456317187
Chi4n,4.922891866820127
Chi4v,6.327100714624878
MolMR,126.33900000000007
MolWt,480.63100000000037
fr_SH,0
Kappa1,25.42351279000595
Kappa2,11.285207100591718
Kappa3,7.138536500694308
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,890.6866501194404
MolLogP,2.1473000000000013
NOCount,9
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.445725301241233
SMR_VSA1,23.113398747313283
SMR_VSA2,0.0
SMR_VSA3,15.022861989405627
SMR_VSA4,11.332896515558172
SMR_VSA5,64.33215101224668
SMR_VSA6,30.287032555334992
SMR_VSA7,24.52642128014937
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,195.94595873464203
NHOHCount,3
PEOE_VSA1,15.323225729697514
PEOE_VSA2,14.573052889090853
PEOE_VSA3,8.417796984328938
PEOE_VSA4,4.722094864452088
PEOE_VSA5,0.0
PEOE_VSA6,13.344558822616634
PEOE_VSA7,62.493475966802066
PEOE_VSA8,43.63324868180883
PEOE_VSA9,5.752853606746789
RingCount,3
SMR_VSA10,27.587162445394497
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,480.240641252
NumHDonors,3
PEOE_VSA10,6.041840829147961
PEOE_VSA11,0.0
PEOE_VSA12,15.930470882759089
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,14.938793199308897
SlogP_VSA2,61.81375157105268
SlogP_VSA3,19.612365521551226
SlogP_VSA4,11.332896515558172
SlogP_VSA5,58.29031018309871
SlogP_VSA6,24.52642128014937
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,22.034437270507397
EState_VSA2,29.537686257569046
EState_VSA3,12.841643245852019
EState_VSA4,51.61444254938121
EState_VSA5,5.687386274683562
EState_VSA6,0.0
EState_VSA7,31.450158479839995
EState_VSA8,19.922771720256105
EState_VSA9,0.0
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,24.084542509386317
VSA_EState9,61.44242823777185
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,1
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,23.113398747313283
EState_VSA11,0.0
FractionCSP3,0.6956521739130435
VSA_EState10,-3.6936374138248396
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,1
fr_piperzine,0
fr_sulfonamd,1
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.1999999999999997
NumHAcceptors,6
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,33
HeavyAtomMolWt,444.34300000000025
MaxEStateIndex,12.675653107657041
MinEStateIndex,-3.6936374138248396
NumHeteroatoms,10
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.1818181818181819
FpDensityMorgan2,1.8181818181818181
FpDensityMorgan3,2.393939393939394
MaxPartialCharge,0.3230651013771249
MinPartialCharge,-0.4800055476240801
NumAromaticRings,1
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.675653107657041
MinAbsEStateIndex,0.12051198212161696
NumAliphaticRings,2
NumRotatableBonds,10
NumSaturatedRings,2
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.4800055476240801
MinAbsPartialCharge,0.3230651013771249
NumRadicalElectrons,0
NumValenceElectrons,184
fr_para_hydroxylation,0
NumAromaticCarbocycles,0
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,1
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,1
