DLiP-ID,T000NZ
DLiP-Mol-ID,16286
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H28N4O4/c1-16(13-23(32)33)29-15-22(31)30(26(2,3)4)21-12-9-18(14-20(21)25(29)34)6-5-17-7-10-19(11-8-17)24(27)28/h7-12,14,16H,13,15H2,1-4H3,(H3,27,28)(H,32,33)/t16-/m0/s1"
Standard Inchi Key(RDKit),BXPUXQXIESIGAE-INIZCTEOSA-N
Canonical SMILES(RDKit),C[C@@H](CC(=O)O)N1CC(=O)N(C(C)(C)C)c2ccc(C#Cc3ccc(C(=N)N)cc3)cc2C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),460.534
MW Monoisotopic(RDKit),460.211055376
MolLogP(RDKit),2.82097
XLogP(SDF),
XLogP(CDK),3.937
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),127.79
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.367234052798791
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,18870234.446941424
qed,0.36723405279879084
Chi0,25.20637782332753
Chi1,15.878936418749612
TPSA,127.78999999999999
Chi0n,19.676751642971194
Chi0v,19.676751642971194
Chi1n,10.845614632403041
Chi1v,10.845614632403041
Chi2n,9.252860800051025
Chi2v,9.252860800051025
