DLiP-ID,T003TX
DLiP-Mol-ID,20825
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H23N3O2S/c1-16(25)23(28)27-24-26-21(22(30-24)13-17-7-3-2-4-8-17)15-29-20-12-11-18-9-5-6-10-19(18)14-20/h2-12,14,16H,13,15,25H2,1H3,(H,26,27,28)/t16-/m0/s1"
Standard Inchi Key(RDKit),MHHSJWQWIXSVDO-INIZCTEOSA-N
Canonical SMILES(RDKit),C[C@H](N)C(=O)Nc1nc(COc2ccc3ccccc3c2)c(Cc2ccccc2)s1
SMILES(SDF),
MW(SDF),
MW(RDKit),417.534
MW Monoisotopic(RDKit),417.151097976
MolLogP(RDKit),4.7518
XLogP(SDF),
XLogP(CDK),3.865
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),77.24
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.454809028628568
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP/Caspase9 or SMAC (BIR3 domanin)
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,9453657.242966132
qed,0.4548090286285677
Chi0,20.924074484064484
Chi1,14.580520035918415
TPSA,77.24000000000001
Chi0n,16.669075797919408
Chi0v,17.485572378847134
Chi1n,9.78847196334526
Chi1v,10.604968544272987
Chi2n,7.126821585549341
Chi2v,8.210443341675006
Chi3n,4.72593386858065
Chi3v,5.73899406707335
Chi4n,3.0970670759382064
Chi4v,4.099137140198774
MolMR,121.92110000000001
MolWt,417.53400000000016
fr_SH,0
Kappa1,20.069059099616123
Kappa2,9.068775392588455
Kappa3,4.844884262579071
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1155.5596410714054
MolLogP,4.751800000000004
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.5542732461324502
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,5.733667477162185
SMR_VSA5,25.993281616277514
SMR_VSA6,5.316788604006331
SMR_VSA7,88.9309315017861
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,179.07679809687266
NHOHCount,3
PEOE_VSA1,15.787319034968565
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,60.6636706846161
PEOE_VSA7,35.392371257240434
PEOE_VSA8,11.297968816627309
PEOE_VSA9,11.735768823996422
RingCount,4
SMR_VSA10,33.14797251605517
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,417.151097976
NumHDonors,2
PEOE_VSA10,12.356393797796823
PEOE_VSA11,5.131558479839333
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,15.787319034968565
SlogP_VSA2,16.932999079446674
SlogP_VSA3,17.82224077151075
SlogP_VSA4,0.0
SlogP_VSA5,23.05826387993738
SlogP_VSA6,72.79640482153933
SlogP_VSA7,0.0
SlogP_VSA8,10.772448428929591
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,3
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,6.041840829147961
EState_VSA2,5.907179729351506
EState_VSA3,11.73844044435225
EState_VSA4,28.127632859224473
EState_VSA5,22.28646158409653
EState_VSA6,6.923737199690624
EState_VSA7,48.53093654769288
EState_VSA8,34.56623539879998
EState_VSA9,10.470530430962235
SlogP_VSA10,5.131558479839333
SlogP_VSA11,5.749511833283905
SlogP_VSA12,11.336785877934737
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,64.04084075136022
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,1
fr_thiocyan,0
EState_VSA10,4.794537184071822
EState_VSA11,0.0
FractionCSP3,0.16666666666666666
VSA_EState10,1.459159248639768
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-3.2199999999999984
NumHAcceptors,5
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,30
HeavyAtomMolWt,394.35000000000014
MaxEStateIndex,11.994233124093022
MinEStateIndex,-0.5937285865763982
NumHeteroatoms,6
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.0666666666666667
FpDensityMorgan2,1.8
FpDensityMorgan3,2.566666666666667
MaxPartialCharge,0.24227926888216908
MinPartialCharge,-0.48723766658350554
NumAromaticRings,4
fr_unbrch_alkane,0
MaxAbsEStateIndex,11.994233124093022
MinAbsEStateIndex,0.25276974552726617
NumAliphaticRings,0
NumRotatableBonds,7
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.48723766658350554
MinAbsPartialCharge,0.24227926888216908
NumRadicalElectrons,0
NumValenceElectrons,152
fr_para_hydroxylation,0
NumAromaticCarbocycles,3
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,417.15109797600064
MZ,0.691823899371069
Mi,1.1129597220758387
Mm,0.655887763261036
Mp,0.7142722743192861
Mv,0.6626710076078486
SZ,36.66666666666666
Si,58.98686527001945
Sm,34.76205145283491
Sp,37.85643053892216
Sv,35.12156340321597
nB,0
nC,24
nF,0
nH,23
nI,0
nN,3
nO,2
nP,0
nS,1
nX,0
ABC,23.541372834819953
AMW,7.870775433509446
IC0,1.561205124208812
IC1,3.524260312686383
IC2,4.418786907671611
IC3,5.192740681419798
IC4,5.41179050169219
IC5,5.4872621998053965
MID,61.71989325763888
Mpe,0.9647058823529411
Mse,0.9988250491280629
NdO,1
NdS,0
NsF,0
NsI,0
NtN,0
SMR,121.92110000000001
SdO,11.994233124093022
SdS,0
Spe,51.12941176470588
SsF,0
SsI,0
Sse,52.93772760378734
StN,0
fMF,0.4528301886792453
nBr,0
nCl,0
AMID,2.057329775254629
BIC0,0.25736600224484946
BIC1,0.5809773318582591
BIC2,0.7284408074023307
BIC3,0.8560277500680685
BIC4,0.8921383006048076
BIC5,0.9045798746970459
CIC0,4.1667153303543865
CIC1,2.203660141876816
CIC2,1.3091335468915881
CIC3,0.5351797731434011
CIC4,0.31612995287100887
CIC5,0.24065825475780223
GGI1,6.0
GGI2,2.666666666666668
GGI3,1.5416666666666665
GGI4,1.396666666666667
GGI5,0.7783333333333334
GGI6,0.5765986394557822
GGI7,0.40192743764172334
GGI8,0.35323759133282945
GGI9,0.26938271604938274
JGI1,0.18181818181818182
JGI2,0.05925925925925929
JGI3,0.035852713178294575
JGI4,0.03774774774774776
JGI5,0.019957264957264954
JGI6,0.014784580498866209
JGI7,0.010862903720046576
JGI8,0.009546961927914308
JGI9,0.007089018843404809
MIC0,16.348074323314677
MIC1,33.55703945114614
MIC2,40.56433045898541
MIC3,43.75468103538071
MIC4,44.3906908013851
MIC5,44.88197382025303
MPC2,45
MPC3,57
MPC4,72
MPC5,90
MPC6,93
MPC7,109
MPC8,124
MPC9,137
Mare,0.9754716981132078
NaaN,1
NaaO,0
NaaS,1
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,1
NssS,0
NtCH,0
NtsC,0
RNCG,0.1999483426456293
RPCG,0.09942445256760955
SIC0,0.27256054559295845
SIC1,0.6152774537709841
SIC2,0.7714469749927034
SIC3,0.9065664795122904
SIC4,0.9448089484868525
SIC5,0.9579850564150066
SaaN,4.612154509952129
SaaO,0
SaaS,1.459159248639768
Sare,51.70000000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,6.051064972285211
SssS,0
StCH,0
StsC,0
TIC0,82.74387158306703
TIC1,186.7857965723783
TIC2,234.19570610659537
TIC3,275.21525611524925
TIC4,286.8248965896861
TIC5,290.82489658968603
Vabc,370.7129802746452
WPol,43
apol,63.220238999999985
bpol,29.277760999999995
nRot,7
ABCGG,17.46469336188055
ATS0Z,1418.0
ATS0d,179.0
ATS0i,8408.123109952827
ATS0m,5614.076125000002
ATS0p,90.48610481152697
ATS0s,196.42009602194787
ATS0v,12638.83307425572
ATS1Z,1515.0
ATS1d,222.0
ATS1i,8083.279793147899
ATS1m,5790.401383
ATS1p,111.50502310000002
ATS1s,173.02160493827162
