DLiP-ID,J1005X
DLiP-Mol-ID,36915
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H25N3O2/c1-5-17-27(6-2,7-3)21-15-13-20(14-16-21)25-24(28)22-18(4)29-26-23(22)19-11-9-8-10-12-19/h1,8-16H,6-7,17H2,2-4H3/p+1"
Standard Inchi Key(RDKit),LHSSTMRLHCRMTO-UHFFFAOYSA-O
Canonical SMILES(RDKit),C#CC[N+](CC)(CC)c1ccc(NC(=O)c2c(-c3ccccc3)noc2C)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),388.491
MW Monoisotopic(RDKit),388.20195349209
MolLogP(RDKit),4.88262
XLogP(SDF),
XLogP(CDK),4.257
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),55.13
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.463420495273498
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,GATA4/NKX2-5
Common Target Pref Name,GATA4/NKX2-5
RDKit Descriptors
Ipc,4341728.60122361
qed,0.463420495273498
Chi0,20.85516038331214
Chi1,14.041172426285492
TPSA,55.13
Chi0n,17.105746807383547
Chi0v,17.105746807383547
Chi1n,9.77521226497945
Chi1v,9.77521226497945
Chi2n,6.969246377340494
Chi2v,6.969246377340494
Chi3n,5.414516564971226
Chi3v,5.414516564971226
Chi4n,3.5655945918276197
Chi4v,3.5655945918276197
MolMR,117.64720000000001
MolWt,388.4910000000001
fr_SH,0
Kappa1,20.37620730458385
Kappa2,8.763313657427442
Kappa3,4.079616183114104
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1010.5293790647231
MolLogP,4.882620000000004
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.8432921848140154
SMR_VSA1,9.31763212104517
SMR_VSA2,0.0
SMR_VSA3,9.63969411482007
SMR_VSA4,0.0
SMR_VSA5,20.771211599071872
SMR_VSA6,24.951057821744055
SMR_VSA7,65.92100252672593
SMR_VSA8,0.0
SMR_VSA9,23.60116370102136
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,1
LabuteASA,171.47581894429692
NHOHCount,1
PEOE_VSA1,9.83988354097968
PEOE_VSA2,9.277568041766447
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,6.423349895620259
PEOE_VSA6,35.4884985994335
PEOE_VSA7,38.824380054850735
PEOE_VSA8,23.38357190330378
PEOE_VSA9,13.08951281182515
RingCount,3
SMR_VSA10,17.28195227871863
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,388.20195349209
NumHDonors,1
PEOE_VSA10,29.249769586016036
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,9.799819461700956
SlogP_VSA2,30.698112204214674
SlogP_VSA3,0.0
SlogP_VSA4,19.267521414166527
SlogP_VSA5,29.965710494024506
SlogP_VSA6,59.12039855312784
SlogP_VSA7,0.0
SlogP_VSA8,11.257379486545457
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,5.907179729351506
EState_VSA3,33.73280044371066
EState_VSA4,24.340350578205708
EState_VSA5,0.0
EState_VSA6,6.923737199690624
EState_VSA7,54.59730361615449
EState_VSA8,30.241360579368667
EState_VSA9,10.946444832593606
SlogP_VSA10,11.374772549367124
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,6.01249793584334
