DLiP-ID,C001JD
DLiP-Mol-ID,32465
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H14O5/c1-9(2)21-11-4-5-12-15(8-11)22-14-6-3-10(17(19)20)7-13(14)16(12)18/h3-9H,1-2H3,(H,19,20)"
Standard Inchi Key(RDKit),AQFFXPQJLZFABJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(C)Oc1ccc2c(=O)c3cc(C(=O)O)ccc3oc2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),298.294
MW Monoisotopic(RDKit),298.084123548
MolLogP(RDKit),3.4316
XLogP(SDF),
XLogP(CDK),4.625
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),76.74
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.749521640646164
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,94446.56779302534
qed,0.749521640646164
Chi0,15.853006672199017
Chi1,10.452397498181154
TPSA,76.74000000000001
Chi0n,12.121658641682794
Chi0v,12.121658641682794
Chi1n,6.860698066109576
Chi1v,6.860698066109576
Chi2n,5.2718490414318255
Chi2v,5.2718490414318255
Chi3n,3.260542793334529
Chi3v,3.260542793334529
Chi4n,2.313169511619435
Chi4v,2.313169511619435
MolMR,82.71330000000003
MolWt,298.29400000000004
fr_SH,0
Kappa1,14.13137590382717
Kappa2,5.181650520050941
Kappa3,2.4122089142448178
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,936.8258318259386
MolLogP,3.431600000000002
NOCount,5
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.261722737150829
SMR_VSA1,19.055078469765924
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,19.95144078712955
SMR_VSA6,0.0
SMR_VSA7,52.18498147843901
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,125.2901406463533
NHOHCount,1
PEOE_VSA1,14.260541285694103
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,44.179309741689295
PEOE_VSA8,6.06636706846161
PEOE_VSA9,22.43986630837489
RingCount,3
SMR_VSA10,27.90779400016593
fr_Al_COO,0
fr_Ar_COO,1
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,298.084123548
NumHDonors,1
PEOE_VSA10,16.915552116568392
PEOE_VSA11,0.0
PEOE_VSA12,5.428790391900541
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,10.16565334570059
SlogP_VSA2,17.17979907054086
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,24.205463075150064
SlogP_VSA6,45.609890531894834
SlogP_VSA7,0.0
SlogP_VSA8,21.938488712214074
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.969305287951849
EState_VSA2,22.482432485810634
EState_VSA3,22.30177633103319
EState_VSA4,0.0
EState_VSA5,18.19910120538483
EState_VSA6,18.19910120538483
EState_VSA7,13.847474399381248
EState_VSA8,0.0
EState_VSA9,14.260541285694103
SlogP_VSA10,0.0
SlogP_VSA11,5.749511833283905
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,5.7110440287226005
VSA_EState9,51.95562263794407
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,2
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,9.589074368143644
EState_VSA11,0.0
FractionCSP3,0.17647058823529413
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.8199999999999994
NumHAcceptors,4
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,22
HeavyAtomMolWt,284.182
MaxEStateIndex,12.502538895187705
MinEStateIndex,-1.0814090112629076
NumHeteroatoms,5
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.0909090909090908
FpDensityMorgan2,1.8636363636363635
FpDensityMorgan3,2.5454545454545454
MaxPartialCharge,0.33520736243570237
MinPartialCharge,-0.49087733737324923
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.502538895187705
MinAbsEStateIndex,0.01643809079595493
NumAliphaticRings,0
NumRotatableBonds,3
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.49087733737324923
MinAbsPartialCharge,0.33520736243570237
NumRadicalElectrons,0
NumValenceElectrons,112
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,298.0841235480004
MZ,0.7222222222222222
Mi,1.1098321635401465
Mm,0.6898629959574093
Mp,0.694196640053227
Mv,0.6768552819051494
SZ,26.0
Si,39.95395788744527
Sm,24.835067854466736
Sp,24.991079041916173
Sv,24.36679014858538
nB,0
nC,17
nF,0
nH,14
nI,0
nN,0
nO,5
nP,0
nS,0
nX,0
ABC,17.315311174583634
AMW,8.28011454300001
IC0,1.4366061768728946
IC1,3.3871247384594216
IC2,4.030493056757482
IC3,4.572431251322119
IC4,4.683542362433229
IC5,4.683542362433229
MID,44.783440868838994
Mpe,0.995098039215686
Mse,1.0241158857327834
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,82.71330000000003
SdO,23.52017519680773
SdS,0
Spe,35.823529411764696
SsF,0
SsI,0
Sse,36.8681718863802
StN,0
fMF,0.3888888888888889
nBr,0
nCl,0
AMID,2.0356109485835905
BIC0,0.2600869128113146
BIC1,0.6132138582686082
BIC2,0.7296909292992966
BIC3,0.827804827337565
BIC4,0.8479206714242361
BIC5,0.8479206714242361
CIC0,3.7333188245694178
CIC1,1.7828002629828905
CIC2,1.13943194468483
CIC3,0.5974937501201936
CIC4,0.48638263900908285
CIC5,0.48638263900908285
GGI1,5.5
GGI2,2.666666666666668
GGI3,1.8125
GGI4,1.7422222222222223
GGI5,0.9236111111111112
GGI6,0.5444897959183674
GGI7,0.33333333333333337
GGI8,0.19274376417233557
GGI9,0.10687500000000001
JGI1,0.22916666666666666
JGI2,0.07619047619047623
JGI3,0.04898648648648647
JGI4,0.0527946127946128
JGI5,0.034207818930041156
JGI6,0.0236734693877551
JGI7,0.0196078431372549
JGI8,0.013767411726595399
JGI9,0.013359375000000001
MIC0,13.002188961201629
MIC1,31.949590102552538
MIC2,38.63277505476416
MIC3,41.624159865996425
MIC4,41.73615986599642
MIC5,41.73615986599642
MPC2,35
MPC3,46
MPC4,62
MPC5,84
MPC6,99
MPC7,114
MPC8,133
MPC9,144
Mare,1.0088888888888892
NaaN,0
NaaO,1
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,1
NssS,0
NtCH,0
NtsC,0
RNCG,0.22602469957144494
RPCG,0.15434638680631615
SIC0,0.2778775662068808
SIC1,0.6551593567632948
SIC2,0.7796037767729803
SIC3,0.8844289327304546
SIC4,0.9059207553545958
SIC5,0.9059207553545958
SaaN,0
SaaO,5.7110440287226005
SaaS,0
Sare,36.32000000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
