DLiP-ID,T007VG
DLiP-Mol-ID,26192
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H29N5O4/c32-23(9-3-7-20-11-10-17-6-4-12-27-26(17)30-20)29-16-24(33)31-22(14-25(34)35)19-13-18-5-1-2-8-21(18)28-15-19/h1-2,5,8,10-11,13,15,22H,3-4,6-7,9,12,14,16H2,(H,27,30)(H,29,32)(H,31,33)(H,34,35)/t22-/m0/s1"
Standard Inchi Key(RDKit),YYMWWKGGQOZSCP-QFIPXVFZSA-N
Canonical SMILES(RDKit),O=C(O)C[C@H](NC(=O)CNC(=O)CCCc1ccc2c(n1)NCCC2)c1cnc2ccccc2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),475.549
MW Monoisotopic(RDKit),475.221954408
MolLogP(RDKit),2.759
XLogP(SDF),
XLogP(CDK),1.809
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),133.31
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.354286148910959
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,81334542.39401874
qed,0.3542861489109594
Chi0,24.62274509681375
Chi1,16.974366886035764
TPSA,133.31
Chi0n,19.41939233009048
Chi0v,19.41939233009048
Chi1n,11.829530085746303
Chi1v,11.829530085746303
Chi2n,8.650247244053753
Chi2v,8.650247244053753
Chi3n,5.962646965344652
Chi3v,5.962646965344652
Chi4n,4.156190397255728
Chi4v,4.156190397255728
MolMR,131.87489999999997
MolWt,475.5490000000002
fr_SH,0
Kappa1,24.12526978367294
Kappa2,11.41463441099271
Kappa3,6.751891742621983
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1229.3426327649995
MolLogP,2.7590000000000012
NOCount,9
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,1.2499495441349397
SMR_VSA1,19.49013894705617
SMR_VSA2,0.0
SMR_VSA3,20.60153424990708
SMR_VSA4,0.0
SMR_VSA5,44.56677056670402
SMR_VSA6,18.406301415831482
SMR_VSA7,65.4822440290868
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,202.9113186415707
NHOHCount,4
PEOE_VSA1,21.056893206859698
PEOE_VSA2,19.367590073162674
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,24.26546827384644
PEOE_VSA7,55.009290680482856
PEOE_VSA8,30.24257380976492
PEOE_VSA9,24.52411957560281
RingCount,4
SMR_VSA10,34.504452456570945
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,475.2219544080001
NumHDonors,4
PEOE_VSA10,5.817862777835028
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,15.950365812018994
SlogP_VSA2,45.947661995215135
SlogP_VSA3,27.225254798067485
SlogP_VSA4,0.0
SlogP_VSA5,48.54595829909445
SlogP_VSA6,48.661413050844345
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,17.918325846451314
EState_VSA2,25.2935793811161
EState_VSA3,18.405094737549014
EState_VSA4,41.801115356529145
EState_VSA5,5.563451491696996
EState_VSA6,6.196843571613076
EState_VSA7,36.39820241076966
EState_VSA8,31.98468992237502
EState_VSA9,0.0
SlogP_VSA10,5.817862777835028
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,84.83333333333333
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,2
fr_priamide,0
fr_pyridine,2
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,19.49013894705617
EState_VSA11,0.0
FractionCSP3,0.34615384615384615
VSA_EState10,0.0
fr_C_O_noCOO,2
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-4.01
NumHAcceptors,6
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,35
HeavyAtomMolWt,446.31700000000023
MaxEStateIndex,12.451893445997221
MinEStateIndex,-1.04307273207355
NumHeteroatoms,9
fr_aryl_methyl,2
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.1142857142857143
FpDensityMorgan2,1.9714285714285715
FpDensityMorgan3,2.8285714285714287
MaxPartialCharge,0.30528818175218086
MinPartialCharge,-0.4811645935599902
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.451893445997221
MinAbsEStateIndex,0.2252208784748464
NumAliphaticRings,1
NumRotatableBonds,10
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.4811645935599902
MinAbsPartialCharge,0.30528818175218086
NumRadicalElectrons,0
NumValenceElectrons,182
fr_para_hydroxylation,1
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,2
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,475.2219544080009
MZ,0.6562500000000001
Mi,1.1298896163401508
Mm,0.6186373428523853
Mp,0.668647052769461
Mv,0.6328987094188888
SZ,42.00000000000001
Si,72.31293544576965
Sm,39.592789942552656
Sp,42.793411377245505
Sv,40.505517402808884
nB,0
nC,26
nF,0
nH,29
nI,0
nN,5
nO,4
nP,0
