DLiP-ID,T0047A
DLiP-Mol-ID,21391
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H17N5/c1-2-6-14(7-3-1)16-18(20-12-13-9-10-13)21-17(23-22-16)15-8-4-5-11-19-15/h1-8,11,13H,9-10,12H2,(H,20,21,23)"
Standard Inchi Key(RDKit),NHJUGLJJTBWNCN-UHFFFAOYSA-N
Canonical SMILES(RDKit),c1ccc(-c2nnc(-c3ccccn3)nc2NCC2CC2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),303.369
MW Monoisotopic(RDKit),303.148395544
MolLogP(RDKit),3.4225
XLogP(SDF),
XLogP(CDK),2.906
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),63.59
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.782130905320499
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,HIF-1a/p300
Common Target Pref Name,HIF-1a/p300
RDKit Descriptors
Ipc,650781.5685152422
qed,0.7821309053204989
Chi0,15.484916895309068
Chi1,11.398979485566358
TPSA,63.59
Chi0n,12.683677417455737
Chi0v,12.683677417455737
Chi1n,7.853889877599692
Chi1v,7.853889877599692
Chi2n,5.737903609957962
Chi2v,5.737903609957962
Chi3n,3.883053609631199
Chi3v,3.883053609631199
Chi4n,2.406180998343524
Chi4v,2.406180998343524
MolMR,89.70770000000003
MolWt,303.3690000000001
fr_SH,0
Kappa1,13.816292034205798
Kappa2,6.121590594546446
Kappa3,3.18186515781335
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,785.0220275376267
MolLogP,3.422500000000001
NOCount,5
fr_Ar_N,4
fr_COO2,0
fr_urea,0
BalabanJ,1.7257984132981194
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,20.16532065849649
SMR_VSA4,5.917906046161393
SMR_VSA5,12.841643245852019
SMR_VSA6,11.861545009918906
SMR_VSA7,54.72778011930596
SMR_VSA8,0.0
SMR_VSA9,22.775711979393844
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,134.396436511481
NHOHCount,1
PEOE_VSA1,5.316788604006331
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,10.197363616602075
PEOE_VSA6,36.39820241076966
PEOE_VSA7,30.892283428936633
PEOE_VSA8,18.305051469222647
PEOE_VSA9,0.0
RingCount,4
SMR_VSA10,5.817862777835028
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,303.148395544
NumHDonors,1
PEOE_VSA10,11.387855989696922
PEOE_VSA11,5.817862777835028
PEOE_VSA12,5.824404497999927
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,26.710077064409067
SlogP_VSA3,0.0
SlogP_VSA4,5.917906046161393
SlogP_VSA5,12.841643245852019
SlogP_VSA6,54.72778011930596
SlogP_VSA7,0.0
SlogP_VSA8,22.775711979393844
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,0.0
EState_VSA3,5.824404497999927
EState_VSA4,35.231832711302914
EState_VSA5,12.841643245852019
EState_VSA6,6.196843571613076
EState_VSA7,48.53093654769288
EState_VSA8,25.48210926250282
EState_VSA9,0.0
SlogP_VSA10,5.817862777835028
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,46.66666666666666
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,1
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,0.0
EState_VSA11,0.0
FractionCSP3,0.2222222222222222
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.82
NumHAcceptors,5
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,23
HeavyAtomMolWt,286.23300000000006
MaxEStateIndex,4.6718433484504915
MinEStateIndex,0.544979686318972
NumHeteroatoms,5
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,0.9565217391304348
FpDensityMorgan2,1.7826086956521738
FpDensityMorgan3,2.5217391304347827
MaxPartialCharge,0.20188503312270223
MinPartialCharge,-0.3678512945215444
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,4.6718433484504915
MinAbsEStateIndex,0.544979686318972
NumAliphaticRings,1
NumRotatableBonds,5
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.3678512945215444
MinAbsPartialCharge,0.20188503312270223
NumRadicalElectrons,0
NumValenceElectrons,114
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,1
NumAromaticHeterocycles,2
NumSaturatedCarbocycles,1
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,303.14839554400044
MZ,0.6666666666666666
Mi,1.1245913319360938
Mm,0.631439930064108
Mp,0.7020281586826348
Mv,0.6598838540606555
SZ,26.666666666666664
Si,44.98365327744376
Sm,25.25759720256432
Sp,28.081126347305393
Sv,26.395354162426223
nB,0
nC,18
nF,0
nH,17
nI,0
nN,5
nO,0
nP,0
nS,0
nX,0
ABC,18.263455967290597
AMW,7.578709888600011
IC0,1.4180491248460074
IC1,3.3674078582027613
IC2,4.221928094887363
IC3,4.871928094887363
IC4,5.171928094887364
IC5,5.171928094887364
MID,47.58785126704494
Mpe,0.9656862745098038
Mse,0.9965586307356155
NdO,0
NdS,0
NsF,0
NsI,0
NtN,0
SMR,89.70770000000003
SdO,0
SdS,0
Spe,38.627450980392155
SsF,0
SsI,0
Sse,39.86234522942462
StN,0
fMF,0.575
nBr,0
nCl,0
AMID,2.0690370116106496
BIC0,0.24876135788844583
BIC1,0.5907277376315927
BIC2,0.7406320044840559
BIC3,0.8546582958123263
BIC4,0.9072858148869128
BIC5,0.9072858148869128
CIC0,3.9038789700413554
CIC1,1.9545202366846013
CIC2,1.0999999999999996
CIC3,0.4499999999999993
CIC4,0.14999999999999858
CIC5,0.14999999999999858
GGI1,3.0
GGI2,2.2777777777777786
GGI3,1.0347222222222223
GGI4,0.6305555555555558
GGI5,0.5625000000000001
GGI6,0.42934240362811793
GGI7,0.2361111111111111
GGI8,0.07183799445704207
GGI9,0.042816358024691345
JGI1,0.11538461538461539
JGI2,0.07118055555555558
JGI3,0.03135521885521885
JGI4,0.020340501792114694
JGI5,0.017578125000000003
JGI6,0.0148049104699351
JGI7,0.00908119658119658
JGI8,0.0032653633844110033
JGI9,0.002854423868312756
MIC0,12.007989034573924
MIC1,29.940693706869027
MIC2,36.503150105447105
MIC3,39.90910010544711
MIC4,40.211500105447094
MIC5,40.211500105447094
MPC2,35
MPC3,44
MPC4,56
MPC5,72
MPC6,76
MPC7,92
MPC8,100
MPC9,103
Mare,0.9775
NaaN,4
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.22373504390884705
RPCG,0.12279080547751443
SIC0,0.2664540180857179
SIC1,0.6327420810960867
SIC2,0.7933079928199818
SIC3,0.9154441788809017
SIC4,0.9718147262936341
SIC5,0.9718147262936341
SaaN,17.652865961199296
SaaO,0
SaaS,0
Sare,39.1
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
