DLiP-ID,I000TN
DLiP-Mol-ID,28939
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H16N2O3S/c1-9-14(10(2)19-15-9)11-4-3-5-13(8-11)20(17,18)16-12-6-7-12/h3-5,8,12,16H,6-7H2,1-2H3"
Standard Inchi Key(RDKit),NKCXFZUAZYBPGA-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1noc(C)c1-c1cccc(S(=O)(=O)NC2CC2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),292.36
MW Monoisotopic(RDKit),292.088163372
MolLogP(RDKit),2.39914
XLogP(SDF),
XLogP(CDK),2.411
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),72.2
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.938867403457269
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Bromodomain_Histone
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,56701.7192928417
qed,0.9388674034572693
Chi0,14.328062645816686
Chi1,9.471163677742107
TPSA,72.2
Chi0n,11.381171665676638
Chi0v,12.197668246604364
Chi1n,6.52842567318262
Chi1v,8.011588920777013
Chi2n,5.122563931131535
Chi2v,6.836544287704635
Chi3n,3.36555010699617
Chi3v,4.883720993798113
Chi4n,2.202525847314476
Chi4v,3.5529805346341217
MolMR,74.75650000000005
MolWt,292.36000000000007
fr_SH,0
Kappa1,13.328940228504798
Kappa2,4.713627004641437
Kappa3,2.4844717348192296
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,726.0295508792229
MolLogP,2.39914
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.0140198127027555
SMR_VSA1,12.940891921302285
SMR_VSA2,0.0
SMR_VSA3,9.878758121577533
SMR_VSA4,0.0
SMR_VSA5,37.626441949899004
SMR_VSA6,0.0
SMR_VSA7,35.719643687569345
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,117.5833483708306
NHOHCount,1
PEOE_VSA1,4.523094936973348
PEOE_VSA2,0.0
PEOE_VSA3,13.139891848781026
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,17.289397394048667
PEOE_VSA7,44.38530327385348
PEOE_VSA8,11.605292320844956
PEOE_VSA9,10.589411470366237
RingCount,3
SMR_VSA10,10.023291153407584
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,292.088163372
NumHDonors,1
PEOE_VSA10,5.760247418874442
PEOE_VSA11,0.0
PEOE_VSA12,10.023291153407584
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,4.722094864452088
SlogP_VSA2,19.616301070602344
SlogP_VSA3,10.023291153407584
SlogP_VSA4,13.847474399381248
SlogP_VSA5,24.295818659574923
SlogP_VSA6,33.68404668633757
SlogP_VSA7,0.0
SlogP_VSA8,11.126902983393991
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,10.023291153407584
EState_VSA2,10.937324304665736
EState_VSA3,5.760247418874442
EState_VSA4,29.66247422409447
EState_VSA5,0.0
EState_VSA6,18.19910120538483
EState_VSA7,19.913841467842857
EState_VSA8,9.878758121577533
EState_VSA9,4.523094936973348
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,29.58284071344587
VSA_EState9,22.437818772570754
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,8.417796984328938
EState_VSA11,0.0
FractionCSP3,0.35714285714285715
VSA_EState10,-3.4373261526832954
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,1
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-1.6599999999999997
NumHAcceptors,4
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,20
HeavyAtomMolWt,276.232
MaxEStateIndex,12.224087537792894
MinEStateIndex,-3.4373261526832954
NumHeteroatoms,6
fr_aryl_methyl,2
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.3
FpDensityMorgan2,2.05
FpDensityMorgan3,2.65
MaxPartialCharge,0.24033565403190046
MinPartialCharge,-0.3607842423579209
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.224087537792894
MinAbsEStateIndex,0.09974101368942612
NumAliphaticRings,1
NumRotatableBonds,4
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.3607842423579209
MinAbsPartialCharge,0.24033565403190046
NumRadicalElectrons,0
NumValenceElectrons,106
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,1
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,1
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,292.08816337200045
MZ,0.7129629629629631
Mi,1.1236666479183997
Mm,0.6761232758859933
Mp,0.6911957418496343
Mv,0.6439444896759164
SZ,25.66666666666667
Si,40.45199932506239
Sm,24.34043793189576
Sp,24.883046706586835
Sv,23.18200162833299
nB,0
nC,14
nF,0
nH,16
nI,0
nN,2
nO,3
nP,0
nS,1
nX,0
ABC,15.910036130403903
AMW,8.11356009366668
IC0,1.7238734344709252
IC1,3.446209784636471
IC2,4.18354236243323
IC3,4.627986806877675
IC4,4.7390979179887855
IC5,4.7390979179887855
MID,40.00109564383338
Mpe,0.9790849673202611
Mse,1.013828194545602
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,74.75650000000005
SdO,24.448175075585787
SdS,0
Spe,35.2470588235294
SsF,0
SsI,0
Sse,36.497815003641676
StN,0
fMF,0.4444444444444444
nBr,0
nCl,0
AMID,2.000054782191669
BIC0,0.3138964943587124
BIC1,0.627513104263413
BIC2,0.7617724453025123
BIC3,0.8427004010669293
BIC4,0.8629323900080336
BIC5,0.8629323900080336
CIC0,3.446051566971387
CIC1,1.7237152168058412
CIC2,0.986382639009082
CIC3,0.5419381945646373
CIC4,0.4308270834535266
CIC5,0.4308270834535266
GGI1,5.5
GGI2,3.1666666666666674
GGI3,2.125
GGI4,1.0550000000000002
GGI5,0.6669444444444443
GGI6,0.539501133786848
GGI7,0.15887188208616781
GGI8,0.10378086419753085
GGI9,0.04938271604938271
JGI1,0.24999999999999994
JGI2,0.10555555555555556
JGI3,0.07083333333333336
JGI4,0.035166666666666666
JGI5,0.02778935185185185
JGI6,0.026975056689342407
JGI7,0.008826215671453768
JGI8,0.012972608024691357
JGI9,0.006172839506172839
MIC0,19.51827413085796
MIC1,35.13625265650622
MIC2,39.54715056159202
MIC3,40.6064283393698
MIC4,40.7184283393698
MIC5,40.7184283393698
MPC2,33
MPC3,40
MPC4,51
MPC5,56
MPC6,54
MPC7,63
MPC8,59
MPC9,60
Mare,0.9920000000000003
NaaN,1
NaaO,1
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.26514778515528986
RPCG,0.17662763191632885
SIC0,0.333442638721064
SIC1,0.666587964752882
SIC2,0.8092075535459606
SIC3,0.8951748440425255
SIC4,0.9166666666666665
SIC5,0.9166666666666665
SaaN,3.902702690644159
SaaO,5.134665637860082
SaaS,0
Sare,35.71200000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,62.059443640953305
TIC1,124.06355224691296
TIC2,150.60752504759628
TIC3,166.60752504759628
TIC4,170.60752504759628
TIC5,170.60752504759628
Vabc,245.5218070240352
WPol,30
apol,41.55468799999998
bpol,25.013311999999996
nRot,4
ABCGG,14.00723415730593
ATS0Z,1066.0
ATS0d,126.0
ATS0i,5819.967207875584
ATS0m,4224.094419000001
ATS0p,58.918018477584006
ATS0s,185.77169067215365
ATS0v,8159.15444948858
ATS1Z,1253.0
ATS1d,158.0
ATS1i,5497.582923044798
ATS1m,4828.154166
ATS1p,75.06137695000002
ATS1s,102.97067901234567
ATS1v,10513.96788032889
ATS2Z,1605.0
ATS2d,238.0
ATS2i,9974.193222133723
ATS2m,6062.305195000001
ATS2p,104.973686988792
ATS2s,249.66358024691354
ATS2v,14469.199601349568
ATS3Z,1702.0
ATS3d,244.0
ATS3i,11798.600091441978
ATS3m,6287.881721999999
ATS3p,116.13664897333899
