DLiP-ID,C0006Q
DLiP-Mol-ID,30130
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H12N2O3/c17-10-12(8-11-6-7-14(19)15(20)9-11)16(21)18-13-4-2-1-3-5-13/h1-9,19-20H,(H,18,21)/b12-8+"
Standard Inchi Key(RDKit),HKHOVJYOELRGMV-XYOKQWHBSA-N
Canonical SMILES(RDKit),N#C/C(=C\c1ccc(O)c(O)c1)C(=O)Nc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),280.283
MW Monoisotopic(RDKit),280.084792244
MolLogP(RDKit),2.64348
XLogP(SDF),
XLogP(CDK),2.255
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),93.35
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.457474598275585
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,56514.42032093229
qed,0.45747459827558473
Chi0,15.242276208189782
Chi1,10.096555450524585
TPSA,93.35
Chi0n,10.946041499670372
Chi0v,10.946041499670372
Chi1n,6.101012281907038
Chi1v,6.101012281907038
Chi2n,4.238117372506273
Chi2v,4.238117372506273
Chi3n,2.707209019453561
Chi3v,2.707209019453561
Chi4n,1.6654182568789824
Chi4v,1.6654182568789824
MolMR,78.43330000000002
MolWt,280.283
fr_SH,0
Kappa1,14.155504419859927
Kappa2,6.259617911226304
Kappa3,3.610244174370447
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,730.9324630206218
MolLogP,2.6434800000000003
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.223273617907439
SMR_VSA1,15.007591973753232
SMR_VSA2,5.261891554738487
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,5.316788604006331
SMR_VSA7,59.66749256945914
SMR_VSA8,0.0
SMR_VSA9,17.568244979360085
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,2
fr_HOCCN,0
fr_Imine,0
fr_amide,1
