DLiP-ID,T006N4
DLiP-Mol-ID,24278
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H23N5O4/c1-2-26-14(23)7-9-20-17(25)21-13-8-10-22(16(13)24)12-5-3-11(4-6-12)15(18)19/h3-6,13H,2,7-10H2,1H3,(H3,18,19)(H2,20,21,25)/t13-/m0/s1"
Standard Inchi Key(RDKit),VJDOPFARMOLELX-ZDUSSCGKSA-N
Canonical SMILES(RDKit),CCOC(=O)CCNC(=O)N[C@H]1CCN(c2ccc(C(=N)N)cc2)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),361.402
MW Monoisotopic(RDKit),361.175004216
MolLogP(RDKit),0.328370000000002
XLogP(SDF),
XLogP(CDK),0.804
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),137.61
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.314925361763111
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,619707.5837721284
qed,0.3149253617631106
Chi0,19.10408352775558
Chi1,12.417922655570505
TPSA,137.60999999999999
Chi0n,14.579842278425906
Chi0v,14.579842278425906
Chi1n,8.378467538706651
Chi1v,8.378467538706651
Chi2n,5.746945359569885
Chi2v,5.746945359569885
Chi3n,3.920821437774011
Chi3v,3.920821437774011
Chi4n,2.6116840321161265
Chi4v,2.6116840321161265
MolMR,96.00050000000003
MolWt,361.4020000000001
fr_SH,0
Kappa1,19.227725354948266
Kappa2,8.83781469129073
Kappa3,4.9477280743180625
fr_ArN,1
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,688.8985792992545
MolLogP,0.3283700000000009
NOCount,9
fr_Ar_N,0
fr_COO2,0
fr_urea,1
BalabanJ,1.8327674140568313
SMR_VSA1,19.120474506015512
SMR_VSA2,5.409283605791522
SMR_VSA3,10.633577208012662
SMR_VSA4,5.733667477162185
SMR_VSA5,25.807221274690605
SMR_VSA6,24.596304507188545
SMR_VSA7,29.828919765543436
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,150.92284648766557
NHOHCount,5
PEOE_VSA1,26.004017369825373
PEOE_VSA2,14.998357973935164
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,37.61002709646307
PEOE_VSA8,24.340350578205708
PEOE_VSA9,13.027703587438928
RingCount,2
SMR_VSA10,29.43060559008226
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,361.17500421600005
NumHDonors,4
PEOE_VSA10,11.87746061490523
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,12.000419800289922
SlogP_VSA1,21.267154416025324
SlogP_VSA2,49.48145492088472
SlogP_VSA3,14.325937321943691
SlogP_VSA4,5.409283605791522
SlogP_VSA5,25.328831937239638
SlogP_VSA6,24.26546827384644
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,1
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,12.072955341486033
EState_VSA2,30.677682831899208
EState_VSA3,30.82329775973206
EState_VSA4,0.0
EState_VSA5,0.0
EState_VSA6,36.08911520438754
EState_VSA7,0.0
EState_VSA8,10.633577208012662
EState_VSA9,15.879814036753757
SlogP_VSA10,10.481923458755384
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,69.33333333333333
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,14.383611552215466
EState_VSA11,0.0
FractionCSP3,0.4117647058823529
VSA_EState10,0.0
fr_C_O_noCOO,3
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-3.0999999999999996
NumHAcceptors,5
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,26
HeavyAtomMolWt,338.2180000000001
MaxEStateIndex,12.469821015808119
MinEStateIndex,-0.6202991150163772
NumHeteroatoms,9
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.3461538461538463
FpDensityMorgan2,2.0384615384615383
FpDensityMorgan3,2.6538461538461537
MaxPartialCharge,0.3149585097964119
MinPartialCharge,-0.4659204452070861
NumAromaticRings,1
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.469821015808119
MinAbsEStateIndex,0.038582337981937886
NumAliphaticRings,1
NumRotatableBonds,7
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.4659204452070861
MinAbsPartialCharge,0.3149585097964119
NumRadicalElectrons,0
NumValenceElectrons,140
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,361.1750042160007
MZ,0.6530612244897959
Mi,1.144225847101982
Mm,0.6140663575396023
Mp,0.6407703653916658
Mv,0.6097966120704339
SZ,32.0
Si,56.06706650799712
Sm,30.089251519440513
Sp,31.397747904191622
Sv,29.88003399145126
nB,0
nC,17
nF,0
nH,23
nI,0
nN,5
nO,4
nP,0
nS,0
nX,0
ABC,19.477071632663158
AMW,7.370918453387769
IC0,1.6731091550334964
IC1,3.8584270602178625
IC2,4.987059078764934
IC3,5.272773364479219
IC4,5.272773364479219
IC5,5.272773364479219
MID,51.63051875718876
Mpe,0.9836734693877551
Mse,1.0173164677378597
NdO,3
NdS,0
NsF,0
NsI,0
NtN,0
SMR,96.00050000000003
SdO,35.545240402457125
SdS,0
Spe,48.2
SsF,0
SsI,0
Sse,49.84850691915513
StN,0
fMF,0.22448979591836735
nBr,0
nCl,0
AMID,1.9857891829687984
BIC0,0.28684051147381057
BIC1,0.66149491090145
BIC2,0.8549893906201266
BIC3,0.9039727050698161
BIC4,0.9039727050698161
BIC5,0.9039727050698161
CIC0,3.941600689081712
CIC1,1.7562827838973458
CIC2,0.6276507653502748
CIC3,0.34193647963598917
CIC4,0.34193647963598917
CIC5,0.34193647963598917
GGI1,5.5
GGI2,3.333333333333335
GGI3,1.9444444444444446
GGI4,1.1122222222222224
GGI5,0.8755555555555555
GGI6,0.466938775510204
GGI7,0.39671910430839
GGI8,0.2557476694381456
GGI9,0.15063271604938275
JGI1,0.2037037037037037
JGI2,0.09259259259259263
JGI3,0.05401234567901234
JGI4,0.03370370370370371
JGI5,0.03019157088122606
JGI6,0.018677551020408162
JGI7,0.0158687641723356
JGI8,0.010229906777525824
JGI9,0.007928037686809617
MIC0,16.307716273507737
MIC1,35.41045978113743
MIC2,40.77890694858661
MIC3,41.066906948586606
MIC4,41.066906948586606
MIC5,41.066906948586606
MPC2,36
MPC3,44
MPC4,52
MPC5,57
MPC6,63
MPC7,70
MPC8,70
MPC9,68
Mare,0.999591836734694
NaaN,0
NaaO,0
NaaS,0
NdNH,1
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,1
NssS,0
NtCH,0
NtsC,0
RNCG,0.15072404723849434
RPCG,0.10188825538149657
SIC0,0.29798675291958077
SIC1,0.68719972489084
SIC2,0.8882131431941906
SIC3,0.9390998842096224
SIC4,0.9390998842096224
SIC5,0.9390998842096224
SaaN,0
SaaO,0
SaaS,0
Sare,48.980000000000004
SdNH,7.3830080481021385
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,4.767843838062856
SssS,0
StCH,0
StsC,0
TIC0,81.98234859664133
TIC1,189.06292595067526
TIC2,244.36589485948176
TIC3,258.3658948594817
TIC4,258.3658948594817
TIC5,258.3658948594817
Vabc,338.6647880182011
WPol,36
apol,52.434238999999984
bpol,29.693760999999995
nRot,7
ABCGG,15.948669272407042
ATS0Z,1136.0
ATS0d,149.0
ATS0i,8206.615507347728
ATS0m,4480.711778
ATS0p,66.260212811527
ATS0s,289.44444444444446
ATS0v,9996.847425615846
ATS1Z,1229.0
ATS1d,184.0
ATS1i,7632.3797181787
ATS1m,4638.919075
ATS1p,83.19655908000001
ATS1s,172.83333333333334
ATS1v,12408.550632481341
ATS2Z,1776.0
ATS2d,282.0
ATS2i,13672.511712078141
ATS2m,6579.577616
ATS2p,121.61038415564099
ATS2s,305.1666666666667
ATS2v,17470.848482693287
ATS3Z,1876.0
ATS3d,315.0
ATS3i,18703.21656234673
ATS3m,6715.913524
ATS3p,136.385900981829
ATS3s,374.4444444444444
ATS3v,19242.97547384932
ATS4Z,1807.0
ATS4d,285.0
ATS4i,17697.98417145364
ATS4m,6361.874981
ATS4p,132.04822513733902
ATS4s,415.22222222222223
ATS4v,18611.06035460929
ATS5Z,1662.0
ATS5d,266.0
ATS5i,18349.181830301583
ATS5m,5806.338317
ATS5p,124.88350226782902
ATS5s,417.1388888888889
ATS5v,17031.34265351989
ATS6Z,1413.0
ATS6d,246.0
ATS6i,17295.235214959415
ATS6m,4980.735160999999
ATS6p,109.24799352516798
ATS6s,342.80555555555554
ATS6v,14464.80825320496
ATS7Z,1308.0
ATS7d,223.0
ATS7i,14517.590644324178
ATS7m,4678.321881
ATS7p,97.878048100376
ATS7s,259.5
ATS7v,13517.256991206088
ATS8Z,1393.0
ATS8d,203.0
ATS8i,13699.291135422838
ATS8m,4963.4349330000005
ATS8p,92.09050671103701
ATS8s,353.8611111111111
ATS8v,13223.958220420005
C1SP1,0
C1SP2,3
C1SP3,4
C2SP1,0
C2SP2,5
C2SP3,3
C3SP2,1
C3SP3,0
C4SP3,0
FCSP3,0.4117647058823529
GGI10,0.156312621161106
JGI10,0.009769538822569125
JGT10,0.47667771503988676
Kier1,22.290809327846365
Kier2,11.11111111111111
Kier3,6.8429752066115705
MAXdO,12.469821015808119
MID_C,34.752307156519585
MID_N,9.664073423864332
MID_O,7.214138176804827
MID_X,0.0
MID_h,16.87821160066916
MINdO,11.211243753930356
MPC10,69
MWC01,27.0
MWC02,4.844187086458591
MWC03,5.659482215759621
MWC04,6.508769136971682
MWC05,7.346655163176539
MWC06,8.204945165019208
MWC07,9.055205875026193
MWC08,9.920098818341325
MWC09,10.778852117797637
MWC10,11.648705577328267
NaaCH,4
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,2
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,4
NdssS,0
NsCH3,1
NsNH2,1
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,2
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,0.3283700000000009
SRW02,4.007333185232471
SRW03,0.0
SRW04,5.293304824724492
SRW05,2.3978952727983707
SRW06,6.755768921984255
SRW07,4.727387818712341
SRW08,8.299783171949787
SRW09,6.803505257608338
SRW10,9.89065557372075
SaaCH,6.7861523837945334
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,1.2667293336613432
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-1.1288883760562831
SdssS,0
SsCH3,1.711458065389757
SsNH2,5.41622561260025
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,5.1510793604376754
SssPH,0
SssSe,0
SsssB,0
SsssN,1.5768621119374184
SsssP,0
VE1_A,3.9016429195024807
VE1_D,5.005927414140086
VE2_A,0.15006318921163386
VE2_D,0.19253566977461867
VE3_A,2.3169091708682528
VE3_D,2.56613413815964
VR1_A,982.7885102149628
VR1_D,149.63368446461268
VR2_A,37.799558085190874
VR2_D,5.755141710177411
VR3_A,7.845905394738155
VR3_D,5.9637016487558165
WPath,2035
Xc-3d,1.7392164557407888
Xc-4d,0.0
Xc-5d,0.4095005134074201
Xc-6d,0.0
Xp-0d,19.10408352775558
Xp-1d,12.417922655570505
Xp-2d,10.944902562318465
Xp-3d,8.53495118896474
Xp-4d,6.6057855487353
Xp-5d,4.471638612856343
Xp-6d,3.2024131799833575
Xp-7d,2.310572559836288
ZMIC0,87.02822861045075
ZMIC1,38.49067939639713
ZMIC2,24.578531047515057
ZMIC3,23.282130709340883
ZMIC4,23.282130709340883
ZMIC5,23.282130709340883
nAcid,0
nAtom,49
nBase,2
nRing,2
piPC1,3.5553480614894135
piPC2,3.9982007016691985
piPC3,4.37260741275739
piPC4,4.7481876928230164
piPC5,5.131746119845314
piPC6,5.309504555938601
piPC7,5.5916863627517435
piPC8,5.65380410484996
piPC9,5.56953654109381
AATS0Z,23.183673469387756
AATS0d,3.0408163265306123
AATS0i,167.48194912954546
AATS0m,91.44309751020408
AATS0p,1.3522492410515714
AATS0s,5.90702947845805
AATS0v,204.01729440032338
AATS1Z,24.58
AATS1d,3.68
AATS1i,152.647594363574
AATS1m,92.7783815
AATS1p,1.6639311816000002
AATS1s,3.456666666666667
AATS1v,248.17101264962682
AATS2Z,20.651162790697676
AATS2d,3.2790697674418605
AATS2i,158.98269432649002
AATS2m,76.50671646511627
AATS2p,1.4140742343679185
AATS2s,3.548449612403101
AATS2v,203.14940096154984
AATS3Z,16.601769911504423
AATS3d,2.7876106194690267
AATS3i,165.5151908172277
AATS3m,59.43286304424778
AATS3p,1.2069548759453894
AATS3s,3.3136676499508355
