DLiP-ID,C1022S
DLiP-Mol-ID,40778
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H18ClN3O5/c20-14-9-17(23(25)26)18(28-13-3-5-27-6-4-13)10-16(14)21-12-1-2-15-11(7-12)8-19(24)22-15/h1-2,7,9-10,13,21H,3-6,8H2,(H,22,24)"
Standard Inchi Key(RDKit),HYVGIYUMYNDTLT-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1Cc2cc(Nc3cc(OC4CCOCC4)c([N+](=O)[O-])cc3Cl)ccc2N1
SMILES(SDF),
MW(SDF),
MW(RDKit),403.822
MW Monoisotopic(RDKit),403.093498356
MolLogP(RDKit),4.0442
XLogP(SDF),
XLogP(CDK),2.777
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),102.73
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.576443455648337
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BCoR-BCL6
Common Target Pref Name,BCoR/BCL6
RDKit Descriptors
Ipc,2995048.5497735506
qed,0.5764434556483373
Chi0,19.672997628507925
Chi1,13.491203638441373
TPSA,102.73
Chi0n,14.866055041898996
Chi0v,15.621983987917451
Chi1n,8.915375998179819
Chi1v,9.293340471189047
Chi2n,6.7083504439304695
Chi2v,7.115550570671076
Chi3n,4.7166318607525595
Chi3v,5.029340869240859
Chi4n,3.3116745769904368
Chi4v,3.516824084882013
MolMR,104.63380000000001
MolWt,403.82200000000006
fr_SH,0
Kappa1,18.51992381198347
Kappa2,7.649328426080971
Kappa3,3.8772227810153845
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,943.4066082102283
MolLogP,4.044200000000003
NOCount,8
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.6126207167604927
SMR_VSA1,19.19157414048959
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,25.36643125652633
SMR_VSA6,23.847341137038498
SMR_VSA7,51.032238416511944
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,165.47600869493388
NHOHCount,2
PEOE_VSA1,20.10730311561276
PEOE_VSA2,14.908855452837393
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,11.600939890232516
PEOE_VSA7,23.762552697081826
PEOE_VSA8,36.34914993214237
PEOE_VSA9,35.2679161891944
RingCount,4
SMR_VSA10,40.25766471831827
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,403.093498356
NumHDonors,2
PEOE_VSA10,6.103966387748303
PEOE_VSA11,5.749511833283905
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,5.687386274683562
SlogP_VSA1,15.37044016181271
SlogP_VSA2,30.148221094943317
SlogP_VSA3,15.95222176079788
SlogP_VSA4,10.114318268765572
SlogP_VSA5,18.405094737549014
SlogP_VSA6,30.33183534230805
SlogP_VSA7,5.022633313741326
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,3
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,4.923311048817671
EState_VSA2,28.4706775388086
EState_VSA3,38.16361507248743
EState_VSA4,16.93822404106412
EState_VSA5,6.06636706846161
EState_VSA6,18.19910120538483
EState_VSA7,6.06636706846161
EState_VSA8,10.633577208012662
EState_VSA9,21.074665797832616
SlogP_VSA10,22.74954509873425
SlogP_VSA11,5.749511833283905
SlogP_VSA12,11.600939890232516
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,65.00818778694605
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
