DLiP-ID,I000TJ
DLiP-Mol-ID,28936
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H25N3O2S/c1-15(24)22(27)26-23-25-20(21(29-23)11-16-7-3-2-4-8-16)14-28-19-12-17-9-5-6-10-18(17)13-19/h2-10,15,19H,11-14,24H2,1H3,(H,25,26,27)/t15-/m0/s1"
Standard Inchi Key(RDKit),NJLCBCUEQWZJFS-HNNXBMFYSA-N
Canonical SMILES(RDKit),C[C@H](N)C(=O)Nc1nc(COC2Cc3ccccc3C2)c(Cc2ccccc2)s1
SMILES(SDF),
MW(SDF),
MW(RDKit),407.539
MW Monoisotopic(RDKit),407.16674804
MolLogP(RDKit),3.7036
XLogP(SDF),
XLogP(CDK),2.433
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),77.24
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.62600457147205
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP_Smac
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,6205301.46775978
qed,0.62600457147205
Chi0,20.216967702877938
Chi1,14.080520035918415
TPSA,77.24000000000001
Chi0n,16.42858882191325
Chi0v,17.245085402840978
Chi1n,9.855619568910534
Chi1v,10.67211614983826
Chi2n,7.439160828746678
Chi2v,8.522782584872344
Chi3n,5.098759381225859
Chi3v,6.111819579718559
Chi4n,3.5213185781110794
Chi4v,4.5233886423716445
MolMR,116.06810000000002
MolWt,407.53900000000016
fr_SH,0
Kappa1,19.76246680576238
Kappa2,8.861611559180133
Kappa3,4.902939181061141
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,959.7978443445652
MolLogP,3.7036000000000024
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.476843351996241
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,5.733667477162185
SMR_VSA5,44.93889124987784
SMR_VSA6,5.316788604006331
SMR_VSA7,81.85873327979525
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,174.48412875479806
NHOHCount,3
PEOE_VSA1,15.787319034968565
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,54.59730361615449
PEOE_VSA7,36.45573492063363
PEOE_VSA8,11.297968816627309
PEOE_VSA9,24.44661717625764
RingCount,4
SMR_VSA10,22.375524087125577
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,407.16674804
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,5.131558479839333
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,11.050456081168516
SlogP_VSA2,23.036965467194975
SlogP_VSA3,35.40074697116282
SlogP_VSA4,0.0
SlogP_VSA5,34.18516686333137
SlogP_VSA6,54.59730361615449
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,6.041840829147961
EState_VSA2,12.011146117099809
EState_VSA3,11.73844044435225
EState_VSA4,29.83354005732779
EState_VSA5,28.027140353025725
EState_VSA6,6.923737199690624
EState_VSA7,18.19910120538483
EState_VSA8,46.6989695357232
EState_VSA9,10.470530430962235
SlogP_VSA10,5.131558479839333
SlogP_VSA11,0.0
SlogP_VSA12,11.336785877934737
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,60.675369478038114
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,1
fr_thiocyan,0
EState_VSA10,4.794537184071822
EState_VSA11,0.0
FractionCSP3,0.30434782608695654
VSA_EState10,1.4912971886285376
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.5399999999999987
NumHAcceptors,5
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,29
HeavyAtomMolWt,382.3390000000001
MaxEStateIndex,11.98327815247066
MinEStateIndex,-0.5757719935729075
NumHeteroatoms,6
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.1724137931034482
FpDensityMorgan2,1.8275862068965518
FpDensityMorgan3,2.4827586206896552
MaxPartialCharge,0.242279264750846
MinPartialCharge,-0.37119368200971314
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,11.98327815247066
MinAbsEStateIndex,0.16738929831191718
NumAliphaticRings,1
NumRotatableBonds,7
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.37119368200971314
MinAbsPartialCharge,0.242279264750846
NumRadicalElectrons,0
NumValenceElectrons,150
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,1
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,407.1667480400007
MZ,0.6666666666666664
Mi,1.1185584243693265
Mm,0.6283314369235611
Mp,0.6973145375914839
Mv,0.6419146519815158
SZ,35.999999999999986
Si,60.402154915943626
Sm,33.9298975938723
Sp,37.65498502994013
Sv,34.66339120700185
nB,0
nC,23
nF,0
nH,25
nI,0
nN,3
nO,2
nP,0
nS,1
nX,0
ABC,22.834266053633407
AMW,7.540124963703716
IC0,1.5531612570552669
IC1,3.5942552546426776
IC2,4.502133048612642
IC3,4.942400409924074
IC4,5.245447224305562
IC5,5.333500696567848
MID,59.642537766972104
Mpe,0.9602759622367464
Mse,0.9967697121739368
NdO,1
NdS,0
NsF,0
NsI,0
NtN,0
SMR,116.06810000000002
SdO,11.98327815247066
SdS,0
Spe,51.854901960784304
SsF,0
SsI,0
Sse,53.82556445739259
StN,0
fMF,0.42592592592592593
nBr,0
nCl,0
AMID,2.0566392333438657
BIC0,0.2569589650153584
BIC1,0.5946427687650799
BIC2,0.7448443896458714
BIC3,0.8176833463084396
BIC4,0.8678201852367478
BIC5,0.8823879765692613
CIC0,4.201726245108201
CIC1,2.1606322475207906
CIC2,1.2527544535508266
CIC3,0.8124870922393939
CIC4,0.5094402778579061
CIC5,0.4213868055956205
GGI1,6.0
GGI2,2.4444444444444455
GGI3,1.8958333333333333
GGI4,1.1833333333333333
GGI5,0.7091666666666667
GGI6,0.6020408163265305
GGI7,0.3715277777777778
GGI8,0.33865583270345173
GGI9,0.26751543209876544
JGI1,0.1875
JGI2,0.05555555555555558
JGI3,0.04739583333333333
JGI4,0.03380952380952381
JGI5,0.019166666666666665
JGI6,0.01584317937701396
JGI7,0.010320216049382717
JGI8,0.009407106463984771
JGI9,0.0074309842249657065
MIC0,16.29756761986024
MIC1,34.06484023968543
MIC2,38.02000492596271
MIC3,40.829366169502194
MIC4,41.69617119518215
MIC5,42.19244761374105
MPC2,44
MPC3,56
MPC4,72
MPC5,86
MPC6,90
MPC7,107
MPC8,124
MPC9,127
Mare,0.9714814814814816
NaaN,1
NaaO,0
NaaS,1
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,1
NssS,0
NtCH,0
NtsC,0
RNCG,0.1612312196833313
RPCG,0.10523611594967144
SIC0,0.2698855983668452
SIC1,0.6245569966904598
SIC2,0.7823146928450172
SIC3,0.8588179018384025
SIC4,0.9114769354454992
SIC5,0.9267775772441762
SaaN,4.644860008818342
SaaO,0
SaaS,1.4912971886285376
Sare,52.46000000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,6.222397171831696
SssS,0
StCH,0
StsC,0
TIC0,83.87070788098441
TIC1,194.08978375070458
TIC2,243.11518462508263
TIC3,266.8896221359
TIC4,283.2541501125003
TIC5,288.0090376146638
Vabc,369.58991294627145
WPol,40
apol,62.88382499999998
bpol,31.284174999999994
nRot,7
ABCGG,17.589398316972964
ATS0Z,1384.0
ATS0d,177.0
ATS0i,8651.164057911326
ATS0m,5471.844132000002
ATS0p,88.58643062122498
ATS0s,189.92009602194787
ATS0v,12277.483661368251
ATS1Z,1491.0
ATS1d,223.0
ATS1i,8262.730532483698
