DLiP-ID,C000QJ
DLiP-Mol-ID,31226
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C10H6ClNO3/c11-5-1-2-6-7(3-5)12-8(10(14)15)4-9(6)13/h1-4H,(H,12,13)(H,14,15)"
Standard Inchi Key(RDKit),UAWVRVFHMOSAPU-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)c1cc(O)c2ccc(Cl)cc2n1
SMILES(SDF),
MW(SDF),
MW(RDKit),223.615
MW Monoisotopic(RDKit),223.003620732
MolLogP(RDKit),2.292
XLogP(SDF),
XLogP(CDK),2.045
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),70.42
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),15
QED Weighted(RDKit),0.778275445088711
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2530.6839572863505
qed,0.7782754450887108
Chi0,10.999635521070495
Chi1,7.075387400469407
TPSA,70.42
Chi0n,7.437254626731468
Chi0v,8.193183572749922
Chi1n,4.102917713638673
Chi1v,4.4808821866479
Chi2n,2.9932453558470207
Chi2v,3.429681136319005
Chi3n,1.9691912033042676
Chi3v,2.204288306092006
Chi4n,1.2927486220833133
Chi4v,1.4590921771246095
MolMR,55.37710000000001
MolWt,223.61499999999998
fr_SH,0
Kappa1,9.733912004652456
Kappa2,3.3993976140276496
Kappa3,1.7121178631944634
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,553.6039525151065
MolLogP,2.292
NOCount,4
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,2.7905718123091363
SMR_VSA1,15.007591973753234
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,34.982029582436226
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
