DLiP-ID,J000DU
DLiP-Mol-ID,27247
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H25N3O/c24-20(16-7-2-1-3-8-16)21-13-15-6-4-9-17(12-15)18-14-23-11-5-10-19(23)22-18/h4,6,9,12,14,16H,1-3,5,7-8,10-11,13H2,(H,21,24)"
Standard Inchi Key(RDKit),GZZSSYVKMPAQRS-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(NCc1cccc(-c2cn3c(n2)CCC3)c1)C1CCCCC1
SMILES(SDF),
MW(SDF),
MW(RDKit),323.44
MW Monoisotopic(RDKit),323.19976242
MolLogP(RDKit),3.6928
XLogP(SDF),
XLogP(CDK),4.055
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),46.92
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.932501651136739
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
Common Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
RDKit Descriptors
Ipc,704597.8811474816
qed,0.9325016511367389
Chi0,16.355160383312146
Chi1,11.792826335683708
TPSA,46.92
Chi0n,14.130738127280466
Chi0v,14.130738127280466
Chi1n,9.225245421188959
Chi1v,9.225245421188959
Chi2n,7.0924344983568455
Chi2v,7.0924344983568455
Chi3n,5.324020498750786
Chi3v,5.324020498750786
Chi4n,3.9328761816873747
Chi4v,3.9328761816873747
MolMR,94.40570000000005
MolWt,323.44000000000017
fr_SH,0
Kappa1,15.429007596651665
Kappa2,6.795189694665888
Kappa3,3.2316997104032077
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,706.7352336734529
MolLogP,3.6928000000000027
NOCount,4
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.4132856261208262
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,14.867866772744893
SMR_VSA4,5.917906046161393
SMR_VSA5,58.03526417230724
SMR_VSA6,0.0
SMR_VSA7,41.85016783515644
SMR_VSA8,0.0
SMR_VSA9,11.257379486545457
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,142.84136244907316
NHOHCount,1
PEOE_VSA1,9.883888251797686
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,37.46156607416286
PEOE_VSA7,30.892283428936633
PEOE_VSA8,37.188535544222624
PEOE_VSA9,5.693927994848461
RingCount,4
SMR_VSA10,5.907179729351506
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,323.19976242
NumHDonors,1
PEOE_VSA10,5.824404497999927
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,15.458257898090068
SlogP_VSA3,24.304871618822983
SlogP_VSA4,5.917906046161393
SlogP_VSA5,49.91278572725298
SlogP_VSA6,30.462311845459517
SlogP_VSA7,0.0
SlogP_VSA8,11.257379486545457
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,11.8250857755129
EState_VSA3,6.544756405912575
EState_VSA4,42.62805225293306
EState_VSA5,31.507690989703967
EState_VSA6,0.0
EState_VSA7,0.0
EState_VSA8,40.3462000972572
EState_VSA9,4.9839785209472085
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,2.25680392473575
VSA_EState9,45.409862741930915
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,4.794537184071822
EState_VSA11,0.0
FractionCSP3,0.5
VSA_EState10,0.0
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,1
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.1
NumHAcceptors,3
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,24
HeavyAtomMolWt,298.24
MaxEStateIndex,12.29399251872466
MinEStateIndex,0.22041469069517383
NumHeteroatoms,4
fr_aryl_methyl,2
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.2083333333333333
FpDensityMorgan2,2.0833333333333335
FpDensityMorgan3,2.9166666666666665
MaxPartialCharge,0.22287472950746734
MinPartialCharge,-0.35178716619730616
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.29399251872466
MinAbsEStateIndex,0.22041469069517383
NumAliphaticRings,2
NumRotatableBonds,4
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.35178716619730616
MinAbsPartialCharge,0.22287472950746734
NumRadicalElectrons,0
NumValenceElectrons,126
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,1
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,1
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,323.1997624200007
MZ,0.5918367346938774
Mi,1.1280147228469461
Mm,0.5495642599725762
Mp,0.6620044604668215
Mv,0.6073783132630216
SZ,28.999999999999996
Si,55.272721419500364
Sm,26.928648738656232
Sp,32.438218562874255
Sv,29.76153734988806
nB,0
nC,20
nF,0
nH,25
nI,0
nN,3
nO,1
nP,0
nS,0
nX,0
ABC,19.07995254821832
AMW,6.595913518775524
IC0,1.384304657497273
IC1,3.2508315128051697
IC2,4.3131907112413845
IC3,4.890020558312618
IC4,5.002464946156024
IC5,5.002464946156024
MID,49.87206427323175
Mpe,0.9488595438175271
Mse,0.988123727276781
NdO,1
NdS,0
NsF,0
NsI,0
NtN,0
SMR,94.40570000000005
SdO,12.29399251872466
SdS,0
Spe,46.49411764705883
SsF,0
SsI,0
Sse,48.41806263656227
StN,0
fMF,0.46938775510204084
nBr,0
nCl,0
AMID,2.0780026780513228
BIC0,0.2363108823071773
BIC1,0.5549406041960665
BIC2,0.736293052986843
BIC3,0.8347621070092129
BIC4,0.8539571825714132
BIC5,0.8539571825714132
CIC0,4.2304051866179355
CIC1,2.3638783313100387
CIC2,1.3015191328738238
CIC3,0.7246892858025902
CIC4,0.6122448979591839
CIC5,0.6122448979591839
GGI1,4.0
GGI2,2.4444444444444455
GGI3,1.1041666666666665
GGI4,0.9033333333333333
GGI5,0.535
GGI6,0.29478458049886613
GGI7,0.20921910430839002
GGI8,0.1456364953388763
GGI9,0.11625771604938273
JGI1,0.14814814814814814
JGI2,0.06606606606606609
JGI3,0.03345959595959597
JGI4,0.033456790123456794
JGI5,0.019814814814814813
JGI6,0.011791383219954646
JGI7,0.009096482796016957
JGI8,0.007281824766943815
JGI9,0.006838689179375454
MIC0,12.126148975543957
MIC1,29.39973508301935
MIC2,34.232920240477846
MIC3,35.432977526046145
MIC4,35.5463214689923
MIC5,35.5463214689923
MPC2,37
MPC3,49
MPC4,63
MPC5,73
MPC6,76
MPC7,87
MPC8,87
MPC9,96
Mare,0.9608979591836734
NaaN,1
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
