DLiP-ID,T0076H
DLiP-Mol-ID,25109
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H23N3O4/c17-16(18)12-6-8-13(9-7-12)23-11-14(20)19-10-4-2-1-3-5-15(21)22/h6-9H,1-5,10-11H2,(H3,17,18)(H,19,20)(H,21,22)"
Standard Inchi Key(RDKit),WVZYLSLRDCTENJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)c1ccc(OCC(=O)NCCCCCCC(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),321.377
MW Monoisotopic(RDKit),321.168856216
MolLogP(RDKit),1.50077
XLogP(SDF),
XLogP(CDK),1.902
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),125.5
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),11
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.279069717637198
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,100514.09265339123
qed,0.27906971763719796
Chi0,17.07913950137325
Chi1,10.986071002992368
TPSA,125.50000000000001
Chi0n,13.008457281145512
Chi0v,13.008457281145512
Chi1n,7.545356879461139
Chi1v,7.545356879461139
Chi2n,5.134632800283049
Chi2v,5.134632800283049
Chi3n,3.174837955040996
Chi3v,3.174837955040996
Chi4n,1.9132177303474192
Chi4v,1.9132177303474192
MolMR,86.68360000000004
MolWt,321.37699999999995
fr_SH,0
Kappa1,18.478947626040135
Kappa2,10.205416899327632
Kappa3,8.450321814675048
fr_ArN,1
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,528.631814927314
MolLogP,1.5007699999999995
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.0983365465543855
SMR_VSA1,19.432464716784395
SMR_VSA2,5.409283605791522
SMR_VSA3,5.316788604006331
SMR_VSA4,5.733667477162185
SMR_VSA5,32.10410811463005
SMR_VSA6,13.151638370425493
SMR_VSA7,29.828919765543436
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,134.88675132513902
NHOHCount,5
PEOE_VSA1,20.893846429809273
PEOE_VSA2,14.998357973935164
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.841643245852019
