DLiP-ID,C0015Y
DLiP-Mol-ID,31881
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H15NO2S3/c1-10-6-7-12-11(9-10)14-15(23-24-17(14)22)18(2,3)19(12)16(20)13-5-4-8-21-13/h4-9H,1-3H3"
Standard Inchi Key(RDKit),NEVVRUDKXFSGJC-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc2c(c1)-c1c(ssc1=S)C(C)(C)N2C(=O)c1ccco1
SMILES(SDF),
MW(SDF),
MW(RDKit),373.524
MW Monoisotopic(RDKit),373.02649172
MolLogP(RDKit),6.00301
XLogP(SDF),
XLogP(CDK),3.304
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),33.45
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.387165923088966
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,432779.37714232114
qed,0.3871659230889661
Chi0,17.06011345338556
Chi1,11.408720733802744
TPSA,33.45
Chi0n,13.452556662957031
Chi0v,15.902046405740208
Chi1n,7.5371857194458425
Chi1v,10.095263924170766
Chi2n,6.35573284819347
Chi2v,9.172229429121192
Chi3n,4.343907857282934
Chi3v,7.673686972365156
Chi4n,3.217169169627439
Chi4v,6.4983949858840235
MolMR,101.74650000000004
MolWt,373.5240000000001
fr_SH,0
Kappa1,15.74943964878529
Kappa2,5.373528846799915
Kappa3,2.134963938904721
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,995.6979161729905
MolLogP,6.003010000000003
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.022154346399002
SMR_VSA1,9.211688121125169
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,26.310136851455216
SMR_VSA6,4.899909730850478
SMR_VSA7,56.61965290851138
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,1
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,152.11004624721488
NHOHCount,0
PEOE_VSA1,4.417150937053347
PEOE_VSA2,9.694446914922299
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,44.52855107793543
PEOE_VSA7,45.03667987291831
PEOE_VSA8,11.126902983393991
PEOE_VSA9,22.366621716407266
RingCount,4
SMR_VSA10,44.49329852181189
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,373.02649171999997
NumHDonors,0
PEOE_VSA10,3.82380846629153
PEOE_VSA11,5.760247418874442
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,4.899909730850478
SlogP_VSA2,5.907179729351506
SlogP_VSA3,5.538925252383345
SlogP_VSA4,10.747545665982154
SlogP_VSA5,34.84285768772581
SlogP_VSA6,41.01214927500045
SlogP_VSA7,0.0
SlogP_VSA8,11.126902983393991
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.538925252383345
EState_VSA2,5.907179729351506
EState_VSA3,5.760247418874442
EState_VSA4,31.07869640976738
EState_VSA5,6.263162995639057
EState_VSA6,32.81359321165335
EState_VSA7,17.0326438677737
EState_VSA8,26.83757866753348
EState_VSA9,16.63502438010004
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
SlogP_VSA12,32.89873251777682
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,6.256912661669606
VSA_EState9,37.31650641429411
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,3
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,4.794537184071822
EState_VSA11,0.0
FractionCSP3,0.2222222222222222
VSA_EState10,8.843247590702948
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-1.76
NumHAcceptors,5
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,24
HeavyAtomMolWt,358.4040000000001
MaxEStateIndex,13.154888510959939
MinEStateIndex,-0.4864172335600909
NumHeteroatoms,6
fr_aryl_methyl,1
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.25
FpDensityMorgan2,2.0416666666666665
FpDensityMorgan3,2.75
MaxPartialCharge,0.29427602322233537
MinPartialCharge,-0.4591823914929685
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,13.154888510959939
MinAbsEStateIndex,0.13419312169312136
NumAliphaticRings,1
NumRotatableBonds,1
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.4591823914929685
MinAbsPartialCharge,0.29427602322233537
NumRadicalElectrons,0
NumValenceElectrons,122
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,2
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,373.02649172000037
MZ,0.8290598290598289
Mi,1.0919057696918855
Mm,0.7973524269419696
Mp,0.7902025948103795
Mv,0.7131393477273793
SZ,32.33333333333333
Si,42.58432501798353
Sm,31.096744650736817
Sp,30.8179011976048
Sv,27.81243456136779
nB,0
nC,18
nF,0
nH,15
nI,0
nN,1
nO,2
nP,0
nS,3
nX,0
ABC,19.331589821179648
AMW,9.564781838974369
IC0,1.6849689762403801
IC1,3.7046652831764906
IC2,4.416830347556422
IC3,4.714513436644546
IC4,4.714513436644546
IC5,4.714513436644546
MID,49.205929198852786
Mpe,0.9709401709401704
Mse,1.0054811660783989
NdO,1
NdS,1
NsF,0
NsI,0
NtN,0
SMR,101.74650000000004
SdO,13.154888510959939
SdS,5.585227282270933
Spe,37.866666666666646
SsF,0
SsI,0
Sse,39.21376547705756
StN,0
fMF,0.48717948717948717
nBr,0
nCl,0
AMID,2.0502470499521994
BIC0,0.2985492400201707
BIC1,0.656406747196789
BIC2,0.7825908738707108
BIC3,0.8353355007850982
BIC4,0.8353355007850982
BIC5,0.8353355007850982
CIC0,3.6004332426218686
CIC1,1.5807369356857581
CIC2,0.8685718713058268
CIC3,0.5708887822177031
CIC4,0.5708887822177031
CIC5,0.5708887822177031
GGI1,5.5
GGI2,4.000000000000002
GGI3,2.9305555555555554
GGI4,2.921111111111111
GGI5,1.2636111111111106
GGI6,0.8376417233560091
GGI7,0.24312641723356004
GGI8,0.10833175862937766
GGI9,0.04938271604938271
JGI1,0.20370370370370366
JGI2,0.09523809523809526
JGI3,0.06512345679012346
JGI4,0.05961451247165533
JGI5,0.028718434343434344
JGI6,0.023932620667314546
JGI7,0.012156320861678003
JGI8,0.010833175862937763
JGI9,0.012345679012345678
MIC0,21.260255630743607
MIC1,43.031071124163994
MIC2,49.18136617932122
MIC3,49.48143073312205
MIC4,49.48143073312205
MIC5,49.48143073312205
MPC2,42
MPC3,61
MPC4,89
MPC5,115
MPC6,139
MPC7,164
MPC8,179
MPC9,176
Mare,0.9783589743589747
NaaN,0
NaaO,1
NaaS,2
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.2918112061197713
RPCG,0.18701292309889125
SIC0,0.31879673607945236
SIC1,0.7009240034666591
SIC2,0.8356658896826971
SIC3,0.8919876371602624
SIC4,0.8919876371602624
SIC5,0.8919876371602624
SaaN,0
SaaO,5.368002855463173
SaaS,3.2580203084320143
Sare,38.15600000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,65.71379007337482
TIC1,144.48194604388314
TIC2,172.25638355470045
TIC3,183.86602402913726
TIC4,183.86602402913726
TIC5,183.86602402913726
Vabc,300.7709735279155
WPol,45
apol,51.46589499999999
bpol,23.052104999999997
nRot,1
ABCGG,16.839858343608146
ATS0Z,1608.0
ATS0d,153.0
ATS0i,5960.195245999035
ATS0m,6403.657989000002
ATS0p,84.59580157273497
ATS0s,142.55529835390948
ATS0v,10555.987835402222
ATS1Z,1516.0
ATS1d,193.0
ATS1i,5860.647502167598
ATS1m,5898.364155000001
ATS1p,96.58248465000003
ATS1s,121.37997256515774
ATS1v,12897.046714893715
ATS2Z,2333.0
ATS2d,324.0
ATS2i,10555.478747695492
ATS2m,9070.214203
ATS2p,148.47033032964106
ATS2s,197.21519204389574
ATS2v,19800.547271116207
ATS3Z,2704.0
ATS3d,356.0
ATS3i,13204.520212786545
ATS3m,10318.620560000001
ATS3p,176.86382270654696
ATS3s,259.4651920438958
ATS3v,23107.646923435976
ATS4Z,2924.0
ATS4d,380.0
ATS4i,16648.00074534136
