DLiP-ID,C001ZK
DLiP-Mol-ID,27330
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H12O6/c1-7-3-4-11-8(5-7)14-12(17(20)22-11)9-6-10(18)13(19)16(21-2)15(9)23-14/h3-6,18-19H,1-2H3"
Standard Inchi Key(RDKit),RIVDPVQXWKOVQQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1c(O)c(O)cc2c1oc1c3cc(C)ccc3oc(=O)c21
SMILES(SDF),
MW(SDF),
MW(RDKit),312.277
MW Monoisotopic(RDKit),312.063388104
MolLogP(RDKit),3.42062
XLogP(SDF),
XLogP(CDK),3.75
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),93.04
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.413044978357933
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,249123.87106758618
qed,0.4130449783579331
Chi0,16.30060042939172
Chi1,11.007239053047547
TPSA,93.03999999999999
Chi0n,12.336821429613874
Chi0v,12.336821429613874
Chi1n,6.8955908982576215
Chi1v,6.8955908982576215
Chi2n,5.349551856606075
Chi2v,5.349551856606075
Chi3n,3.880725396753865
Chi3v,3.880725396753865
Chi4n,2.8220684105822857
Chi4v,2.8220684105822857
MolMR,84.38060000000002
MolWt,312.27700000000004
fr_SH,0
Kappa1,13.508614597149139
Kappa2,4.42295795599528
Kappa3,1.7157926775021664
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1149.084713934387
MolLogP,3.420620000000002
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.336686138926274
SMR_VSA1,23.784219617588153
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
SMR_VSA6,7.109797541277533
SMR_VSA7,40.24904326869324
SMR_VSA8,0.0
SMR_VSA9,17.248535499851716
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,2
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,1
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,128.66896186552435
NHOHCount,2
PEOE_VSA1,23.784219617588153
PEOE_VSA2,0.0
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,11.629818560158606
PEOE_VSA7,25.122838405075456
PEOE_VSA8,5.386224214464796
PEOE_VSA9,12.49602175574233
RingCount,4
SMR_VSA10,32.907733068321114
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,2
ExactMolWt,312.06338810399996
NumHDonors,2
PEOE_VSA10,10.969244356107037
PEOE_VSA11,16.915552116568392
PEOE_VSA12,11.49902366656781
PEOE_VSA13,0.0
PEOE_VSA14,5.625586319077987
SlogP_VSA1,10.362449272878036
SlogP_VSA2,17.322852330958945
SlogP_VSA3,0.0
SlogP_VSA4,6.923737199690624
SlogP_VSA5,5.563451491696996
SlogP_VSA6,37.89430733202496
SlogP_VSA7,0.0
SlogP_VSA8,32.907733068321114
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,17.124609985645797
EState_VSA2,16.718756189390945
EState_VSA3,21.938488712214074
EState_VSA4,5.563451491696996
EState_VSA5,13.176164609739143
EState_VSA6,6.06636706846161
EState_VSA7,19.056471336613843
EState_VSA8,0.0
EState_VSA9,13.571164827906742
SlogP_VSA10,0.0
SlogP_VSA11,17.248535499851716
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,11.142760298563871
VSA_EState9,48.69057303476947
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,5
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,15.007591973753232
EState_VSA11,0.0
