DLiP-ID,T006XO
DLiP-Mol-ID,24722
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H35NO3/c1-4-24(2,3)22(27)23(28)25-18-12-11-16-20(25)21(26)17-10-6-9-15-19-13-7-5-8-14-19/h5,7-8,13-14,20H,4,6,9-12,15-18H2,1-3H3/t20-/m0/s1"
Standard Inchi Key(RDKit),WFJCJROZXOJFAE-FQEVSTJZSA-N
Canonical SMILES(RDKit),CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)CCCCCc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),385.548
MW Monoisotopic(RDKit),385.26169398
MolLogP(RDKit),4.745
XLogP(SDF),
XLogP(CDK),4.841
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),54.45
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.431497020215182
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,1510566.750886107
qed,0.43149702021518166
Chi0,20.570703332935967
Chi1,13.364209190060024
TPSA,54.45
Chi0n,17.707127893894782
Chi0v,17.707127893894782
Chi1n,10.785779869757778
Chi1v,10.785779869757778
Chi2n,8.589259154066244
Chi2v,8.589259154066244
Chi3n,6.059585401632335
Chi3v,6.059585401632335
Chi4n,3.7062792860159623
Chi4v,3.7062792860159623
MolMR,112.05200000000005
MolWt,385.5480000000001
fr_SH,0
Kappa1,22.320492648102462
Kappa2,10.540494042207206
Kappa3,6.0153333143914445
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,665.6876508712718
MolLogP,4.7450000000000045
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.8379603949500836
SMR_VSA1,14.383611552215466
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,5.41499046939678
SMR_VSA5,84.60044703455394
SMR_VSA6,6.544756405912575
SMR_VSA7,35.89528683400505
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,169.23892999544134
NHOHCount,0
PEOE_VSA1,4.899909730850478
PEOE_VSA2,14.383611552215466
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,57.52386856430593
PEOE_VSA7,50.50920285217907
PEOE_VSA8,18.380568498235363
PEOE_VSA9,6.041840829147961
RingCount,2
SMR_VSA10,17.473669622081385
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,2
fr_lactam,0
fr_phenol,0
ExactMolWt,385.26169398
NumHDonors,0
PEOE_VSA10,0.0
PEOE_VSA11,5.783244946364939
PEOE_VSA12,5.783244946364939
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,34.9601765879924
SlogP_VSA3,20.804433175141476
SlogP_VSA4,5.41499046939678
SlogP_VSA5,77.70123607417696
SlogP_VSA6,30.33183534230805
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,17.364011027896247
EState_VSA2,11.566489892729878
EState_VSA3,25.807221274690605
EState_VSA4,38.524929737556064
EState_VSA5,5.563451491696996
EState_VSA6,18.747384130231726
EState_VSA7,12.990104268152233
EState_VSA8,24.26546827384644
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,63.25
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,14.383611552215466
EState_VSA11,0.0
FractionCSP3,0.625
VSA_EState10,0.0
fr_C_O_noCOO,3
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,1
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-1.9699999999999998
NumHAcceptors,3
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,28
HeavyAtomMolWt,350.2680000000001
MaxEStateIndex,12.782731280413909
MinEStateIndex,-0.6670969400665225
NumHeteroatoms,4
fr_aryl_methyl,1
fr_isothiocyan,0
fr_Al_OH_noTert,0
