DLiP-ID,C0008W
DLiP-Mol-ID,30450
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C6H13NO2/c7-5-3-1-2-4-6(8)9/h1-5,7H2,(H,8,9)"
Standard Inchi Key(RDKit),SLXKOJJOQWFEFD-UHFFFAOYSA-N
Canonical SMILES(RDKit),NCCCCCC(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),131.175
MW Monoisotopic(RDKit),131.094628656
MolLogP(RDKit),0.5901
XLogP(SDF),
XLogP(CDK),0.0479999999999999
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),63.32
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),0
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),9
QED Weighted(RDKit),0.536584418594431
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,84.62711413110172
qed,0.5365844185944308
Chi0,7.112884175122364
Chi1,4.270055610029662
TPSA,63.32000000000001
Chi0n,5.4683460610861845
Chi0v,5.4683460610861845
Chi1n,3.189532624039047
Chi1v,3.189532624039047
Chi2n,1.9930738495979874
Chi2v,1.9930738495979874
Chi3n,1.0947663120195235
Chi3v,1.0947663120195235
Chi4n,0.5973399877469558
Chi4v,0.5973399877469558
MolMR,35.158199999999994
MolWt,131.175
fr_SH,0
Kappa1,8.43
Kappa2,5.564589502018842
Kappa3,7.43
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,83.12704561867443
MolLogP,0.5901000000000001
NOCount,3
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.8288681349096856
SMR_VSA1,9.901064578912528
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,5.733667477162185
SMR_VSA5,25.683286491704038
SMR_VSA6,6.544756405912575
SMR_VSA7,0.0
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,54.85960814906508
NHOHCount,3
PEOE_VSA1,10.84019487200289
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.4208216229260096
PEOE_VSA7,19.386399651764595
PEOE_VSA8,6.4208216229260096
PEOE_VSA9,0.0
RingCount,0
SMR_VSA10,5.969305287951849
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,131.094628656
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,5.733667477162185
SlogP_VSA2,17.62058908870513
SlogP_VSA3,4.794537184071822
SlogP_VSA4,0.0
SlogP_VSA5,25.683286491704038
SlogP_VSA6,0.0
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.969305287951849
EState_VSA2,6.4208216229260096
EState_VSA3,6.544756405912575
EState_VSA4,19.26246486877803
EState_VSA5,0.0
EState_VSA6,0.0
EState_VSA7,0.0
EState_VSA8,0.0
EState_VSA9,10.84019487200289
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,26.166666666666668
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,4.794537184071822
EState_VSA11,0.0
FractionCSP3,0.8333333333333334
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-0.5700000000000001
NumHAcceptors,2
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,9
HeavyAtomMolWt,118.07099999999997
MaxEStateIndex,9.931203231292518
MinEStateIndex,-0.715720899470899
NumHeteroatoms,3
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.3333333333333333
FpDensityMorgan2,2.0
FpDensityMorgan3,2.4444444444444446
MaxPartialCharge,0.30283956335443907
MinPartialCharge,-0.4812303897671254
NumAromaticRings,0
fr_unbrch_alkane,2
MaxAbsEStateIndex,9.931203231292518
MinAbsEStateIndex,0.2777777777777777
NumAliphaticRings,0
NumRotatableBonds,5
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.4812303897671254
MinAbsPartialCharge,0.30283956335443907
NumRadicalElectrons,0
NumValenceElectrons,54
fr_para_hydroxylation,0
NumAromaticCarbocycles,0
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,131.094628656
MZ,0.5454545454545453
Mi,1.1549496864688733
Mm,0.49641994838065123
Mp,0.5822620849210669
Mv,0.5322473863405068
SZ,11.999999999999996
Si,25.40889310231521
Sm,10.921238864374327
Sp,12.809765868263472
Sv,11.70944249949115
nB,0
nC,6
nF,0
nH,13
nI,0
nN,1
nO,2
nP,0
nS,0
nX,0
ABC,5.875633848974738
AMW,5.958846757090909
IC0,1.4769092849936092
IC1,2.6424239617719745
IC2,3.4817145729860717
IC3,3.913977073182752
IC4,3.913977073182752
IC5,3.913977073182752
MID,16.66375611131339
Mpe,0.9593582887700536
Mse,1.0043368867112492
NdO,1
NdS,0
NsF,0
NsI,0
NtN,0
SMR,35.158199999999994
SdO,9.931203231292518
SdS,0
Spe,21.10588235294118
SsF,0
SsI,0
Sse,22.095411507647484
StN,0
fMF,0.0
nBr,0
nCl,0
AMID,1.851528456812599
BIC0,0.3311877860894119
BIC1,0.5925472543919039
BIC2,0.7807529906804593
BIC3,0.8776851867904134
BIC4,0.8776851867904134
