DLiP-ID,C101UJ
DLiP-Mol-ID,40481
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H16O5/c1-9-12(18)7-13(19)16-14(20)8-15(22-17(9)16)10-3-5-11(21-2)6-4-10/h3-7,15,18-19H,8H2,1-2H3"
Standard Inchi Key(RDKit),ZUPNDQXBQBIBPZ-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(C2CC(=O)c3c(O)cc(O)c(C)c3O2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),300.31
MW Monoisotopic(RDKit),300.099773612
MolLogP(RDKit),3.12132
XLogP(SDF),
XLogP(CDK),2.576
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),75.99
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.890856398154444
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Transforming growth factor beta-1 proprotein/Mothers against decapentaplegic homolog 3
Common Target Pref Name,Uncategorized
RDKit Descriptors
Ipc,105961.49524221636
qed,0.8908563981544443
Chi0,15.853006672199017
Chi1,10.507239053047545
TPSA,75.99000000000001
Chi0n,12.29038045871581
Chi0v,12.29038045871581
Chi1n,6.902730871942626
Chi1v,6.902730871942626
Chi2n,5.250895826318128
Chi2v,5.250895826318128
Chi3n,3.8787712012062956
Chi3v,3.8787712012062956
Chi4n,2.6056743589356963
Chi4v,2.6056743589356963
MolMR,79.81910000000002
MolWt,300.31
fr_SH,0
Kappa1,14.255815398308933
Kappa2,5.2554337291334186
Kappa3,2.242935917413578
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,733.7047839765958
MolLogP,3.1213200000000016
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.0103103869335026
SMR_VSA1,24.48131788135333
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,19.448525210364934
SMR_VSA6,7.109797541277533
SMR_VSA7,47.02218981739904
SMR_VSA8,0.0
SMR_VSA9,22.99804733313562
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,2
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,127.28445680746435
NHOHCount,2
PEOE_VSA1,19.68678069728151
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,24.61992282831084
PEOE_VSA8,11.629818560158606
PEOE_VSA9,13.530619164203543
RingCount,3
SMR_VSA10,5.783244946364939
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,2
ExactMolWt,300.099773612
NumHDonors,2
PEOE_VSA10,34.66546521258092
PEOE_VSA11,5.783244946364939
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,9.473725907600098
SlogP_VSA2,23.106097277323883
SlogP_VSA3,0.0
SlogP_VSA4,6.923737199690624
SlogP_VSA5,34.00967966983712
SlogP_VSA6,30.33183534230805
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,6.103966387748303
EState_VSA2,35.01605356083966
EState_VSA3,5.563451491696996
EState_VSA4,11.3129633249809
EState_VSA5,6.06636706846161
EState_VSA6,26.166268877891376
EState_VSA7,12.13273413692322
EState_VSA8,0.0
EState_VSA9,9.473725907600098
SlogP_VSA10,0.0
SlogP_VSA11,22.99804733313562
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,56.166666666666664
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,15.007591973753234
EState_VSA11,0.0
FractionCSP3,0.23529411764705882
VSA_EState10,0.0
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.69
NumHAcceptors,5
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,22
HeavyAtomMolWt,284.182
MaxEStateIndex,12.330384857646763
MinEStateIndex,-0.45295729402872276
NumHeteroatoms,5
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.1818181818181819
FpDensityMorgan2,1.8636363636363635
FpDensityMorgan3,2.5
MaxPartialCharge,0.1739200542233532
MinPartialCharge,-0.5073981123301262
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.330384857646763
MinAbsEStateIndex,0.09774915200239831
NumAliphaticRings,1
NumRotatableBonds,2
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,1
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.5073981123301262
MinAbsPartialCharge,0.1739200542233532
NumRadicalElectrons,0
NumValenceElectrons,114
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,2
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,300.09977361200043
MZ,0.6929824561403509
Mi,1.1149801982465644
Mm,0.6579714209343188
Mp,0.6786745666561615
Mv,0.655489946115033
SZ,26.333333333333336
Si,42.369247533369446
Sm,25.002913995504116
Sp,25.78963353293414
Sv,24.90861795237125
nB,0
nC,17
nF,0
nH,16
nI,0
nN,0
nO,5
nP,0
nS,0
nX,0
ABC,17.165481260322572
AMW,7.897362463473695
IC0,1.429598335135886
IC1,3.4650694618158364
IC2,4.534258685055066
IC3,4.892407118592876
IC4,4.945038697540245
IC5,4.945038697540245
MID,44.69912458600581
Mpe,0.9881320949432401
Mse,1.0198949668417223
NdO,1
NdS,0
NsF,0
NsI,0
NtN,0
SMR,79.81910000000002
SdO,12.330384857646763
SdS,0
Spe,37.54901960784312
SsF,0
SsI,0
Sse,38.75600873998545
StN,0
fMF,0.42105263157894735
nBr,0
nCl,0
AMID,2.0317783902729913
BIC0,0.2573724848607127
BIC1,0.623821052168297
BIC2,0.8163086064750943
BIC3,0.8807865441049225
BIC4,0.8902618770868538
BIC5,0.8902618770868538
CIC0,3.818329178307699
CIC1,1.7828580516277488
CIC2,0.7136688283885189
CIC3,0.35552039485070885
CIC4,0.3028888159033398
CIC5,0.3028888159033398
GGI1,5.0
GGI2,3.1111111111111125
GGI3,1.9375
GGI4,1.7822222222222224
GGI5,1.0555555555555554
GGI6,0.48653061224489813
GGI7,0.2986111111111111
GGI8,0.20886873267825645
GGI9,0.13687500000000002
JGI1,0.20833333333333331
JGI2,0.08888888888888892
JGI3,0.04967948717948718
JGI4,0.05241830065359478
JGI5,0.04059829059829061
JGI6,0.022115027829313537
JGI7,0.015716374269005844
JGI8,0.014919195191304031
JGI9,0.015208333333333334
MIC0,12.924834169614357
MIC1,31.841569542433305
MIC2,39.96544054630656
MIC3,41.11545416731268
MIC4,41.16850679889162
MIC5,41.16850679889162
MPC2,35
MPC3,48
MPC4,63
MPC5,82
MPC6,92
MPC7,98
MPC8,104
MPC9,116
Mare,1.002105263157895
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,2
NsSH,0
NssO,2
NssS,0
NtCH,0
NtsC,0
RNCG,0.20538317710918894
RPCG,0.11865470367714327
SIC0,0.27241198196310684
SIC1,0.6602738801058872
SIC2,0.8640093967456072
SIC3,0.9322550866146733
SIC4,0.9422841083213457
SIC5,0.9422841083213457
SaaN,0
SaaO,0
SaaS,0
Sare,38.08000000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,19.679467312789825
SsSH,0
SssO,10.983288597642403
SssS,0
StCH,0
StsC,0
TIC0,54.32473673516367
TIC1,131.6726395490018
TIC2,172.3018300320925
TIC3,185.9114705065293
TIC4,187.91147050652933
TIC5,187.91147050652933
Vabc,269.2147530333507
WPol,39
apol,43.06868799999999
bpol,20.391311999999996
nRot,2
ABCGG,13.798816324545557
ATS0Z,948.0
ATS0d,134.0
ATS0i,6041.442914930484
ATS0m,3748.5870859999995
ATS0p,57.74112647758401
ATS0s,215.75
ATS0v,8779.08112545528
ATS1Z,1048.0
ATS1d,167.0
ATS1i,5742.991573807899
ATS1m,3999.3911959999996
ATS1p,73.44583631200001
ATS1s,145.27777777777777
ATS1v,11089.233734707552
ATS2Z,1569.0
ATS2d,267.0
ATS2i,10007.124303975244
ATS2m,5949.911914999999
ATS2p,108.85257278794299
ATS2s,228.86111111111117
ATS2v,16328.752442443714
ATS3Z,1874.0
ATS3d,301.0
ATS3i,12670.501313226892
ATS3m,6973.212570999998
ATS3p,126.92813773739597
ATS3s,315.61111111111114
ATS3v,19030.525736728785
ATS4Z,1836.0
ATS4d,275.0
ATS4i,14600.584986330347
ATS4m,6646.5962739999995
ATS4p,126.031050605094
ATS4s,428.66666666666663
ATS4v,18178.396946215278
ATS5Z,1398.0
ATS5d,253.0
