DLiP-ID,C001U5
DLiP-Mol-ID,32922
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H20N2O3/c1-12-16-8-9-22(13-4-6-14(23)7-5-13)20(16)17-10-15(24-2)11-18(25-3)19(17)21-12/h4-7,10-11,23H,8-9H2,1-3H3"
Standard Inchi Key(RDKit),NPQZNMPPUASIAY-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc(OC)c2nc(C)c3c(c2c1)N(c1ccc(O)cc1)CC3
SMILES(SDF),
MW(SDF),
MW(RDKit),336.391
MW Monoisotopic(RDKit),336.1473925
MolLogP(RDKit),3.96022
XLogP(SDF),
XLogP(CDK),3.605
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),54.82
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.784444403585341
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,831098.4468471328
qed,0.7844444035853405
Chi0,17.551677284948283
Chi1,12.117723500579762
TPSA,54.82000000000001
Chi0n,14.536452544938454
Chi0v,14.536452544938454
Chi1n,8.238627760176767
Chi1v,8.238627760176767
Chi2n,6.168234580556122
Chi2v,6.168234580556122
Chi3n,4.777999850376109
Chi3v,4.777999850376109
Chi4n,3.554757935493259
Chi4v,3.554757935493259
MolMR,98.40080000000003
MolWt,336.39100000000013
fr_SH,0
Kappa1,15.570312668077019
Kappa2,5.844825261042167
Kappa3,2.4315926744392398
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,951.5527609107617
MolLogP,3.960220000000003
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.0013833670320937
SMR_VSA1,14.580253302440804
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,13.344558822616634
SMR_VSA6,25.66426121931812
SMR_VSA7,47.655581897315116
SMR_VSA8,0.0
SMR_VSA9,17.248535499851716
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,145.9898471381097
NHOHCount,1
PEOE_VSA1,19.480163033291284
PEOE_VSA2,0.0
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,49.23984565662168
PEOE_VSA8,29.378661958371005
PEOE_VSA9,19.906981357238628
RingCount,4
SMR_VSA10,22.277697481448183
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,1
ExactMolWt,336.14739249999997
NumHDonors,1
PEOE_VSA10,22.765236217467976
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,14.373635638450576
SlogP_VSA2,30.854857404255558
SlogP_VSA3,6.4208216229260096
SlogP_VSA4,6.923737199690624
SlogP_VSA5,11.257379486545457
SlogP_VSA6,36.39820241076966
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,2
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
