DLiP-ID,T002PG
DLiP-Mol-ID,19083
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H24N4O4/c27-21(28)15-20(16-4-2-1-3-5-16)26-11-8-17-14-18(6-7-19(17)26)29-12-13-30-25-22-23-9-10-24-22/h1-8,11,14,20H,9-10,12-13,15H2,(H,27,28)(H2,23,24,25)"
Standard Inchi Key(RDKit),IYMCWAYNJYPRLE-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CC(c1ccccc1)n1ccc2cc(OCCONC3=NCCN3)ccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),408.458
MW Monoisotopic(RDKit),408.179755248
MolLogP(RDKit),2.5646
XLogP(SDF),
XLogP(CDK),3.672
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),97.11
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.371964721370717
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,12170419.01629074
qed,0.37196472137071673
Chi0,20.760937777247957
Chi1,14.703509938206668
TPSA,97.11
Chi0n,16.45277252491009
Chi0v,16.45277252491009
Chi1n,9.867924792055433
Chi1v,9.867924792055433
Chi2n,6.924063731812646
Chi2v,6.924063731812646
Chi3n,4.8770930297275505
Chi3v,4.8770930297275505
Chi4n,3.5079400783009187
Chi4v,3.5079400783009187
MolMR,113.65920000000006
MolWt,408.4580000000002
fr_SH,0
Kappa1,19.78162067422846
Kappa2,9.318397725319878
Kappa3,4.718726449160844
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,1
fr_azo,0
BertzCT,1032.053386231069
MolLogP,2.5645999999999995
NOCount,8
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.4231110357666727
SMR_VSA1,19.47551611644921
SMR_VSA2,0.0
SMR_VSA3,15.363984849918886
SMR_VSA4,4.992404732635669
SMR_VSA5,12.462662452073971
SMR_VSA6,26.303276740850986
