DLiP-ID,I000KN
DLiP-Mol-ID,28544
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C29H32N4O2/c1-3-29(2)18-33(15-13-19-17-31-23-7-5-4-6-21(19)23)25-10-8-20(16-27(25)35-29)32-24-12-14-30-28-22(24)9-11-26(28)34/h4-8,10,12,14,16-17,26,31,34H,3,9,11,13,15,18H2,1-2H3,(H,30,32)/t26-,29+/m1/s1"
Standard Inchi Key(RDKit),JSRQFJDQHITLFG-UHSQPCAPSA-N
Canonical SMILES(RDKit),CC[C@@]1(C)CN(CCc2c[nH]c3ccccc23)c2ccc(Nc3ccnc4c3CC[C@H]4O)cc2O1
SMILES(SDF),
MW(SDF),
MW(RDKit),468.601
MW Monoisotopic(RDKit),468.252526264
MolLogP(RDKit),5.89630000000001
XLogP(SDF),
XLogP(CDK),4.812
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),73.41
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),6
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.328739925823848
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,181019880.30283177
qed,0.32873992582384776
Chi0,23.992988584816832
Chi1,17.02691978383886
TPSA,73.41000000000001
Chi0n,20.343382725168908
Chi0v,20.343382725168908
Chi1n,12.58730184413012
Chi1v,12.58730184413012
Chi2n,10.020857133010244
Chi2v,10.020857133010244
Chi3n,7.607596600205237
Chi3v,7.607596600205237
Chi4n,5.447740889476057
Chi4v,5.447740889476057
MolMR,140.78219999999996
MolWt,468.6010000000003
fr_SH,0
Kappa1,21.985673929368396
Kappa2,8.611474498675785
Kappa3,4.017109450140093
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1380.376951074366
MolLogP,5.896300000000006
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.2686008620664575
SMR_VSA1,9.843390348640755
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,51.23577808981727
SMR_VSA6,23.30621114668196
SMR_VSA7,77.74545466916149
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,1
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,205.51129813774295
NHOHCount,3
PEOE_VSA1,25.044067204444772
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,25.122838405075452
PEOE_VSA7,67.9993949486351
PEOE_VSA8,47.28250809904852
PEOE_VSA9,24.0300370631929
RingCount,6
SMR_VSA10,27.96508375613174
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,468.252526264
NumHDonors,3
PEOE_VSA10,11.350562644267594
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,14.953561288656857
SlogP_VSA2,33.76504805954396
SlogP_VSA3,12.841643245852019
SlogP_VSA4,0.0
SlogP_VSA5,49.61391501122402
SlogP_VSA6,60.92462369091903
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,3
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
