DLiP-ID,T006ZX
DLiP-Mol-ID,24825
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H18N4O5S/c1-12-9-16(10-13(2)19(12)25)23-22-15-4-6-17(7-5-15)30(28,29)24-18-8-3-14(11-21-18)20(26)27/h3-11,25H,1-2H3,(H,21,24)(H,26,27)"
Standard Inchi Key(RDKit),WJHLTPMNRRALNX-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(N=Nc2ccc(S(=O)(=O)Nc3ccc(C(=O)O)cn3)cc2)cc(C)c1O
SMILES(SDF),
MW(SDF),
MW(RDKit),426.454
MW Monoisotopic(RDKit),426.099790676
MolLogP(RDKit),4.31844
XLogP(SDF),
XLogP(CDK),3.97
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),141.31
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.501293906450917
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4/NUT
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,3806871.8998113116
qed,0.5012939064509165
Chi0,21.88854057813175
Chi1,14.152704228094164
TPSA,141.31
Chi0n,16.065213562061878
Chi0v,16.8817101429896
Chi1n,8.697365128069126
Chi1v,10.180528375663519
Chi2n,6.464839902791411
Chi2v,8.147242144200927
Chi3n,4.15314982526686
Chi3v,5.5237847544959475
Chi4n,2.5755380352332664
Chi4v,3.5838526797151773
MolMR,110.20360000000002
MolWt,426.4540000000002
fr_SH,0
Kappa1,20.931798241552162
Kappa2,8.293382963343502
Kappa3,4.784512393978893
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,1
BertzCT,1198.0517072342984
MolLogP,4.3184400000000025
NOCount,9
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.7452129745711797
SMR_VSA1,23.425388958082166
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,10.228500251258795
SMR_VSA5,18.742957874899023
SMR_VSA6,4.722094864452088
SMR_VSA7,71.41813459439695
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,172.3674713807094
NHOHCount,3
PEOE_VSA1,10.213054789681411
PEOE_VSA2,4.722094864452088
PEOE_VSA3,18.196312689347966
PEOE_VSA4,10.228500251258795
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,73.50531393046812
PEOE_VSA8,6.196843571613076
PEOE_VSA9,21.833707516581896
RingCount,3
SMR_VSA10,33.185231768561586
fr_Al_COO,0
fr_Ar_COO,1
fr_ketone,0
fr_lactam,0
fr_phenol,1
ExactMolWt,426.09979067599994
NumHDonors,3
PEOE_VSA10,11.567374611118932
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,10.023291153407584
PEOE_VSA14,5.969305287951849
SlogP_VSA1,4.722094864452088
SlogP_VSA2,29.584135582909404
SlogP_VSA3,10.023291153407584
SlogP_VSA4,13.847474399381248
SlogP_VSA5,21.48489165916281
SlogP_VSA6,69.85176384608253
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,15.992596441359433
EState_VSA2,22.026309578333702
EState_VSA3,22.501675532761116
EState_VSA4,6.196843571613076
EState_VSA5,36.39820241076966
EState_VSA6,25.980208536304467
EState_VSA7,0.0
EState_VSA8,19.93457363665809
EState_VSA9,5.106527394840706
SlogP_VSA10,17.192635327202154
SlogP_VSA11,5.749511833283905
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,24.945473841246958
VSA_EState9,61.377479562764115
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,1
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,18.318861563241462
EState_VSA11,0.0
FractionCSP3,0.1
VSA_EState10,-3.9062867373444106
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,1
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-3.7899999999999996
NumHAcceptors,7
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,30
HeavyAtomMolWt,408.31000000000023
MaxEStateIndex,12.472736920623479
MinEStateIndex,-3.9062867373444106
NumHeteroatoms,10
fr_aryl_methyl,2
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,0.9666666666666667
FpDensityMorgan2,1.5666666666666667
FpDensityMorgan3,2.1
MaxPartialCharge,0.33676145901344684
MinPartialCharge,-0.5074046397823284
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.472736920623479
MinAbsEStateIndex,0.0016980582861925164
NumAliphaticRings,0
NumRotatableBonds,6
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.5074046397823284
MinAbsPartialCharge,0.33676145901344684
NumRadicalElectrons,0
NumValenceElectrons,154
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,1
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,426.09979067600045
MZ,0.7708333333333334
Mi,1.122240367337756
Mm,0.7396813337773708
Mp,0.7074884481037924
Mv,0.6806115577718979
SZ,37.0
Si,53.86753763221228
Sm,35.5047040213138
Sp,33.959445508982036
Sv,32.6693547730511
nB,0
nC,20
nF,0
nH,18
nI,0
nN,4
nO,5
nP,0
nS,1
nX,0
ABC,23.309273341492904
AMW,8.877078972416676
IC0,1.8119030757597878
IC1,3.875814583693911
IC2,4.553508854797679
IC3,5.178508854797678
IC4,5.345175521464345
IC5,5.345175521464345
MID,60.20879029468283
Mpe,1.0011437908496734
Mse,1.0286097960670064
NdO,3
NdS,0
NsF,0
NsI,0
NtN,0
SMR,110.20360000000002
SdO,35.78192020419969
SdS,0
Spe,48.05490196078432
SsF,0
SsI,0
Sse,49.37327021121631
StN,0
fMF,0.4583333333333333
nBr,0
nCl,0
AMID,2.0069596764894277
BIC0,0.303131708561317
BIC1,0.648424472887072
BIC2,0.7618028456213629
BIC3,0.8663654573777215
BIC4,0.8942488205127507
BIC5,0.8942488205127507
CIC0,3.7730594249613683
CIC1,1.709147917027245
CIC2,1.0314536459234773
CIC3,0.4064536459234782
CIC4,0.23978697925681125
CIC5,0.23978697925681125
GGI1,8.5
GGI2,4.444444444444446
GGI3,2.25
GGI4,1.9288888888888893
GGI5,1.0
GGI6,0.5257142857142858
GGI7,0.5972222222222223
GGI8,0.41017888636936256
GGI9,0.19125000000000006
JGI1,0.265625
JGI2,0.09661835748792276
JGI3,0.047872340425531915
JGI4,0.04945868945868947
JGI5,0.030303030303030307
JGI6,0.01642857142857143
JGI7,0.019265232974910396
JGI8,0.013672629545645418
JGI9,0.007650000000000001
MIC0,20.209547378166956
MIC1,39.22879553052279
MIC2,46.49649468912872
MIC3,48.04341135579538
MIC4,48.75303635579538
MIC5,48.75303635579538
MPC2,46
MPC3,56
MPC4,65
MPC5,78
MPC6,81
MPC7,82
MPC8,86
MPC9,90
Mare,1.0151666666666666
NaaN,1
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,2
NsBr,0
NsCl,0
NsLi,0
NsOH,2
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.18235218951404283
RPCG,0.12102606988652993
SIC0,0.3244252894313662
SIC1,0.6939732510636281
SIC2,0.8153159227496529
SIC3,0.9272235675940537
SIC4,0.9570656062192273
SIC5,0.9570656062192273
SaaN,3.789089098293019
SaaO,0
SaaS,0
Sare,48.727999999999994
SdNH,0
SdSe,0
SddC,0
SdsN,8.194079654465067
SsBr,0
SsCl,0
SsLi,0
SsOH,18.662284924932493
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,86.97134763646982
TIC1,186.03910001730773
TIC2,218.56842503028858
TIC3,248.56842503028855
TIC4,256.56842503028855
TIC5,256.56842503028855
Vabc,362.15293977914905
WPol,47
apol,56.71227399999999
bpol,28.431726
nRot,6
ABCGG,17.248428318395817
ATS0Z,1510.0
ATS0d,174.0
ATS0i,7743.951345689083
ATS0m,5996.039373
ATS0p,80.247052287282
ATS0s,339.35502400548694
ATS0v,11681.8332492185
ATS1Z,1664.0
ATS1d,208.0
ATS1i,7312.898854712101
ATS1m,6442.86902
ATS1p,98.592892922
ATS1s,179.88734567901236
ATS1v,14377.926038154255
ATS2Z,2262.0
ATS2d,307.0
ATS2i,12103.297652555626
ATS2m,8688.037591
ATS2p,140.838649489094
ATS2s,384.82716049382714
ATS2v,20379.89682139227
ATS3Z,2536.0
ATS3d,332.0
ATS3i,15434.69291255436
ATS3m,9488.838003
ATS3p,158.27579195254697
ATS3s,422.6203703703704
ATS3v,22554.826106040367
ATS4Z,2294.0
ATS4d,303.0
ATS4i,18220.936680681632
ATS4m,8283.635468
ATS4p,144.669957739339
ATS4s,506.0864197530864
ATS4v,20237.619243937166
ATS5Z,1834.0
ATS5d,264.0
ATS5i,15838.363548783995
ATS5m,6642.165182999999
ATS5p,126.094830030433
ATS5s,366.04938271604937
ATS5v,17429.118214164082
ATS6Z,1676.0
ATS6d,245.0
ATS6i,13701.589757217684
ATS6m,6221.027118
ATS6p,115.912465441282
ATS6s,319.9567901234568
ATS6v,16071.942729134553
ATS7Z,1698.0
ATS7d,236.0
ATS7i,11390.905661245295
ATS7m,6325.729404
ATS7p,116.749924201094
ATS7s,259.1975308641975
ATS7v,16171.687175548832
ATS8Z,1665.0
ATS8d,227.0
ATS8i,12257.541807467871
ATS8m,6161.07664
ATS8p,113.705965113339
ATS8s,407.00925925925924
ATS8v,15518.601762309376
C1SP1,0
C1SP2,3
C1SP3,2
C2SP1,0
C2SP2,12
C2SP3,0
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.1
GGI10,0.2395673910825426
JGI10,0.010889426867388299
JGT10,0.55778327849169
Kier1,24.638671875
Kier2,10.744801512287335
Kier3,6.75
MAXdO,12.472736920623479
MID_C,41.149442229318225
MID_N,8.151472460107538
MID_O,8.66268132777645
MID_X,0.0
MID_h,19.0593480653646
MINdO,10.836446362952739
MPC10,92
MWC01,32.0
MWC02,5.056245805348308
MWC03,5.8888779583328805
MWC04,6.762729506931879
MWC05,7.6093665379542115
MWC06,8.482808764554406
MWC07,9.333707785926467
MWC08,10.207694828570066
MWC09,11.06057313095659
MWC10,11.935201802497435
NaaCH,9
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,8
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,1
NdssS,0
NsCH3,2
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,4.3184400000000025
SRW02,4.174387269895637
SRW03,0.0
SRW04,5.517452896464707
SRW05,0.0
SRW06,7.0431599159883405
SRW07,0.0
SRW08,8.646289764750648
SRW09,0.0
SRW10,10.28755876795662
SaaCH,12.711336840667265
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,2.527531961330329
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-1.1534396116931258
SdssS,0
SsCH3,3.5239597378458485
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,2.2861905939704874
SssPH,0
SssSe,0
SsssB,0
SsssN,0
SsssP,0
VE1_A,4.660796569237798
VE1_D,5.391874300327619
VE2_A,0.15535988564125994
VE2_D,0.17972914334425397
VE3_A,2.6377986598021743
VE3_D,2.783505349752601
VR1_A,255.03697637777515
VR1_D,187.53942750232665
VR2_A,8.501232545925838
VR2_D,6.251314250077555
VR3_A,6.640020828717309
VR3_D,6.332601391985241
WPath,2990
Xc-3d,2.971041429166057
Xc-4d,0.2041241452319315
Xc-5d,0.7872939061719133
Xc-6d,0.10206207261596575
Xp-0d,21.88854057813175
Xp-1d,14.152704228094164
Xp-2d,13.663641960015303
Xp-3d,10.78945704566039
Xp-4d,8.047344252385402
Xp-5d,6.0282537130840925
Xp-6d,4.228255087499642
Xp-7d,2.7796912027130505
ZMIC0,96.52576677138579
ZMIC1,51.77894844570316
ZMIC2,34.080577088261236
ZMIC3,29.62293281619592
ZMIC4,27.827318753485585
ZMIC5,27.827318753485585
nAcid,1
nAtom,48
nBase,0
nRing,3
piPC1,3.828641396489095
piPC2,4.483002552013883
piPC3,4.988730458708206
piPC4,5.486351740748678
piPC5,6.010500949556315
piPC6,6.243317025058645
piPC7,6.550544477211524
piPC8,6.782050322607079
piPC9,7.174293512615536
AATS0Z,31.458333333333332
AATS0d,3.625
AATS0i,161.33231970185588
AATS0m,124.91748693749999
AATS0p,1.671813589318375
AATS0s,7.069896333447645
AATS0v,243.3715260253854
AATS1Z,33.28
AATS1d,4.16
AATS1i,146.25797709424202
AATS1m,128.8573804
AATS1p,1.9718578584400002
AATS1s,3.597746913580247
AATS1v,287.5585207630851
AATS2Z,28.275
AATS2d,3.8375
AATS2i,151.2912206569453
AATS2m,108.6004698875
AATS2p,1.760483118613675
AATS2s,4.81033950617284
AATS2v,254.7487102674034
AATS3Z,25.36
AATS3d,3.32
AATS3i,154.3469291255436
AATS3m,94.88838003000001
AATS3p,1.5827579195254697
AATS3s,4.226203703703704
AATS3v,225.54826106040366
AATS4Z,20.666666666666668
AATS4d,2.72972972972973
AATS4i,164.15258270884354
AATS4m,74.62734655855856
AATS4p,1.3033329526066577
AATS4s,4.55933711489267
AATS4v,182.32089408952402
AATS5Z,18.90721649484536
AATS5d,2.7216494845360826
AATS5i,163.28209844107212
AATS5m,68.47592972164948
AATS5p,1.2999467013446702
AATS5s,3.773704976454117
AATS5v,179.68163107385652
AATS6Z,19.952380952380953
AATS6d,2.9166666666666665
AATS6i,163.114163776401
AATS6m,74.05984664285714
AATS6p,1.3799103028724047
AATS6s,3.809009406231629
AATS6v,191.3326515373161
AATS7Z,22.945945945945947
AATS7d,3.189189189189189
AATS7i,153.9311575843959
AATS7m,85.48282978378379
AATS7p,1.577701678393162
AATS7s,3.5026693360026693
AATS7v,218.53631318309232
AATS8Z,21.075949367088608
AATS8d,2.8734177215189876
AATS8i,155.15875705655532
AATS8m,77.98831189873418
AATS8p,1.4393160140928989
AATS8s,5.152015939990624
AATS8v,196.43799699125793
AMID_C,1.3716480743106074
AMID_N,0.2717157486702513
AMID_O,0.28875604425921503
AMID_X,0.0
AMID_h,0.63531160217882
ATS0dv,476.44444444444446
ATS0pe,319.9608
ATS0se,388.05164499999995
ATS1dv,408.33333333333337
ATS1pe,336.0117
ATS1se,400.58671200000003
ATS2dv,665.6666666666666
ATS2pe,534.0319999999999
ATS2se,639.72109
ATS3dv,607.3333333333333
ATS3pe,665.0256999999999
ATS3se,802.496612
ATS4dv,569.6666666666666
ATS4pe,743.9009
ATS4se,909.6919340000001
ATS5dv,465.0
ATS5pe,621.7108000000001
ATS5se,766.677624
ATS6dv,443.0
ATS6pe,534.4438
ATS6se,657.3370600000001
ATS7dv,394.0
ATS7pe,472.2722
ATS7se,575.9028059999999
ATS8dv,474.0
ATS8pe,504.221
ATS8se,618.012292
ATSC0Z,483.25
ATSC0c,1.3091031218871454
ATSC0d,33.91666666666667
ATSC0i,78.93769528170787
ATSC0m,2207.3509603125003
ATSC0p,13.241176823717916
ATSC0s,131.7540705732739
ATSC0v,2264.875458630786
ATSC1Z,83.40625
ATSC1c,-0.8887725187583427
ATSC1d,8.836805555555557
ATSC1i,0.6901170100777252
ATSC1m,357.9467512578125
ATSC1p,-0.1585221973514972
ATSC1s,-29.770008070297024
ATSC1v,132.77170773416282
ATSC2Z,92.875
ATSC2c,0.4231500207079797
ATSC2d,-9.611111111111107
ATSC2i,-3.1196011913157964
ATSC2m,435.51520581249997
ATSC2p,0.8240043932158043
ATSC2s,54.66699471784027
ATSC2v,178.46793577910262
ATSC3Z,-116.4375
ATSC3c,-0.09599884259465577
ATSC3d,-15.076388888888888
ATSC3i,-58.27318164090133
ATSC3m,-546.9058288593751
ATSC3p,-6.844164421356826
ATSC3s,-14.410029286455952
ATSC3v,-1098.7602911849551
ATSC4Z,-243.390625
ATSC4c,-0.09831433457614527
ATSC4d,-1.7239583333333344
ATSC4i,-8.066393143361932
ATSC4m,-1105.9484288476563
ATSC4p,-0.8261909821358491
ATSC4s,-44.889659042602595
ATSC4v,-589.773433097453
ATSC5Z,-40.859375
ATSC5c,-0.19227979771102627
ATSC5d,7.25173611111111
ATSC5i,0.04931630527637987
ATSC5m,-172.28629871484378
ATSC5p,0.491109354805377
ATSC5s,-29.576604079444355
