DLiP-ID,C000O1
DLiP-Mol-ID,31109
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C8H9N3O4/c12-8(7-2-1-3-9-6-7)10-4-5-15-11(13)14/h1-3,6H,4-5H2,(H,10,12)"
Standard Inchi Key(RDKit),LBHIOVVIQHSOQN-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(NCCO[N+](=O)[O-])c1cccnc1
SMILES(SDF),
MW(SDF),
MW(RDKit),211.177
MW Monoisotopic(RDKit),211.059305768
MolLogP(RDKit),0.0196999999999994
XLogP(SDF),
XLogP(CDK),0.418
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),94.36
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),15
QED Weighted(RDKit),0.420563694521496
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2437.8309193197438
qed,0.4205636945214959
Chi0,11.096011838247808
Chi1,7.198377302757662
TPSA,94.36
Chi0n,7.751034991986968
Chi0v,7.751034991986968
Chi1n,4.154489943275799
Chi1v,4.154489943275799
Chi2n,2.5544316279156334
Chi2v,2.5544316279156334
Chi3n,1.5080411868293848
Chi3v,1.5080411868293848
Chi4n,0.8838766938102657
Chi4v,0.8838766938102657
MolMR,49.51660000000002
MolWt,211.17700000000002
fr_SH,0
Kappa1,10.898003120124804
Kappa2,5.529158500897423
Kappa3,4.028918378975259
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,340.9998353379908
MolLogP,0.01969999999999983
NOCount,7
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.282270098685993
SMR_VSA1,14.718744810740997
SMR_VSA2,0.0
SMR_VSA3,10.30076712495354
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,13.151638370425493
SMR_VSA7,40.20419104061193
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,85.17782117876975
NHOHCount,1
PEOE_VSA1,10.154377187742964
PEOE_VSA2,9.77851570501903
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,10.114318268765572
PEOE_VSA6,0.0
PEOE_VSA7,12.13273413692322
PEOE_VSA8,18.93844354913873
PEOE_VSA9,5.563451491696996
RingCount,1
SMR_VSA10,5.907179729351506
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,211.059305768
NumHDonors,1
PEOE_VSA10,6.606881964512918
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,10.993798772284048
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,29.12941566365675
SlogP_VSA3,4.8375885837366335
SlogP_VSA4,10.114318268765572
SlogP_VSA5,10.357988675768818
SlogP_VSA6,24.526421280149375
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.086619042932543
EState_VSA2,19.058818099777
EState_VSA3,5.563451491696996
EState_VSA4,0.0
EState_VSA5,6.196843571613076
EState_VSA6,18.3295777085363
EState_VSA7,0.0
EState_VSA8,15.138355708690174
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,46.33333333333333
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,1
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,14.908855452837393
EState_VSA11,0.0
FractionCSP3,0.25
VSA_EState10,0.0
fr_C_O_noCOO,1
