DLiP-ID,T0008F
DLiP-Mol-ID,15612
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C29H38N4O3/c34-27(9-3-7-24-11-10-21-6-4-14-30-29(21)32-24)33-15-12-20(13-16-33)25(18-28(35)36)23-17-22-5-1-2-8-26(22)31-19-23/h1-2,5,8,10-11,20,23,25,31H,3-4,6-7,9,12-19H2,(H,30,32)(H,35,36)/t23?,25-/m0/s1"
Standard Inchi Key(RDKit),ARMLWLUUIPHVKZ-YNMFNDETSA-N
Canonical SMILES(RDKit),O=C(O)C[C@@H](C1CCN(C(=O)CCCc2ccc3c(n2)NCCC3)CC1)C1CNc2ccccc2C1
SMILES(SDF),
MW(SDF),
MW(RDKit),490.648
MW Monoisotopic(RDKit),490.294391076
MolLogP(RDKit),4.3763
XLogP(SDF),
XLogP(CDK),3.369
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),94.56
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.508556403401225
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,199797739.95620993
qed,0.5085564034012253
Chi0,24.90720214718992
Chi1,17.563683283512805
TPSA,94.56
Chi0n,21.046677945559352
Chi0v,21.046677945559352
Chi1n,13.605946738348939
Chi1v,13.605946738348939
Chi2n,10.676388509783393
Chi2v,10.676388509783393
Chi3n,8.34318414583498
Chi3v,8.34318414583498
Chi4n,6.352984485235278
Chi4v,6.352984485235278
MolMR,141.1581999999999
MolWt,490.6480000000003
fr_SH,0
Kappa1,24.597637689662434
Kappa2,11.314171476045427
Kappa3,5.823275421803801
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1079.9389999335442
MolLogP,4.376300000000003
NOCount,7
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.1102952119105907
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,9.883888251797686
SMR_VSA4,17.75371813848418
SMR_VSA5,57.787394606334104
SMR_VSA6,36.812602831662964
SMR_VSA7,53.21903338901211
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,213.23644589476174
NHOHCount,3
PEOE_VSA1,20.640014333703846
PEOE_VSA2,9.589074368143644
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,24.26546827384644
PEOE_VSA7,85.95910661928347
PEOE_VSA8,50.40198313903434
PEOE_VSA9,0.0
RingCount,5
SMR_VSA10,23.381734069821945
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,490.294391076
NumHDonors,3
PEOE_VSA10,5.817862777835028
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,10.633577208012662
SlogP_VSA2,53.04592628759204
SlogP_VSA3,28.851539236921674
SlogP_VSA4,17.75371813848418
SlogP_VSA5,55.34576071579852
SlogP_VSA6,36.39820241076966
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.969305287951849
EState_VSA2,18.24590739843891
EState_VSA3,18.256633715248796
EState_VSA4,82.63656775681586
EState_VSA5,16.814289258077554
EState_VSA6,0.0
EState_VSA7,10.966276799312087
EState_VSA8,40.965412550320714
EState_VSA9,4.9839785209472085
SlogP_VSA10,11.50524905251859
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,77.16666666666666
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,2
fr_priamide,0
fr_pyridine,1
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,14.69560176298435
EState_VSA11,0.0
FractionCSP3,0.5517241379310345
VSA_EState10,0.0
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,1
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-3.089999999999999
NumHAcceptors,5
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,36
HeavyAtomMolWt,452.3440000000003
MaxEStateIndex,12.903325622021127
MinEStateIndex,-0.7191186504408955
NumHeteroatoms,7
fr_aryl_methyl,2
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.0555555555555556
FpDensityMorgan2,1.8888888888888888
FpDensityMorgan3,2.7222222222222223
MaxPartialCharge,0.30314485044531964
MinPartialCharge,-0.4812225438940466
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.903325622021127
MinAbsEStateIndex,0.12898239987397297
NumAliphaticRings,3
NumRotatableBonds,8
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,1
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.4812225438940466
MinAbsPartialCharge,0.30314485044531964
NumRadicalElectrons,0
NumValenceElectrons,192
fr_para_hydroxylation,1
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
