DLiP-ID,T006FA
DLiP-Mol-ID,23939
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H37N3O6/c1-2-33-25(31)15-21(19-6-7-22-23(14-19)35-17-34-22)28-26(32)20-4-3-13-29(16-20)24(30)8-5-18-9-11-27-12-10-18/h6-7,14,18,20-21,27H,2-5,8-13,15-17H2,1H3,(H,28,32)/t20-,21-/m1/s1"
Standard Inchi Key(RDKit),UQJHHYBYEHRKJP-NHCUHLMSSA-N
Canonical SMILES(RDKit),CCOC(=O)C[C@@H](NC(=O)[C@@H]1CCCN(C(=O)CCC2CCNCC2)C1)c1ccc2c(c1)OCO2
SMILES(SDF),
MW(SDF),
MW(RDKit),487.597
MW Monoisotopic(RDKit),487.268235904
MolLogP(RDKit),2.5442
XLogP(SDF),
XLogP(CDK),1.684
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),106.2
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.515788635820576
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,111009887.0504527
qed,0.5157886358205758
Chi0,24.62274509681375
Chi1,17.029208440902156
TPSA,106.20000000000002
Chi0n,20.553193108846013
Chi0v,20.553193108846013
Chi1n,12.87170196679953
Chi1v,12.87170196679953
Chi2n,9.593975064258514
Chi2v,9.593975064258514
Chi3n,7.161663934709778
Chi3v,7.161663934709778
Chi4n,5.132017937313608
Chi4v,5.132017937313608
MolMR,128.83040000000003
MolWt,487.5970000000004
fr_SH,0
Kappa1,25.28792486870083
Kappa2,12.241305828794431
Kappa3,6.871356023706818
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,901.0733571554861
MolLogP,2.5442
NOCount,9
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.358855494754272
SMR_VSA1,28.59420041361561
SMR_VSA2,0.0
SMR_VSA3,15.533486938863138
SMR_VSA4,11.835812092322787
SMR_VSA5,57.91132938932067
SMR_VSA6,39.578849894263044
SMR_VSA7,23.762552697081826
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,3
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,206.39751197291287
NHOHCount,2
PEOE_VSA1,29.744075800263285
PEOE_VSA2,14.383611552215466
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.06636706846161
PEOE_VSA7,75.73144980092744
PEOE_VSA8,19.51033443475116
PEOE_VSA9,24.987450462748285
RingCount,4
SMR_VSA10,17.78366474665486
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,487.268235904
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,11.49902366656781
PEOE_VSA12,18.607301764802838
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,20.10730311561276
SlogP_VSA2,62.262424371768375
SlogP_VSA3,19.120474506015512
SlogP_VSA4,11.835812092322787
SlogP_VSA5,63.474780881017665
SlogP_VSA6,18.19910120538483
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,6.041840829147961
EState_VSA2,43.522216686355
EState_VSA3,36.927264147480365
EState_VSA4,50.75707241815219
EState_VSA5,0.0
EState_VSA6,19.056471336613843
EState_VSA7,10.966276799312087
EState_VSA8,10.633577208012662
EState_VSA9,14.210588861400147
SlogP_VSA10,0.0
SlogP_VSA11,11.49902366656781
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,80.0
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
