DLiP-ID,C001HF
DLiP-Mol-ID,32368
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C9H7FN2S/c10-7-3-1-2-6(4-7)8-5-13-9(11)12-8/h1-5H,(H2,11,12)"
Standard Inchi Key(RDKit),XBHHILITQUEDDC-UHFFFAOYSA-N
Canonical SMILES(RDKit),Nc1nc(-c2cccc(F)c2)cs1
SMILES(SDF),
MW(SDF),
MW(RDKit),194.234
MW Monoisotopic(RDKit),194.031397444
MolLogP(RDKit),2.5314
XLogP(SDF),
XLogP(CDK),2.202
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),38.91
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),13
QED Weighted(RDKit),0.75719474195463
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1462.844321128034
qed,0.7571947419546301
Chi0,9.259148545064338
Chi1,6.2540201954234895
TPSA,38.91
Chi0n,6.697527974110804
Chi0v,7.51402455503853
Chi1n,3.7247397118675636
Chi1v,4.604392523122458
Chi2n,2.5813310868301023
Chi2v,3.471012053851705
Chi3n,1.6423300840930912
Chi3v,2.3162207115719804
Chi4n,1.0680067448009012
Chi4v,1.6402231399378402
MolMR,51.920400000000015
MolWt,194.23399999999998
fr_SH,0
Kappa1,8.190654608597187
Kappa2,3.141802958942123
Kappa3,1.6724662505443462
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,425.0579801974958
MolLogP,2.5314000000000005
NOCount,2
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.462852755389602
SMR_VSA1,4.39041504767482
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,5.733667477162185
SMR_VSA7,35.46275188535825
SMR_VSA8,0.0
SMR_VSA9,11.257379486545457
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,78.85393467685795
NHOHCount,2
PEOE_VSA1,5.733667477162185
PEOE_VSA2,0.0
PEOE_VSA3,9.374393568622029
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,12.13273413692322
PEOE_VSA7,12.13273413692322
PEOE_VSA8,10.94351426216291
PEOE_VSA9,5.693927994848461
RingCount,2
SMR_VSA10,16.468344357774072
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,194.031397444
NumHDonors,1
PEOE_VSA10,5.817220841045895
PEOE_VSA11,5.131558479839333
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,5.733667477162185
SlogP_VSA2,4.9839785209472085
SlogP_VSA3,0.0
SlogP_VSA4,5.817220841045895
SlogP_VSA5,0.0
SlogP_VSA6,29.645531044312357
SlogP_VSA7,0.0
SlogP_VSA8,11.257379486545457
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,5.817220841045895
EState_VSA3,5.131558479839333
EState_VSA4,11.257379486545457
EState_VSA5,23.469520014857956
EState_VSA6,12.13273413692322
EState_VSA7,5.380062770465915
EState_VSA8,4.9839785209472085
EState_VSA9,5.733667477162185
SlogP_VSA10,9.521973527514152
SlogP_VSA11,0.0
SlogP_VSA12,11.336785877934737
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,12.803990929705215
VSA_EState9,19.346695956160243
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,1
fr_thiocyan,0
EState_VSA10,4.39041504767482
EState_VSA11,0.0
FractionCSP3,0.0
VSA_EState10,1.3493131141345425
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-1.4200000000000002
NumHAcceptors,3
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,13
HeavyAtomMolWt,187.17799999999997
MaxEStateIndex,12.803990929705215
MinEStateIndex,-0.26011904761904736
NumHeteroatoms,4
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.3846153846153846
FpDensityMorgan2,2.230769230769231
FpDensityMorgan3,2.8461538461538463
MaxPartialCharge,0.1800586327371831
MinPartialCharge,-0.37510044344148746
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.803990929705215
MinAbsEStateIndex,0.26011904761904736
NumAliphaticRings,0
NumRotatableBonds,1
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.37510044344148746
MinAbsPartialCharge,0.1800586327371831
NumRadicalElectrons,0
NumValenceElectrons,66
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,194.031397444
MZ,0.8333333333333336
Mi,1.1251157207179205
Mm,0.8085396852884855
Mp,0.7591182934131736
Mv,0.7122966924486059
SZ,16.66666666666667
Si,22.50231441435841
Sm,16.17079370576971
Sp,15.182365868263473
Sv,14.245933848972118
nB,0
nC,9
nF,1
nH,7
nI,0
nN,2
nO,0
nP,0
nS,1
nX,1
ABC,10.077834421574144
AMW,9.7015698722
IC0,1.8128876215181606
IC1,3.2414460711655217
IC2,3.8219280948873626
IC3,4.221928094887363
IC4,4.221928094887363
IC5,4.221928094887363
MID,26.220000264389498
Mpe,0.9998039215686276
Mse,1.0233612527312455
NdO,0
NdS,0
NsF,1
NsI,0
NtN,0
SMR,51.920400000000015
SdO,0
SdS,0
Spe,19.996078431372553
SsF,12.803990929705215
SsI,0
Sse,20.467225054624908
StN,0
fMF,0.55
nBr,0
nCl,0
AMID,2.0169230972607304
BIC0,0.38568468701373176
BIC1,0.6896048594465187
BIC2,0.8131001191520101
BIC3,0.8981985405733555
BIC4,0.8981985405733555
BIC5,0.8981985405733555
CIC0,2.509040473369202
CIC1,1.0804820237218409
CIC2,0.5
CIC3,0.09999999999999964
CIC4,0.09999999999999964
CIC5,0.09999999999999964
GGI1,3.0
GGI2,1.333333333333334
GGI3,0.7222222222222221
GGI4,0.5522222222222222
GGI5,0.26055555555555554
GGI6,0.15759637188208617
GGI7,0.027777777777777776
GGI8,0.0
GGI9,0.0
JGI1,0.21428571428571425
JGI2,0.07017543859649125
JGI3,0.04814814814814815
JGI4,0.04601851851851852
JGI5,0.02605555555555555
JGI6,0.026266061980347696
JGI7,0.013888888888888888
JGI8,0.0
JGI9,0.0
MIC0,22.448848126070054
MIC1,36.482943199205984
MIC2,41.469269079117595
MIC3,41.8724690791176
MIC4,41.8724690791176
MIC5,41.8724690791176
MPC2,19
MPC3,23
MPC4,29
MPC5,31
MPC6,27
MPC7,25
MPC8,21
MPC9,15
Mare,1.0115999999999998
NaaN,1
NaaO,0
NaaS,1
NdNH,0
