DLiP-ID,T0078I
DLiP-Mol-ID,25191
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H32N2O7S/c1-30-21-14-17(15-22(31-2)23(21)32-3)8-7-13-33-24(27)20-11-4-5-12-26(20)34(28,29)19-10-6-9-18(25)16-19/h6,9-10,14-16,20H,4-5,7-8,11-13,25H2,1-3H3"
Standard Inchi Key(RDKit),XAGPISNWGGUKIZ-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc(CCCOC(=O)C2CCCCN2S(=O)(=O)c2cccc(N)c2)cc(OC)c1OC
SMILES(SDF),
MW(SDF),
MW(RDKit),492.594
MW Monoisotopic(RDKit),492.193022364
MolLogP(RDKit),3.0138
XLogP(SDF),
XLogP(CDK),2.666
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),117.39
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.30556384308269
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,32564872.017174233
qed,0.30556384308269013
Chi0,24.716967702877938
Chi1,16.310428841419803
TPSA,117.39
Chi0n,19.781749541033705
Chi0v,20.59824612196143
Chi1n,11.143718745982314
Chi1v,12.583782074782954
Chi2n,8.004464542497235
Chi2v,9.895019143369632
Chi3n,5.769070215117236
Chi3v,7.67323724266977
Chi4n,4.063635862308415
Chi4v,5.765928149513084
MolMR,127.76320000000004
MolWt,492.5940000000002
fr_SH,0
Kappa1,25.63946928627584
Kappa2,11.435107574340066
