DLiP-ID,I000WD
DLiP-Mol-ID,29049
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H18FN3O3/c22-15-6-7-18-16(12-15)17(13-23-18)19(26)21(28)25-10-8-24(9-11-25)20(27)14-4-2-1-3-5-14/h1-7,12-13,23H,8-11H2"
Standard Inchi Key(RDKit),OXTPRTIEPINELH-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(C(=O)N1CCN(C(=O)c2ccccc2)CC1)c1c[nH]c2ccc(F)cc12
SMILES(SDF),
MW(SDF),
MW(RDKit),379.391
MW Monoisotopic(RDKit),379.133219656
MolLogP(RDKit),2.4743
XLogP(SDF),
XLogP(CDK),2.993
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),73.48
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.561277770004212
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD4_gp120
Common Target Pref Name,CD4/gp120
RDKit Descriptors
Ipc,3732510.68291542
qed,0.5612777700042122
Chi0,19.672997628507925
Chi1,13.541713895658194
TPSA,73.48
Chi0n,15.021716082853558
Chi0v,15.021716082853558
Chi1n,8.989547075192888
Chi1v,8.989547075192888
Chi2n,6.671806992279537
Chi2v,6.671806992279537
Chi3n,4.957498526723254
Chi3v,4.957498526723254
Chi4n,3.4154495171332835
Chi4v,3.4154495171332835
MolMR,101.51270000000004
MolWt,379.3910000000001
fr_SH,0
Kappa1,17.910109518658736
Kappa2,7.264993271088878
Kappa3,3.264740101644372
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1053.202873011093
MolLogP,2.4743000000000004
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.4407675348847544
SMR_VSA1,18.774026599890284
SMR_VSA2,0.0
SMR_VSA3,14.783797982648164
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,26.1790256236503
SMR_VSA7,71.67190394374585
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,160.09785496902177
NHOHCount,1
PEOE_VSA1,14.783797982648164
PEOE_VSA2,14.383611552215466
PEOE_VSA3,4.39041504767482
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,30.33183534230805
PEOE_VSA8,48.84224561904143
PEOE_VSA9,5.563451491696996
RingCount,4
SMR_VSA10,28.50052933714901
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,379.133219656
NumHDonors,1
PEOE_VSA10,5.817220841045895
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,17.59760440506795
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,58.56042801136641
SlogP_VSA3,4.794537184071822
SlogP_VSA4,5.817220841045895
SlogP_VSA5,20.715977351537635
SlogP_VSA6,54.727780119305955
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,17.507645516762338
EState_VSA2,24.56014403287365
EState_VSA3,29.555889235603203
EState_VSA4,0.0
EState_VSA5,29.295854507848382
EState_VSA6,29.165378004696915
EState_VSA7,6.06636706846161
EState_VSA8,4.9839785209472085
EState_VSA9,0.0
SlogP_VSA10,4.39041504767482
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,13.514021814544313
VSA_EState9,59.31931151878901
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,18.774026599890284
EState_VSA11,0.0
FractionCSP3,0.19047619047619047
VSA_EState10,0.0
fr_C_O_noCOO,3
fr_Nhpyrrole,1
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,1
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-3.4799999999999986
NumHAcceptors,3
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,28
HeavyAtomMolWt,361.2470000000001
MaxEStateIndex,13.514021814544313
MinEStateIndex,-0.6808463847226471
NumHeteroatoms,7
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,0.8928571428571429
FpDensityMorgan2,1.5714285714285714
FpDensityMorgan3,2.2857142857142856
MaxPartialCharge,0.2946662211966771
MinPartialCharge,-0.3604141768095458
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,13.514021814544313
MinAbsEStateIndex,0.09154691802238668
NumAliphaticRings,1
NumRotatableBonds,3
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,1
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.3604141768095458
MinAbsPartialCharge,0.2946662211966771
NumRadicalElectrons,0
NumValenceElectrons,142
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,379.1332196560005
MZ,0.7173913043478258
Mi,1.1257664461021002
Mm,0.6866738156689699
Mp,0.6942889091382455
Mv,0.6726368020955936
SZ,32.999999999999986
Si,51.785256520696606
Sm,31.586995520772618
Sp,31.93728982035929
Sv,30.941292896397307
nB,0
nC,21
nF,1
nH,18
nI,0
nN,3
nO,3
nP,0
nS,0
nX,1
ABC,22.07478861410852
AMW,8.24202651426088
IC0,1.6799295449995666
IC1,3.3922771730720616
IC2,4.115847010357807
IC3,4.72454266253172
IC4,4.9148663038831
IC5,5.08877934736136
MID,57.44872255020229
Mpe,0.9937766410912189
Mse,1.020187466354223
NdO,3
NdS,0
NsF,1
NsI,0
NtN,0
SMR,101.51270000000004
SdO,37.781039969689374
SdS,0
Spe,45.71372549019607
SsF,13.514021814544313
SsI,0
Sse,46.92862345229426
StN,0
fMF,0.5217391304347826
nBr,0
nCl,0
AMID,2.051740091078653
BIC0,0.2855739386026164
BIC1,0.5766586795437233
BIC2,0.6996594856803865
BIC3,0.8031326434202473
BIC4,0.8354860668311793
BIC5,0.865049826185425
CIC0,3.8436324110574462
CIC1,2.1312847829849515
CIC2,1.4077149456992064
CIC3,0.7990192935252933
CIC4,0.6086956521739131
CIC5,0.4347826086956532
GGI1,5.0
GGI2,4.000000000000002
GGI3,2.3194444444444446
GGI4,1.666666666666667
GGI5,0.9308333333333334
GGI6,0.5551927437641723
GGI7,0.3889243197278911
GGI8,0.25597600151171573
GGI9,0.19687500000000008
JGI1,0.16129032258064513
JGI2,0.09090909090909095
JGI3,0.05042270531400965
JGI4,0.04065040650406505
JGI5,0.02515765765765766
JGI6,0.017349773242630383
JGI7,0.013890154275996111
JGI8,0.010665666729654823
JGI9,0.008948863636363638
MIC0,16.72558270846588
MIC1,32.02321164177702
MIC2,39.86945087569436
MIC3,42.83732103191837
MIC4,43.98594987109621
MIC5,44.161254218922295
MPC2,44
MPC3,60
MPC4,76
MPC5,93
MPC6,97
