DLiP-ID,T005O3
DLiP-Mol-ID,22761
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H16N4O3S2/c1-12-11-16(20-24-12)21-26(22,23)15-9-7-14(8-10-15)19-17(25)18-13-5-3-2-4-6-13/h2-11H,1H3,(H,20,21)(H2,18,19,25)"
Standard Inchi Key(RDKit),RQZXRKDDMOWHSE-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(NS(=O)(=O)c2ccc(NC(=S)Nc3ccccc3)cc2)no1
SMILES(SDF),
MW(SDF),
MW(RDKit),388.474
MW Monoisotopic(RDKit),388.066382372
MolLogP(RDKit),3.59272
XLogP(SDF),
XLogP(CDK),3.233
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),96.26
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.574820069726286
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cyclophilins
Common Target Pref Name,Cyclophilins
RDKit Descriptors
Ipc,835249.7840472934
qed,0.5748200697262855
Chi0,18.570703332935967
Chi1,12.420653420525285
TPSA,96.26
Chi0n,13.761957739715536
Chi0v,15.394950901570988
Chi1n,7.615411974604597
Chi1v,9.506823512662852
Chi2n,5.397828378518882
Chi2v,7.4884789103922635
Chi3n,3.321042332622829
Chi3v,4.895801407083856
Chi4n,2.1434419282817565
Chi4v,3.362906188469609
MolMR,104.7759
MolWt,388.4740000000001
fr_SH,0
Kappa1,17.89839309295623
Kappa2,7.543538500658854
Kappa3,4.584410146427508
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,1
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1000.0019586174506
MolLogP,3.592720000000001
NOCount,7
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.6477104935229203
SMR_VSA1,12.940891921302285
SMR_VSA2,0.0
SMR_VSA3,5.156663257125445
SMR_VSA4,0.0
SMR_VSA5,11.819220675208399
SMR_VSA6,15.355672072464749
SMR_VSA7,66.42391810349054
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,156.00995200165497
NHOHCount,3
PEOE_VSA1,15.156672144986011
PEOE_VSA2,4.722094864452088
PEOE_VSA3,8.417796984328938
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,23.355764462510276
PEOE_VSA7,55.539813053506975
PEOE_VSA8,17.441139617828735
PEOE_VSA9,4.895483475517775
RingCount,3
SMR_VSA10,44.54623680838119
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,388.066382372
NumHDonors,3
PEOE_VSA10,5.760247418874442
PEOE_VSA11,10.930299662559786
PEOE_VSA12,0.0
PEOE_VSA13,10.023291153407584
PEOE_VSA14,0.0
SlogP_VSA1,15.355672072464749
SlogP_VSA2,18.68689712617914
SlogP_VSA3,10.023291153407584
SlogP_VSA4,6.923737199690624
SlogP_VSA5,5.760247418874442
SlogP_VSA6,70.08224909710722
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,3
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,10.023291153407584
EState_VSA2,10.713346253352803
EState_VSA3,16.56007057828276
EState_VSA4,5.687386274683562
EState_VSA5,18.19910120538483
EState_VSA6,19.056471336613843
EState_VSA7,30.33183534230805
EState_VSA8,20.512335329590194
EState_VSA9,16.740968380020043
SlogP_VSA10,17.19263532720215
SlogP_VSA11,0.0
SlogP_VSA12,12.217873443046695
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,29.518113300550837
VSA_EState9,33.565870845900896
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,8.417796984328938
