DLiP-ID,T006Q0
DLiP-Mol-ID,24395
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H28N4O4/c22-19(23)15-5-7-16(8-6-15)25-14-11-21(20(25)29)9-12-24(13-10-21)17(26)3-1-2-4-18(27)28/h5-8H,1-4,9-14H2,(H3,22,23)(H,27,28)"
Standard Inchi Key(RDKit),VOHAIIJXEBZPKK-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)c1ccc(N2CCC3(CCN(C(=O)CCCCC(=O)O)CC3)C2=O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),400.479
MW Monoisotopic(RDKit),400.211055376
MolLogP(RDKit),1.96117
XLogP(SDF),
XLogP(CDK),0.888
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),127.79
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.366148049399735
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,3211968.637920409
qed,0.3661480493997355
Chi0,21.018297090128673
Chi1,13.821004869020491
TPSA,127.79000000000002
Chi0n,16.524204815705072
Chi0v,16.524204815705072
Chi1n,10.083292217353325
Chi1v,10.083292217353325
Chi2n,7.929301798777014
Chi2v,7.929301798777014
Chi3n,6.107313967382102
Chi3v,6.107313967382102
Chi4n,4.246458261104172
Chi4v,4.246458261104172
MolMR,108.77890000000005
MolWt,400.4790000000002
fr_SH,0
Kappa1,20.82453489697446
Kappa2,8.630265627127475
Kappa3,4.576180551521965
fr_ArN,1
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,797.4040499333744
MolLogP,1.9611699999999994
NOCount,8
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.5381456369741087
SMR_VSA1,19.49013894705617
SMR_VSA2,5.409283605791522
SMR_VSA3,4.899909730850478
SMR_VSA4,11.148657946558965
SMR_VSA5,44.94575136048208
SMR_VSA6,24.534178948588206
SMR_VSA7,29.828919765543436
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,169.71758161739916
NHOHCount,4
PEOE_VSA1,20.640014333703846
PEOE_VSA2,19.792895158006985
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,56.36957638847649
PEOE_VSA8,43.7267502299703
PEOE_VSA9,5.41499046939678
RingCount,3
SMR_VSA10,29.306670807095692
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,400.21105537599993
NumHDonors,3
PEOE_VSA10,5.835619785757269
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,10.633577208012664
SlogP_VSA2,53.259990875841034
SlogP_VSA3,14.383611552215466
SlogP_VSA4,10.824274075188303
SlogP_VSA5,50.50920285217907
SlogP_VSA6,24.26546827384644
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,1
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,11.384295757348628
EState_VSA2,24.07080086738629
EState_VSA3,57.30182882406477
EState_VSA4,12.10820789760957
EState_VSA5,0.0
EState_VSA6,17.032643867773697
EState_VSA7,17.032643867773697
EState_VSA8,0.0
EState_VSA9,16.249478477794412
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,74.25000000000001
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,14.383611552215466
EState_VSA11,0.0
FractionCSP3,0.5238095238095238
VSA_EState10,0.0
fr_C_O_noCOO,2
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,1
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.9000000000000004
NumHAcceptors,4
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,29
HeavyAtomMolWt,372.25500000000017
MaxEStateIndex,13.15277405782557
MinEStateIndex,-0.8355585830648959
NumHeteroatoms,8
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.0344827586206897
FpDensityMorgan2,1.6206896551724137
FpDensityMorgan3,2.206896551724138
MaxPartialCharge,0.30283977886336944
MinPartialCharge,-0.48123038863914863
NumAromaticRings,1
fr_unbrch_alkane,1
MaxAbsEStateIndex,13.15277405782557
MinAbsEStateIndex,0.0007110887648673625
NumAliphaticRings,2
NumRotatableBonds,7
NumSaturatedRings,2
fr_Ndealkylation1,0
fr_Ndealkylation2,1
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.48123038863914863
MinAbsPartialCharge,0.30283977886336944
NumRadicalElectrons,0
NumValenceElectrons,156
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,2
NumSaturatedHeterocycles,2
Mordred Descriptors
MW,400.21105537600073
MZ,0.6257309941520467
Mi,1.1370974099191213
Mm,0.5849594012506081
Mp,0.6444816052106314
Mv,0.6048533321906436
SZ,35.666666666666664
Si,64.81455236538991
Sm,33.34268587128466
Sp,36.73545149700599
Sv,34.47663993486669
nB,0
nC,21
nF,0
nH,28
nI,0
nN,4
nO,4
nP,0
nS,0
nX,0
ABC,22.353279000331877
AMW,7.021246585543873
IC0,1.572458370375849
IC1,3.559943042647004
IC2,4.473522585123266
IC3,5.069560628123918
IC4,5.236398786094567
IC5,5.236398786094567
MID,58.391290848068195
Mpe,0.9705538355693156
Mse,1.0071044326037233
NdO,3
NdS,0
NsF,0
NsI,0
NtN,0
SMR,108.77890000000005
SdO,36.05795745693366
SdS,0
Spe,55.32156862745099
SsF,0
SsI,0
Sse,57.40495265841223
StN,0
fMF,0.2807017543859649
nBr,0
nCl,0
AMID,2.0134927878644207
BIC0,0.260151528726381
BIC1,0.5889660687819035
BIC2,0.7401110014973812
BIC3,0.8387210575643266
BIC4,0.8663231885101419
BIC5,0.8663231885101419
CIC0,4.260431643788892
CIC1,2.2729469715177375
CIC2,1.359367429041475
CIC3,0.763329386040823
CIC4,0.5964912280701746
CIC5,0.5964912280701746
GGI1,7.0
GGI2,4.666666666666668
GGI3,2.3541666666666665
GGI4,1.655555555555556
GGI5,1.0591666666666666
GGI6,0.5485714285714286
GGI7,0.5173965419501134
GGI8,0.43035871756109845
GGI9,0.2003163580246914
JGI1,0.2258064516129032
JGI2,0.10606060606060609
JGI3,0.051177536231884056
JGI4,0.042450142450142454
JGI5,0.0320959595959596
JGI6,0.017142857142857144
JGI7,0.015678683089397377
JGI8,0.015369954198610659
JGI9,0.008346514917695474
MIC0,14.953343136800319
MIC1,31.964563138871807
MIC2,37.395335399883685
MIC3,39.440001873303856
MIC4,39.60817473653828
MIC5,39.60817473653828
MPC2,44
MPC3,57
MPC4,69
MPC5,85
MPC6,101
MPC7,116
MPC8,122
MPC9,138
Mare,0.9851228070175438
NaaN,0
NaaO,0
NaaS,0
NdNH,1
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.16441567276595465
RPCG,0.10346729374867084
SIC0,0.26958477985308316
SIC1,0.6103223331833698
SIC2,0.7669478721970838
SIC3,0.8691335882920587
SIC4,0.89773658913135
SIC5,0.89773658913135
SaaN,0
SaaO,0
SaaS,0
Sare,56.152
SdNH,7.474595019191727
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,8.665464563632016
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,89.63012711142339
TIC1,202.91675343087923
TIC2,254.9907873520262
TIC3,288.96495580306333
TIC4,298.4747308073903
TIC5,298.4747308073903
Vabc,384.4955093681687
WPol,46
apol,61.348203999999974
bpol,33.543796
nRot,7
ABCGG,17.066923022227392
ATS0Z,1236.0
ATS0d,178.0
ATS0i,9427.141129018974
ATS0m,4866.652533000001
ATS0p,78.428877335772
ATS0s,316.72916666666663
ATS0v,11603.019581546132
ATS1Z,1385.0
ATS1d,228.0
ATS1i,8784.781502234653
ATS1m,5204.633143000002
ATS1p,102.50270832600005
ATS1s,186.31944444444446
ATS1v,14922.413138816775
ATS2Z,2096.0
ATS2d,372.0
ATS2i,16565.86756328044
ATS2m,7731.107040000001
ATS2p,161.32287801333905
ATS2s,333.1527777777777
ATS2v,22595.191192980965
ATS3Z,2381.0
ATS3d,439.0
ATS3i,24633.751347775236
ATS3m,8428.381597999998
ATS3p,198.15299854807395
ATS3s,435.1111111111111
ATS3v,26875.341535824056
ATS4Z,2256.0
ATS4d,417.0
ATS4i,27676.80133358467
ATS4m,7646.938787
ATS4p,197.02958450347
ATS4s,511.1944444444444
ATS4v,26003.658910290156
ATS5Z,1915.0
ATS5d,386.0
ATS5i,27685.669604190953
ATS5m,6443.904365
ATS5p,175.92477766845005
ATS5s,445.95833333333326
ATS5v,22585.052370005178
ATS6Z,1712.0
ATS6d,337.0
ATS6i,21847.617726824366
ATS6m,5959.025792
ATS6p,153.75814478196
ATS6s,342.6527777777777
ATS6v,20023.25837972625
ATS7Z,1807.0
ATS7d,308.0
ATS7i,19843.836110855675
ATS7m,6417.829457
ATS7p,146.71780906747
ATS7s,436.40277777777777
ATS7v,19360.546652867884
ATS8Z,1589.0
ATS8d,296.0
ATS8i,20821.45640450962
ATS8m,5479.705023999997
ATS8p,137.646422084564
ATS8s,369.95833333333326
ATS8v,17847.22138153534
C1SP1,0
C1SP2,4
C1SP3,3
C2SP1,0
C2SP2,5
C2SP3,7
C3SP2,1
C3SP3,0
C4SP3,1
FCSP3,0.5238095238095238
GGI10,0.1520273441485563
JGI10,0.007601367207427812
JGT10,0.5217300725074839
Kier1,23.658688865764827
Kier2,10.543388429752065
Kier3,5.825792551554325
MAXdO,13.15277405782557
MID_C,43.54163056620966
MID_N,7.8895983503830225
MID_O,6.960061931475517
MID_X,0.0
MID_h,14.849660281858538
MINdO,10.549220250297616
MPC10,140
MWC01,31.0
MWC02,5.017279836814924
MWC03,5.8664680569332965
MWC04,6.748759547491679
MWC05,7.624130585661289
MWC06,8.517793011488205
MWC07,9.407960966059306
MWC08,10.310384967735917
MWC09,11.210535763646174
MWC10,12.119473910664798
NaaCH,4
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,2
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,4
NdssS,0
NsCH3,0
NsNH2,1
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,2
NsssP,0
SLogP,1.9611699999999994
SRW02,4.143134726391533
SRW03,0.0
SRW04,5.476463551931511
SRW05,2.3978952727983707
SRW06,7.00397413672268
SRW07,4.844187086458591
SRW08,8.620291149419804
SRW09,7.034387929915503
SRW10,10.287831164022181
SaaCH,7.14881892044025
SaaNH,0
SaaSe,0
SaaaC,0
SaasC,1.4436073380024523
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-0.6737414292299058
SdssS,0
SsCH3,0
SsNH2,5.489756608303053
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,0
SssPH,0
SssSe,0
SsssB,0
SsssN,3.6080454861019087
SsssP,0
VE1_A,4.023585887414606
VE1_D,5.275841179488413
VE2_A,0.13874434094533125
VE2_D,0.18192555791339357
VE3_A,2.456884253811944
VE3_D,2.7278488689471785
VR1_A,1373.9150151412273
VR1_D,182.42532386666485
VR2_A,47.37637983245612
VR2_D,6.29052840919534
VR3_A,8.2901303557084
VR3_D,6.271051641983991
WPath,2656
Xc-3d,2.3898227115361896
Xc-4d,0.10206207261596575
Xc-5d,0.6706005603523789
Xc-6d,0.05892556509887896
Xp-0d,21.018297090128673
Xp-1d,13.821004869020491
Xp-2d,12.765471809675267
Xp-3d,10.470237582030308
Xp-4d,8.01369028579238
Xp-5d,6.003986084918357
Xp-6d,4.592003788395691
Xp-7d,3.5597375626353784
ZMIC0,97.11698583190946
ZMIC1,48.13155097513456
ZMIC2,33.0579054670559
ZMIC3,26.821199196902825
ZMIC4,25.787327086131025
ZMIC5,25.787327086131025
nAcid,1
nAtom,57
nBase,2
nRing,3
piPC1,3.6635616461296463
piPC2,4.135166556742356
piPC3,4.535284058523925
piPC4,4.88563880392157
piPC5,5.279707777298865
piPC6,5.516448376038702
piPC7,5.822860967142224
piPC8,5.890953365511593
piPC9,6.014936903293124
AATS0Z,21.68421052631579
AATS0d,3.1228070175438596
AATS0i,165.38844085998198
AATS0m,85.37986900000003
AATS0p,1.3759452164170527
AATS0s,5.556652046783625
AATS0v,203.56174704466898
AATS1Z,23.47457627118644
AATS1d,3.864406779661017
AATS1i,148.89460173279073
AATS1m,88.21412106779664
AATS1p,1.7373340394237295
AATS1s,3.1579566854990584
AATS1v,252.92225659011484
AATS2Z,19.588785046728972
AATS2d,3.4766355140186915
AATS2i,154.82119218019105
AATS2m,72.25333682242992
AATS2p,1.507690448722795
AATS2s,3.1135773624091376
AATS2v,211.17001114935482
AATS3Z,15.46103896103896
AATS3d,2.8506493506493507
AATS3i,159.95942433620283
AATS3m,54.729750636363626
AATS3p,1.2867077827797009
AATS3s,2.825396825396825
AATS3v,174.5152047780783
AATS4Z,13.270588235294118
AATS4d,2.4529411764705884
AATS4i,162.80471372696866
AATS4m,44.98199286470588
AATS4p,1.1589975559027648
AATS4s,3.007026143790849
AATS4v,152.96269947229504
AATS5Z,11.536144578313253
AATS5d,2.325301204819277
AATS5i,166.7811421939214
AATS5m,38.8187009939759
AATS5p,1.0597878172798196
AATS5s,2.6864959839357425
AATS5v,136.0545323494288
AATS6Z,12.776119402985074
AATS6d,2.514925373134328
AATS6i,163.0419233345102
AATS6m,44.47034173134329
AATS6p,1.147448841656418
AATS6s,2.5571102819237144
AATS6v,149.42730134124065
AATS7Z,14.691056910569106
AATS7d,2.5040650406504064
AATS7i,161.33200090126564
AATS7m,52.1774752601626
AATS7p,1.192827715995691
AATS7s,3.5479900632339656
AATS7v,157.40281831599907
AATS8Z,12.61111111111111
AATS8d,2.3492063492063493
AATS8i,165.2496540040446
AATS8m,43.48972241269839
AATS8p,1.0924319213060634
AATS8s,2.936177248677248
AATS8v,141.64461413916936
AMID_C,1.5014355367658505
AMID_N,0.27205511553044903
AMID_O,0.24000213556812128
AMID_X,0.0
AMID_h,0.5120572510985703
ATS0dv,396.0
ATS0pe,356.37330000000003
ATS0se,440.68123599999996
ATS1dv,372.0
ATS1pe,382.92350000000005
ATS1se,458.70201199999985
ATS2dv,504.0
ATS2pe,673.8418999999998
ATS2se,820.5483519999997
ATS3dv,454.0
ATS3pe,947.8850000000001
ATS3se,1173.9959439999998
ATS4dv,400.0
ATS4pe,1046.5080000000003
ATS4se,1305.555508
ATS5dv,381.0
ATS5pe,993.0351999999999
ATS5se,1255.0175800000002
ATS6dv,387.0
ATS6pe,794.5892
ATS6se,1001.2678480000001
ATS7dv,445.0
ATS7pe,746.9461000000001
ATS7se,931.555828
ATS8dv,308.0
ATS8pe,753.8956999999998
ATS8se,948.3433440000003
ATSC0Z,432.561403508772
