DLiP-ID,T0047L
DLiP-Mol-ID,21404
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H34N4O5/c1-19-8-2-3-9-22(19)30-27(36)29-21-14-12-20(13-15-21)18-24(32)31-17-7-5-10-23(31)26(35)28-16-6-4-11-25(33)34/h2-3,8-9,12-15,23H,4-7,10-11,16-18H2,1H3,(H,28,35)(H,33,34)(H2,29,30,36)"
Standard Inchi Key(RDKit),NIAZEGWJDYAMFA-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2CCCCC2C(=O)NCCCCC(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),494.592
MW Monoisotopic(RDKit),494.252920188
MolLogP(RDKit),3.93372
XLogP(SDF),
XLogP(CDK),2.462
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),127.84
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.37220413156281
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,87030345.63022143
qed,0.37220413156280957
Chi0,25.915638315627206
Chi1,17.3294075958929
TPSA,127.84000000000002
Chi0n,20.587533806240927
Chi0v,20.587533806240927
Chi1n,12.347991293858998
Chi1v,12.347991293858998
Chi2n,9.00833095109734
Chi2v,9.00833095109734
Chi3n,6.202867172531189
Chi3v,6.202867172531189
Chi4n,4.2131834278594456
Chi4v,4.2131834278594456
MolMR,137.81489999999997
MolWt,494.59200000000044
fr_SH,0
Kappa1,26.720013193899465
Kappa2,13.273055982019073
Kappa3,8.109655097086021
fr_ArN,0
fr_COO,1
fr_C_O,4
fr_C_S,0
