DLiP-ID,C002JO
DLiP-Mol-ID,31716
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H19N5O/c1-14-6-8-16(9-7-14)12-25-19-18(22-23-25)20(26)24(13-21-19)11-17-5-3-4-15(2)10-17/h3-10,13H,11-12H2,1-2H3"
Standard Inchi Key(RDKit),ODVUAHLXSDZCOK-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(Cn2nnc3c(=O)n(Cc4cccc(C)c4)cnc32)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),345.406
MW Monoisotopic(RDKit),345.158960228
MolLogP(RDKit),2.70144
XLogP(SDF),
XLogP(CDK),4.216
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),65.6
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.570334728582315
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,1305841.9916329382
qed,0.5703347285823146
Chi0,18.0956473593183
Chi1,12.59735678832402
TPSA,65.6
Chi0n,14.754682253043384
Chi0v,14.754682253043384
Chi1n,8.49724583903823
Chi1v,8.49724583903823
Chi2n,6.571580339700489
Chi2v,6.571580339700489
Chi3n,4.380169156363357
Chi3v,4.380169156363357
Chi4n,2.979831619589893
Chi4v,2.979831619589893
MolMR,100.14500000000002
MolWt,345.40600000000006
fr_SH,0
Kappa1,16.202649613374323
Kappa2,6.553841814834768
Kappa3,3.132168247270847
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,5
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1125.1129787260772
MolLogP,2.7014400000000007
NOCount,6
