DLiP-ID,T004M3
DLiP-Mol-ID,19687
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H17Cl2FN2O5S/c20-12-7-13(21)9-15(8-12)30(28,29)24-6-5-17(24)19(27)23-16(10-18(25)26)11-1-3-14(22)4-2-11/h1-4,7-9,16-17H,5-6,10H2,(H,23,27)(H,25,26)/t16-,17+/m1/s1"
Standard Inchi Key(RDKit),ONTULEYBHLEJBB-SJORKVTESA-N
Canonical SMILES(RDKit),O=C(O)C[C@@H](NC(=O)[C@@H]1CCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1)c1ccc(F)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),475.325
MW Monoisotopic(RDKit),474.021926224
MolLogP(RDKit),3.2277
XLogP(SDF),
XLogP(CDK),3.291
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),103.78
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.640321299700069
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,2359541.3291887087
qed,0.6403212997000693
Chi0,22.051677284948276
Chi1,14.073424531749193
TPSA,103.78
Chi0n,15.38703482861319
Chi0v,17.71538930157783
Chi1n,8.832753505812237
Chi1v,11.028745780631336
Chi2n,6.735967784115239
Chi2v,9.499393945931603
Chi3n,4.683466129899875
Chi3v,7.005837304634191
Chi4n,3.1158659352219784
Chi4v,5.475814449274587
MolMR,108.29530000000003
MolWt,475.3250000000001
fr_SH,0
Kappa1,22.48442862934102
Kappa2,8.888289221938777
Kappa3,4.9184288831581044
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1058.582394216539
MolLogP,3.2277000000000013
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.7960083329604173
SMR_VSA1,27.503813794988105
SMR_VSA2,0.0
SMR_VSA3,9.622004595302565
SMR_VSA4,0.0
SMR_VSA5,29.820808379665717
SMR_VSA6,6.544756405912575
SMR_VSA7,63.89050843945681
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,181.9970785280076
NHOHCount,2
PEOE_VSA1,10.423315998847038
PEOE_VSA2,9.589074368143644
PEOE_VSA3,12.808212032003757
PEOE_VSA4,4.305215991296234
PEOE_VSA5,0.0
PEOE_VSA6,35.33461391738825
PEOE_VSA7,42.316108456931055
PEOE_VSA8,16.590023033395227
PEOE_VSA9,17.358145927591746
RingCount,3
SMR_VSA10,45.10165595117597
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,474.021926224
NumHDonors,2
PEOE_VSA10,11.859061670193856
PEOE_VSA11,0.0
PEOE_VSA12,15.930470882759089
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,5.316788604006331
SlogP_VSA2,42.29262262282977
SlogP_VSA3,19.612365521551226
SlogP_VSA4,5.817220841045895
SlogP_VSA5,24.446935566696975
SlogP_VSA6,47.360052954749044
SlogP_VSA7,10.045266627482652
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,3
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,46.22150029297876
EState_VSA2,27.906328131839015
EState_VSA3,5.563451491696996
EState_VSA4,16.437950128219455
EState_VSA5,30.33183534230805
EState_VSA6,0.0
EState_VSA7,0.0
EState_VSA8,5.316788604006331
EState_VSA9,28.30840717530574
SlogP_VSA10,4.39041504767482
SlogP_VSA11,0.0
SlogP_VSA12,23.20187978046503
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,39.97370382577938
VSA_EState9,40.754878914371616
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,22.3972864001474
EState_VSA11,0.0
FractionCSP3,0.2631578947368421
VSA_EState10,7.743639482071228
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,1
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.1999999999999993
NumHAcceptors,4
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,30
HeavyAtomMolWt,458.1890000000002
MaxEStateIndex,13.171682712773428
MinEStateIndex,-4.032830947570079
NumHeteroatoms,11
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
