DLiP-ID,T00215
DLiP-Mol-ID,18037
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H18N4O3S2/c1-12-5-3-4-6-16(12)20-18(26)19-14-7-9-15(10-8-14)27(23,24)22-17-11-13(2)25-21-17/h3-11H,1-2H3,(H,21,22)(H2,19,20,26)"
Standard Inchi Key(RDKit),GXZWQEFIAGYAPU-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(NS(=O)(=O)c2ccc(NC(=S)Nc3ccccc3C)cc2)no1
SMILES(SDF),
MW(SDF),
MW(RDKit),402.501
MW Monoisotopic(RDKit),402.082032436
MolLogP(RDKit),3.90114
XLogP(SDF),
XLogP(CDK),3.459
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),96.26
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.557022515703114
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cyclophilins
Common Target Pref Name,Cyclophilins
RDKit Descriptors
Ipc,1216972.6458658066
qed,0.5570225157031137
Chi0,19.440946820939047
Chi1,12.831337023048246
TPSA,96.26
Chi0n,14.68460747052591
Chi0v,16.31760063238136
Chi1n,8.032078641271264
Chi1v,9.923490179329518
Chi2n,5.846724324014559
Chi2v,7.937374855887941
Chi3n,3.682652032412583
Chi3v,5.257411106873608
Chi4n,2.3263239128053605
Chi4v,3.537893644202317
MolMR,109.5129
MolWt,402.50100000000015
fr_SH,0
Kappa1,18.868462264875795
Kappa2,7.765929065213649
Kappa3,4.834634826133047
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,1
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1060.220607445314
MolLogP,3.9011400000000016
NOCount,7
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.658144300912368
SMR_VSA1,12.940891921302285
SMR_VSA2,0.0
SMR_VSA3,5.156663257125445
SMR_VSA4,0.0
SMR_VSA5,18.742957874899023
SMR_VSA6,15.355672072464749
SMR_VSA7,65.92100252672593
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,162.37489411605162
NHOHCount,3
PEOE_VSA1,15.156672144986011
PEOE_VSA2,4.722094864452088
PEOE_VSA3,8.417796984328938
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,23.355764462510276
PEOE_VSA7,61.96063467643299
PEOE_VSA8,17.441139617828735
PEOE_VSA9,4.895483475517775
RingCount,3
SMR_VSA10,44.54623680838119
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,402.082032436
NumHDonors,3
PEOE_VSA10,5.760247418874442
PEOE_VSA11,10.930299662559786
PEOE_VSA12,0.0
PEOE_VSA13,10.023291153407584
PEOE_VSA14,0.0
SlogP_VSA1,15.355672072464749
SlogP_VSA2,18.68689712617914
SlogP_VSA3,10.023291153407584
SlogP_VSA4,13.847474399381248
SlogP_VSA5,11.323698910571437
SlogP_VSA6,64.0158820286456
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,3
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,10.023291153407584
EState_VSA2,10.713346253352803
EState_VSA3,16.56007057828276
EState_VSA4,11.250837766380558
EState_VSA5,18.19910120538483
EState_VSA6,19.056471336613843
EState_VSA7,31.189205473537065
EState_VSA8,20.512335329590194
EState_VSA9,16.740968380020043
SlogP_VSA10,17.19263532720215
SlogP_VSA11,0.0
SlogP_VSA12,12.217873443046695
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,29.601434733807334
VSA_EState9,35.09520628439218
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,8.417796984328938
EState_VSA11,0.0
FractionCSP3,0.1111111111111111
VSA_EState10,1.5533589818004878
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,1
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.9099999999999997
NumHAcceptors,5
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,27
HeavyAtomMolWt,384.3570000000002
MaxEStateIndex,12.371681728913941
MinEStateIndex,-3.748137848803433
NumHeteroatoms,9
fr_aryl_methyl,2
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.037037037037037
FpDensityMorgan2,1.7407407407407407
FpDensityMorgan3,2.3703703703703702
MaxPartialCharge,0.26263767057761306
MinPartialCharge,-0.3595228414681903
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.371681728913941
MinAbsEStateIndex,0.10322632460799874
NumAliphaticRings,0
NumRotatableBonds,5
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.3595228414681903
MinAbsPartialCharge,0.26263767057761306
NumRadicalElectrons,0
NumValenceElectrons,140
fr_para_hydroxylation,1
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,402.08203243600053
MZ,0.7777777777777776
Mi,1.1193069535348872
Mm,0.7446636879157071
Mp,0.7274554091816369
Mv,0.6761513625980957
SZ,34.99999999999999
Si,50.36881290906992
Sm,33.50986595620682
Sp,32.73549341317366
Sv,30.426811316914307
nB,0
nC,18
nF,0
nH,18
nI,0
nN,4
nO,3
nP,0
nS,2
nX,0
ABC,21.050053627490666
AMW,8.935156276355567
IC0,1.8280267062388587
IC1,3.595779484497408
IC2,4.290984207056169
IC3,5.102746985122409
IC4,5.236080318455743
IC5,5.236080318455743
MID,54.38356672930165
Mpe,0.9859694989106752
Mse,1.0175285263413454
NdO,2
NdS,1
NsF,0
NsI,0
NtN,0
SMR,109.5129
SdO,24.743363457827883
SdS,5.301496830603921
Spe,44.368627450980384
SsF,0
SsI,0
Sse,45.78878368536054
StN,0
fMF,0.4888888888888889
nBr,0
nCl,0
AMID,2.01420617515932
BIC0,0.312057466174666
BIC1,0.6138257340691664
BIC2,0.7325022410665437
BIC3,0.8710760566424959
BIC4,0.8938370272643253
BIC5,0.8938370272643253
CIC0,3.663826390090816
CIC1,1.896073611832267
CIC2,1.2008688892735062
CIC3,0.38910611120726557
CIC4,0.2557727778739318
CIC5,0.2557727778739318
GGI1,7.5
GGI2,3.3333333333333344
GGI3,2.3194444444444446
GGI4,1.3994444444444447
GGI5,0.9447222222222222
GGI6,0.5151927437641723
GGI7,0.38718820861678005
GGI8,0.16527305366591075
GGI9,0.23844135802469135
JGI1,0.25862068965517243
JGI2,0.08130081300813012
