DLiP-ID,C002ZC
DLiP-Mol-ID,27542
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H10O5/c17-14-10-3-1-2-4-11(10)21-16(15(14)18)9-5-6-12-13(7-9)20-8-19-12/h1-7,18H,8H2"
Standard Inchi Key(RDKit),RQYDCAXLKOYPFU-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=c1c(O)c(-c2ccc3c(c2)OCO3)oc2ccccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),282.251
MW Monoisotopic(RDKit),282.05282342
MolLogP(RDKit),2.8943
XLogP(SDF),
XLogP(CDK),4.398
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),68.9
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.742856008558775
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,139737.48958087983
qed,0.7428560085587746
Chi0,14.396976746569035
Chi1,10.237183443017884
TPSA,68.9
Chi0n,10.82876542286934
Chi0v,10.82876542286934
Chi1n,6.386961934001474
Chi1v,6.386961934001474
Chi2n,4.673117085235885
Chi2v,4.673117085235885
Chi3n,3.4086160086540263
Chi3v,3.4086160086540263
Chi4n,2.3656182145700004
Chi4v,2.3656182145700004
MolMR,75.70780000000003
MolWt,282.251
fr_SH,0
Kappa1,11.841910449613803
Kappa2,4.275809906031188
Kappa3,1.744528736359109
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,910.1746659215822
MolLogP,2.894300000000001
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.981744004729388
SMR_VSA1,18.997404239494152
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,6.792942306099827
SMR_VSA7,52.68789705520363
SMR_VSA8,0.0
SMR_VSA9,28.57223441042315
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,118.51693595342618
NHOHCount,1
PEOE_VSA1,18.997404239494152
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,30.33183534230805
PEOE_VSA8,5.563451491696996
PEOE_VSA9,5.386224214464796
RingCount,4
SMR_VSA10,10.969244356107037
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,282.05282342000004
NumHDonors,1
PEOE_VSA10,5.583020141642242
PEOE_VSA11,17.25927108544225
PEOE_VSA12,17.971244531284274
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,14.90251629950064
SlogP_VSA2,11.899469700940532
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,51.676257600356436
SlogP_VSA7,0.0
SlogP_VSA8,22.292943266678478
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,11.178302225184446
EState_VSA2,12.55318972497427
EState_VSA3,28.031719514371844
EState_VSA4,0.0
EState_VSA5,0.0
EState_VSA6,42.46456947923127
EState_VSA7,0.0
EState_VSA8,0.0
EState_VSA9,13.890876844653445
SlogP_VSA10,0.0
SlogP_VSA11,17.248535499851716
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,5.672853363567649
VSA_EState9,46.66047996976568
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,2
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,9.901064578912528
EState_VSA11,0.0
FractionCSP3,0.0625
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.9499999999999993
NumHAcceptors,5
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,21
HeavyAtomMolWt,272.171
MaxEStateIndex,12.190201483371126
MinEStateIndex,-0.4541510770975059
NumHeteroatoms,5
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.0
FpDensityMorgan2,1.8095238095238095
FpDensityMorgan3,2.7142857142857144
MaxPartialCharge,0.2345289446988361
MinPartialCharge,-0.5015154022494406
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,12.190201483371126
MinAbsEStateIndex,0.12222222222222245
NumAliphaticRings,1
NumRotatableBonds,1
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.5015154022494406
MinAbsPartialCharge,0.2345289446988361
NumRadicalElectrons,0
NumValenceElectrons,104
fr_para_hydroxylation,1
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,282.0528234200003
MZ,0.78494623655914
Mi,1.100754148245062
Mm,0.7580443733029666
Mp,0.7223861309638792
Mv,0.7188107916456009
SZ,24.33333333333334
Si,34.123378595596925
Sm,23.499375572391966
Sp,22.393970059880253
Sv,22.283134541013627
nB,0
nC,16
nF,0
nH,10
nI,0
nN,0
nO,5
nP,0
nS,0
nX,0
ABC,16.946701660840215
AMW,9.09847817483872
IC0,1.4435859418929904
IC1,3.118305685120963
IC2,3.9331806828254807
IC3,4.696131794257844
IC4,4.889680181354619
IC5,4.889680181354619
MID,43.88165484936403
Mpe,1.0120177103099306
Mse,1.0352418767474096
NdO,1
NdS,0
NsF,0
NsI,0
NtN,0
SMR,75.70780000000003
SdO,12.190201483371126
SdS,0
Spe,31.372549019607845
SsF,0
SsI,0
Sse,32.0924981791697
StN,0
fMF,0.6129032258064516
nBr,0
nCl,0
AMID,2.089602611874478
BIC0,0.26771160314021053
BIC1,0.5782867440162753
BIC2,0.7294045165461792
BIC3,0.8708930550749812
BIC4,0.9067864144456979
BIC5,0.9067864144456979
CIC0,3.5106103684938845
CIC1,1.835890625265912
CIC2,1.0210156275613942
CIC3,0.25806451612903114
CIC4,0.06451612903225623
CIC5,0.06451612903225623
GGI1,3.5
GGI2,2.88888888888889
GGI3,1.5694444444444444
GGI4,1.5861111111111115
GGI5,0.7047222222222222
GGI6,0.38367346938775515
GGI7,0.25432256235827666
GGI8,0.12522833207357015
GGI9,0.025007716049382706
JGI1,0.14583333333333331
JGI2,0.08253968253968258
JGI3,0.043595679012345685
JGI4,0.052870370370370366
JGI5,0.02818888888888889
JGI6,0.017439703153988868
JGI7,0.014129031242126482
JGI8,0.01043569433946418
JGI9,0.004167952674897117
MIC0,13.23855450503312
MIC1,30.484025643634507
MIC2,40.27148924106346
MIC3,44.84718912267761
MIC4,45.04228589687116
MIC5,45.04228589687116
MPC2,35
MPC3,50
MPC4,67
MPC5,85
MPC6,94
MPC7,110
MPC8,124
MPC9,129
Mare,1.025806451612903
NaaN,0
NaaO,1
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,2
NssS,0
NtCH,0
NtsC,0
RNCG,0.20915322962655836
RPCG,0.1223745815812139
SIC0,0.2913865037738604
SIC1,0.6294271542254355
SIC2,0.7939089281906831
SIC3,0.9479099131401035
SIC4,0.9869774782850261
SIC5,0.9869774782850261
SaaN,0
SaaO,5.672853363567649
SaaS,0
Sare,31.799999999999994
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,10.11921343537415
SsSH,0
SssO,10.530984867138365
SssS,0
StCH,0
StsC,0
TIC0,44.7511641986827
TIC1,96.66747623874986
TIC2,121.9286011675899
TIC3,145.58008562199316
TIC4,151.5800856219932
TIC5,151.5800856219932
Vabc,226.02584991400985
WPol,36
apol,37.397929999999995
bpol,16.10807
nRot,1
ABCGG,13.524865478740946
ATS0Z,906.0
ATS0d,128.0
ATS0i,4805.142646694991
ATS0m,3598.2265809999994
ATS0p,52.284549048490014
ATS0s,184.22222222222223
ATS0v,8169.061757120361
ATS1Z,1022.0
ATS1d,163.0
ATS1i,4818.743530872246
ATS1m,3970.6286319999986
ATS1p,65.893786776
ATS1s,131.16666666666669
ATS1v,10312.749622555983
ATS2Z,1555.0
ATS2d,248.0
ATS2i,8037.540035264849
ATS2m,5982.876882999998
ATS2p,97.35793349884895
ATS2s,218.75000000000003
ATS2v,15246.70415285005
ATS3Z,1686.0
ATS3d,260.0
ATS3i,9870.638326797143
ATS3m,6418.422523999998
ATS3p,104.80944270739597
ATS3s,299.8333333333334
ATS3v,16150.65066409886
ATS4Z,1479.0
ATS4d,228.0
ATS4i,9982.916025355546
ATS4m,5492.999841999999
ATS4p,93.85651739454698
ATS4s,283.16666666666663
ATS4v,14365.737831638178
ATS5Z,1238.0
ATS5d,197.0
ATS5i,9147.436635185191
ATS5m,4574.559665000001
ATS5p,82.29791151709401
ATS5s,246.58333333333337
ATS5v,12310.266261212875
ATS6Z,1105.0
ATS6d,167.0
ATS6i,7911.081251135343
ATS6m,4100.187222
ATS6p,70.94339802024498
ATS6s,220.83333333333337
ATS6v,10649.579992104025
ATS7Z,923.0
ATS7d,139.0
ATS7i,7012.499057716294
ATS7m,3399.0969219999997
ATS7p,61.038605724244995
ATS7s,184.94444444444449
ATS7v,9000.336937457745
ATS8Z,654.0
ATS8d,105.0
ATS8i,6013.1378467539935
ATS8m,2346.690431999999
ATS8p,46.696762333093986
ATS8s,135.50000000000006
ATS8v,6621.48254885519
C1SP1,0
C1SP2,0
C1SP3,0
C2SP1,0
C2SP2,13
C2SP3,0
C3SP2,2
C3SP3,0
C4SP3,0
FCSP3,0.0625
GGI10,0.004691358024691353
JGI10,0.0023456790123456764
JGT10,0.40154601456744315
Kier1,14.583333333333334
Kier2,5.893877551020408
Kier3,2.592
MAXdO,12.190201483371126
MID_C,34.14839571785924
MID_N,0.0
MID_O,9.733259131504797
MID_X,0.0
MID_h,9.733259131504797
MINdO,12.190201483371126
MPC10,131
MWC01,24.0
MWC02,4.77912349311153
MWC03,5.666426688112432
MWC04,6.566672429803241
MWC05,7.466799475018602
MWC06,8.371242135931933
MWC07,9.275097619191461
MWC08,10.18108140962911
MWC09,11.086548214281377
MWC10,11.993306314137048
NaaCH,7
NaaNH,0
NaaSe,0
NaaaC,2
NaasC,5
NaasN,0
