DLiP-ID,C001RA
DLiP-Mol-ID,32807
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H15FO4/c1-2-10-7-13(15(19)8-14(10)18)16(20)9-21-12-5-3-11(17)4-6-12/h3-8,18-19H,2,9H2,1H3"
Standard Inchi Key(RDKit),UADAORZIWZIJNG-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCc1cc(C(=O)COc2ccc(F)cc2)c(O)cc1O
SMILES(SDF),
MW(SDF),
MW(RDKit),290.29
MW Monoisotopic(RDKit),290.09543718
MolLogP(RDKit),3.061
XLogP(SDF),
XLogP(CDK),3.766
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),66.76
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.830503390574646
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,49756.28731809149
qed,0.830503390574646
Chi0,15.405412915006313
Chi1,10.007239053047545
TPSA,66.76
Chi0n,11.46720342244772
Chi0v,11.46720342244772
Chi1n,6.473400562861514
Chi1v,6.473400562861514
Chi2n,4.517394510137159
Chi2v,4.517394510137159
Chi3n,3.0618364730264647
Chi3v,3.0618364730264647
Chi4n,1.8860365421364713
