DLiP-ID,C0026N
DLiP-Mol-ID,28893
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H9ClN4O2/c12-10-11(14-4-3-13-10)16-15-6-7-1-2-8(17)5-9(7)18/h1-6,17-18H,(H,14,16)/b15-6+"
Standard Inchi Key(RDKit),ZZGUTSFAPDWRMW-GIDUJCDVSA-N
Canonical SMILES(RDKit),Oc1ccc(/C=N/Nc2nccnc2Cl)c(O)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),264.672
MW Monoisotopic(RDKit),264.041403208
MolLogP(RDKit),1.9872
XLogP(SDF),
XLogP(CDK),2.464
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),90.63
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.582498006456276
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,13111.552004338366
qed,0.5824980064562764
Chi0,12.957819157813608
Chi1,8.664703797946448
TPSA,90.63000000000001
Chi0n,9.078134065646774
Chi0v,9.83406301166523
Chi1n,4.941655234136723
Chi1v,5.319619707145951
Chi2n,3.3088789850714355
Chi2v,3.666892072521753
Chi3n,2.0416935024647827
Chi3v,2.318290053484795
Chi4n,1.2002365218861148
Chi4v,1.3476328552518686
MolMR,68.03030000000001
MolWt,264.672
fr_SH,0
Kappa1,12.125780549915044
Kappa2,5.327403085949946
Kappa3,2.8616318387359367
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,589.0059377728892
MolLogP,1.9871999999999999
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.101860652521409
SMR_VSA1,10.213054789681411
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,5.101407525739723
SMR_VSA5,0.0
SMR_VSA6,5.425791397110385
SMR_VSA7,41.30934965720077
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,2
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,107.59978982282746
NHOHCount,3
PEOE_VSA1,10.213054789681411
PEOE_VSA2,5.425791397110385
PEOE_VSA3,9.967957041894417
PEOE_VSA4,5.101407525739723
PEOE_VSA5,0.0
PEOE_VSA6,11.600939890232516
PEOE_VSA7,12.13273413692322
PEOE_VSA8,24.023505703384757
PEOE_VSA9,6.2146005795353165
RingCount,2
SMR_VSA10,23.63340324760286
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,2
ExactMolWt,264.041403208
NumHDonors,3
PEOE_VSA10,11.49902366656781
PEOE_VSA11,10.97097259472782
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,5.425791397110385
SlogP_VSA2,26.395612411111145
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,5.563451491696996
SlogP_VSA6,35.694195874350704
SlogP_VSA7,5.153109816892792
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,1
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,16.652133483460602
EState_VSA3,11.381314269532023
EState_VSA4,0.0
EState_VSA5,36.8073889281463
EState_VSA6,0.0
EState_VSA7,0.0
EState_VSA8,20.495155964744523
EState_VSA9,16.70746728507322
SlogP_VSA10,5.817862777835028
SlogP_VSA11,11.49902366656781
SlogP_VSA12,11.600939890232516
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,42.17883874259325
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,5.106527394840706
EState_VSA11,0.0
FractionCSP3,0.0
VSA_EState10,5.765605701851191
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.34
NumHAcceptors,6
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,18
HeavyAtomMolWt,255.59999999999997
MaxEStateIndex,9.510072891296435
MinEStateIndex,-0.07796962920970829
NumHeteroatoms,7
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.2222222222222223
FpDensityMorgan2,2.0
FpDensityMorgan3,2.7222222222222223
MaxPartialCharge,0.18394282115710162
MinPartialCharge,-0.5078225396675614
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,9.510072891296435
MinAbsEStateIndex,0.018907714192706537
NumAliphaticRings,0
NumRotatableBonds,3
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.5078225396675614
MinAbsPartialCharge,0.18394282115710162
NumRadicalElectrons,0
NumValenceElectrons,92
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,2
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,264.0414032080002
MZ,0.8395061728395062
Mi,1.133413052938199
Mm,0.8161315090796398
Mp,0.7220034819250389
Mv,0.7033530919480441
SZ,22.666666666666668
Si,30.60215242933137
Sm,22.035550745150275
Sp,19.494094011976053
Sv,18.99053348259719
nB,0
nC,11
nF,0
nH,9
nI,0
nN,4
nO,2
nP,0
nS,0
nX,1
ABC,13.68231801272818
AMW,9.779311229925932
IC0,1.9184773977934284
IC1,3.633974075997158
IC2,4.2824842613426
IC3,4.606739354015321
IC4,4.754887502163469
IC5,4.754887502163469
MID,36.15075022202875
Mpe,1.0174291938997821
Mse,1.0398020015645653
NdO,0
NdS,0
NsF,0
NsI,0
NtN,0
SMR,68.03030000000001
SdO,0
SdS,0
Spe,27.47058823529412
SsF,0
SsI,0
Sse,28.074654042243264
StN,0
fMF,0.5555555555555556
nBr,0
nCl,1
AMID,2.0083750123349304
BIC0,0.3740244769991432
BIC1,0.7084760314437818
BIC2,0.8349089428668873
BIC3,0.89812539857844
BIC4,0.9270082166367787
BIC5,0.9270082166367787
CIC0,2.8364101043700396
CIC1,1.12091342616631
CIC2,0.47240324082086804
CIC3,0.14814814814814703
CIC4,-8.881784197001252e-16
CIC5,-8.881784197001252e-16
GGI1,3.5
GGI2,2.222222222222223
GGI3,1.0625
GGI4,0.7155555555555556
GGI5,0.23611111111111116
GGI6,0.2840816326530612
GGI7,0.1875
GGI8,0.1148904006046863
GGI9,0.11375
JGI1,0.18421052631578944
JGI2,0.08888888888888893
JGI3,0.04427083333333333
JGI4,0.04209150326797386
JGI5,0.018162393162393164
JGI6,0.021852433281004707
JGI7,0.012499999999999999
JGI8,0.00820645718604902
JGI9,0.01421875
MIC0,23.28186890642765
MIC1,39.83958436962083
MIC2,44.20891327297884
MIC3,46.461243887874424
MIC4,46.61057722120775
MIC5,46.61057722120775
MPC2,25
MPC3,30
MPC4,34
MPC5,38
MPC6,31
MPC7,28
MPC8,29
MPC9,30
Mare,1.028296296296296
NaaN,2
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,1
NsBr,0
NsCl,1
NsLi,0
NsOH,2
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.24758501694819957
RPCG,0.1429135467688635
SIC0,0.4034748239407396
SIC1,0.7642607894179839
SIC2,0.9006489132275106
SIC3,0.9688429751322739
SIC4,1.0000000000000002
SIC5,1.0000000000000002
SaaN,7.742222757534806
SaaO,0
SaaS,0
Sare,27.763999999999996
SdNH,0
SdSe,0
SddC,0
SdsN,3.859608843537415
SsBr,0
SsCl,5.765605701851191
SsLi,0
SsOH,18.631555826234006
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,51.79888974042257
TIC1,98.11730005192327
TIC2,115.6270750562502
TIC3,124.38196255841368
TIC4,128.38196255841368
TIC5,128.38196255841368
Vabc,210.62273020426258
WPol,24
apol,32.55513699999999
bpol,12.388862999999997
nRot,3
ABCGG,11.289693397381445
ATS0Z,1018.0
ATS0d,97.0
ATS0i,4443.019035870141
ATS0m,4149.472605000002
ATS0p,45.558224143641006
ATS0s,153.94974089315653
ATS0v,6848.448824349537
ATS1Z,882.0
ATS1d,115.0
ATS1i,4273.790255995001
ATS1m,3433.135096
ATS1p,52.13565413199999
ATS1s,118.63168724279835
ATS1v,7987.896622143608
ATS2Z,1258.0
ATS2d,159.0
ATS2i,6364.350876661999
ATS2m,4877.497210999999
ATS2p,71.48738091999998
ATS2s,168.39094650205766
ATS2v,10794.36031780395
ATS3Z,1381.0
ATS3d,157.0
ATS3i,8075.084343711448
ATS3m,5276.307518999999
ATS3p,74.61717223769801
ATS3s,207.37037037037044
ATS3v,11005.720747840382
ATS4Z,1075.0
ATS4d,125.0
ATS4i,7975.532292471824
ATS4m,3967.509247
ATS4p,60.98825303709399
ATS4s,206.1975308641976
ATS4v,8518.703823708433
ATS5Z,741.0
ATS5d,105.0
ATS5i,6468.077933241684
ATS5m,2703.3469099999998
ATS5p,47.13905930194301
ATS5s,133.5925925925926
ATS5v,6615.020992514139
ATS6Z,698.0
ATS6d,97.0
ATS6i,5106.007951667287
ATS6m,2595.878614
ATS6p,44.593763691396
ATS6s,113.03292181069959
ATS6v,6356.100203658662
ATS7Z,815.0
ATS7d,98.0
ATS7i,4801.484681700044
ATS7m,3160.6520450000003
ATS7p,47.064703604245
ATS7s,116.04526748971192
ATS7v,6758.0241216221075
ATS8Z,901.0
ATS8d,85.0
ATS8i,4704.6971505167885
ATS8m,3461.426809000001
ATS8p,45.941101300849
ATS8s,123.7469135802469
ATS8v,6646.004344346764
C1SP1,0
C1SP2,5
C1SP3,0
C2SP1,0
C2SP2,5
C2SP3,0
C3SP2,1
C3SP3,0
C4SP3,0
FCSP3,0.0
GGI10,0.024793388429752067
JGI10,0.006198347107438017
JGT10,0.44060013254287045
Kier1,14.409972299168976
Kier2,6.9632
Kier3,4.266666666666667
MID_C,22.780539238415265
MID_N,8.07329352489985
MID_O,3.527327630878929
MID_X,1.7695898278347026
MID_h,13.37021098361348
MPC10,32
MWC01,19.0
MWC02,4.48863636973214
MWC03,5.293304824724492
MWC04,6.124683390894205
MWC05,6.942156705699469
MWC06,7.773594467360194
MWC07,8.595079730073309
MWC08,9.426016108442871
MWC09,10.249096493490926
MWC10,11.07972424251526
NaaCH,5
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,5
NaasN,0
NdCH2,0
NddsN,0
NdsCH,1
NdssC,0
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,1
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,1.9871999999999999
SRW02,3.6635616461296463
SRW03,0.0
SRW04,4.9344739331306915
SRW05,0.0
SRW06,6.401917196727186
SRW07,0.0
SRW08,7.958227192322312
