DLiP-ID,P0002T
DLiP-Mol-ID,22805
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H35N3O5/c1-5-25(31)30-9-10-35-26-20(16-30)11-18(19-12-22(33-3)15-23(13-19)34-4)14-24(26)27(32)28-21-7-6-8-29(2)17-21/h11-15,21H,5-10,16-17H2,1-4H3,(H,28,32)/t21-/m0/s1"
Standard Inchi Key(RDKit),CUJLWYCUPPPASA-NRFANRHFSA-N
Canonical SMILES(RDKit),CCC(=O)N1CCOc2c(cc(-c3cc(OC)cc(OC)c3)cc2C(=O)N[C@H]2CCCN(C)C2)C1
SMILES(SDF),
MW(SDF),
MW(RDKit),481.593
MW Monoisotopic(RDKit),481.25767122
MolLogP(RDKit),3.3258
XLogP(SDF),
XLogP(CDK),3.091
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),80.34
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.681931731332107
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CREBBP/H4
Common Target Pref Name,CREBBP/H4
RDKit Descriptors
Ipc,79023109.84158936
qed,0.6819317313321068
Chi0,24.949018510446816
Chi1,16.90974849846404
TPSA,80.33999999999999
Chi0n,21.05662450794936
Chi0v,21.05662450794936
Chi1n,12.217660522843248
Chi1v,12.217660522843248
Chi2n,9.205561138266908
Chi2v,9.205561138266908
Chi3n,6.6789177559511455
Chi3v,6.6789177559511455
Chi4n,4.8126987921610835
Chi4v,4.8126987921610835
MolMR,134.17020000000002
MolWt,481.59300000000036
fr_SH,0
Kappa1,24.85163809518128
Kappa2,10.989406281380509
Kappa3,5.700395467892124
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1064.4766762962165
MolLogP,3.325800000000002
NOCount,8
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.771554519674353
SMR_VSA1,23.79966322954379
SMR_VSA2,0.0
SMR_VSA3,15.116608065707286
SMR_VSA4,0.0
SMR_VSA5,38.77279930352919
SMR_VSA6,47.50841824748289
SMR_VSA7,41.45873832570204
SMR_VSA8,0.0
SMR_VSA9,28.375438483245706
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,3
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,206.68417614707462
NHOHCount,1
PEOE_VSA1,29.327196927107433
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.923737199690624
PEOE_VSA7,61.82644289168221
PEOE_VSA8,37.18199382405773
PEOE_VSA9,26.327802980164638
RingCount,4
SMR_VSA10,11.814359458703011
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,481.25767122
NumHDonors,1
PEOE_VSA10,23.85541746436463
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,19.527377465406477
SlogP_VSA2,75.16443799703482
SlogP_VSA3,11.339293589984397
SlogP_VSA4,0.0
SlogP_VSA5,42.10764223593446
SlogP_VSA6,30.33183534230805
SlogP_VSA7,0.0
SlogP_VSA8,11.126902983393991
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,2
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,17.85620028785097
EState_VSA3,48.92920339081279
EState_VSA4,42.621510532768156
EState_VSA5,0.0
EState_VSA6,19.119504813405545
EState_VSA7,37.255572541998674
EState_VSA8,17.264370317534
EState_VSA9,14.210588861400147
SlogP_VSA10,0.0
SlogP_VSA11,17.248535499851716
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,77.33333333333334
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,9.589074368143644
EState_VSA11,0.0
FractionCSP3,0.48148148148148145
VSA_EState10,0.0
fr_C_O_noCOO,2
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,1
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-3.26
NumHAcceptors,6
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,35
HeavyAtomMolWt,446.3130000000003
MaxEStateIndex,13.565554295792392
MinEStateIndex,-0.15876929012345675
NumHeteroatoms,8
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.0571428571428572
FpDensityMorgan2,1.7714285714285714
FpDensityMorgan3,2.4285714285714284
MaxPartialCharge,0.2548395820851306
MinPartialCharge,-0.49660170259449776
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,13.565554295792392
MinAbsEStateIndex,0.061247212166675835
NumAliphaticRings,2
NumRotatableBonds,6
NumSaturatedRings,1
fr_Ndealkylation1,1
fr_Ndealkylation2,1
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.49660170259449776
MinAbsPartialCharge,0.2548395820851306
NumRadicalElectrons,0
NumValenceElectrons,188
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,2
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,481.257671220001
MZ,0.6142857142857142
Mi,1.1312387705986018
Mm,0.5727999333943885
Mp,0.64788498716852
Mv,0.6047124683783551
SZ,42.99999999999999
Si,79.18671394190213
Sm,40.09599533760719
Sp,45.35194910179641
Sv,42.329872786484856
nB,0
nC,27
nF,0
nH,35
nI,0
nN,3
nO,5
nP,0
nS,0
nX,0
ABC,26.99602651171293
AMW,6.875109588857157
IC0,1.4968345008294273
IC1,3.427564733856007
IC2,5.070154938553286
IC3,5.486146588249912
IC4,5.514718016821341
IC5,5.5432894453927695
MID,71.43293753323057
Mpe,0.9645378151260504
Mse,1.0025699719071899
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,134.17020000000002
SdO,26.082545242147933
SdS,0
Spe,67.51764705882353
SsF,0
SsI,0
Sse,70.17989803350329
StN,0
fMF,0.35714285714285715
nBr,0
nCl,0
AMID,2.040941072378016
BIC0,0.23609935568639154
BIC1,0.5406381432204972
BIC2,0.7997279014876333
BIC3,0.8653432787453522
BIC4,0.8698499198422913
BIC5,0.8743565609392303
CIC0,4.632448516115539
CIC1,2.7017182830889594
CIC2,1.05912807839168
CIC3,0.6431364286950547
CIC4,0.6145650001236254
CIC5,0.5859935715521969
GGI1,8.0
GGI2,3.555555555555557
GGI3,2.5625
GGI4,2.4450000000000003
GGI5,1.444722222222222
GGI6,0.9290702947845804
GGI7,0.8732993197278911
GGI8,0.5507684555303602
GGI9,0.4406327160493828
JGI1,0.21052631578947367
JGI2,0.06708595387840673
JGI3,0.04200819672131148
JGI4,0.04215517241379311
JGI5,0.023683970856102004
JGI6,0.01574695414889119
JGI7,0.014801683385218492
JGI8,0.009179474258839337
JGI9,0.008473706077872747
MIC0,13.950265595133347
MIC1,33.30310113829638
MIC2,39.72982455383227
MIC3,40.77788699386933
MIC4,41.235001279583614
MIC5,41.57817270815504
MPC2,53
MPC3,70
MPC4,92
MPC5,122
MPC6,143
MPC7,171
MPC8,205
MPC9,240
Mare,0.9783428571428566
NaaN,0
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,3
NssS,0
NtCH,0
NtsC,0
RNCG,0.15093251584396117
RPCG,0.07745357911537412
SIC0,0.2442103744746801
SIC1,0.5592113668727956
SIC2,0.8272019622093444
SIC3,0.8950715072355045
SIC4,0.8997329706550335
SIC5,0.9043944340745624
SaaN,0
SaaO,0
SaaS,0
Sare,68.48399999999997
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,17.024656406315685
SssS,0
StCH,0
StsC,0
TIC0,104.7784150580599
TIC1,239.92953136992048
TIC2,354.91084569873004
TIC3,384.0302611774938
TIC4,386.03026117749386
TIC5,388.03026117749386
Vabc,460.1719691695996
WPol,61
apol,75.73775499999998
bpol,46.04624500000004
nRot,6
ABCGG,20.901316074388173
ATS0Z,1474.0
