DLiP-ID,C000YX
DLiP-Mol-ID,31586
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H16O9/c16-5-10-12(19)13(20)14(21)15(24-10)23-9-3-6-1-2-11(18)22-8(6)4-7(9)17/h1-4,10,12-17,19-21H,5H2/t10-,12-,13+,14-,15-/m1/s1"
Standard Inchi Key(RDKit),XHCADAYNFIFUHF-TVKJYDDYSA-N
Canonical SMILES(RDKit),O=c1ccc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc2o1
SMILES(SDF),
MW(SDF),
MW(RDKit),340.284
MW Monoisotopic(RDKit),340.079432092
MolLogP(RDKit),-1.3227
XLogP(SDF),
XLogP(CDK),0.264
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),9
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),149.82
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.428514838683191
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,247547.7154972186
qed,0.4285148386831909
Chi0,17.43035694138864
Chi1,11.401085903164898
TPSA,149.82
Chi0n,12.272320343248426
Chi0v,12.272320343248426
Chi1n,7.145000359821982
Chi1v,7.145000359821982
Chi2n,5.4273176889039725
Chi2v,5.4273176889039725
Chi3n,3.7924729461818405
Chi3v,3.7924729461818405
Chi4n,2.4680535994201964
Chi4v,2.4680535994201964
MolMR,78.54400000000001
MolWt,340.2840000000001
fr_SH,0
Kappa1,16.679544674836038
Kappa2,6.380299741647556
Kappa3,2.948831150666324
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,784.0986552582976
MolLogP,-1.322700000000001
NOCount,9
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.8940464156872356
SMR_VSA1,39.423513818856975
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,30.70589228032842
SMR_VSA6,6.606881964512918
SMR_VSA7,34.68559177699625
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,4
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,134.46148732812924
NHOHCount,5
PEOE_VSA1,39.423513818856975
PEOE_VSA2,0.0
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,12.13273413692322
PEOE_VSA8,17.518958351388015
PEOE_VSA9,6.606881964512918
RingCount,3
SMR_VSA10,10.969244356107037
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,1
ExactMolWt,340.07943209199993
NumHDonors,5
PEOE_VSA10,29.998885692635454
PEOE_VSA11,11.49902366656781
PEOE_VSA12,6.290026729335213
PEOE_VSA13,0.0
PEOE_VSA14,5.625586319077987
SlogP_VSA1,10.362449272878036
SlogP_VSA2,62.845411219044855
SlogP_VSA3,4.736862953800049
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,33.47715639497161
SlogP_VSA7,0.0
SlogP_VSA8,10.969244356107037
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,42.938360563919325
EState_VSA2,17.082043808210052
EState_VSA3,5.386224214464796
EState_VSA4,6.06636706846161
EState_VSA5,18.19910120538483
EState_VSA6,0.0
EState_VSA7,0.0
EState_VSA8,0.0
EState_VSA9,18.997404239494152
SlogP_VSA10,0.0
SlogP_VSA11,11.49902366656781
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,4.916281432696025
VSA_EState9,67.08371856730399
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,25.220646763434644
EState_VSA11,0.0
FractionCSP3,0.4
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.1700000000000004
NumHAcceptors,9
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,24
HeavyAtomMolWt,324.15600000000006
MaxEStateIndex,11.167799631488062
MinEStateIndex,-1.6049979266397918
NumHeteroatoms,9
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,4
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.0833333333333333
FpDensityMorgan2,1.8333333333333333
FpDensityMorgan3,2.5416666666666665
MaxPartialCharge,0.3356925746977578
MinPartialCharge,-0.5041597191803427
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,11.167799631488062
MinAbsEStateIndex,0.09659391534391482
NumAliphaticRings,1
NumRotatableBonds,3
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.5041597191803427
MinAbsPartialCharge,0.3356925746977578
NumRadicalElectrons,0
NumValenceElectrons,130
fr_para_hydroxylation,0
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,1
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,340.0794320920004
MZ,0.7416666666666665
Mi,1.130169795653757
Mm,0.7082757472317043
Mp,0.6427647904191617
Mv,0.6441953592509669
SZ,29.66666666666666
Si,45.20679182615028
Sm,28.331029889268173
Sp,25.710591616766468
Sv,25.76781437003868
nB,0
nC,15
nF,0
nH,16
nI,0
nN,0
nO,9
nP,0
nS,0
nX,0
ABC,18.689084622436845
AMW,8.501985802300009
IC0,1.5436109962096474
IC1,3.6215277841122746
IC2,4.503055907333277
IC3,5.053055907333277
IC4,5.221928094887365
IC5,5.2719280948873655
MID,48.54388701472637
Mpe,1.0236274509803924
Mse,1.0519664967225055
NdO,1
NdS,0
NsF,0
NsI,0
NtN,0
SMR,78.54400000000001
SdO,11.167799631488062
SdS,0
Spe,40.945098039215694
SsF,0
SsI,0
Sse,42.07865986890022
StN,0
fMF,0.425
nBr,0
nCl,0
AMID,2.0226619589469323
BIC0,0.2778983354894818
BIC1,0.6519884514978052
BIC2,0.8106911290064666
BIC3,0.9097083586676475
BIC4,0.9401106426284278
BIC5,0.9491122089612626
CIC0,3.7783170986777153
CIC1,1.700400310775088
CIC2,0.8188721875540859
CIC3,0.26887218755408604
CIC4,0.09999999999999787
CIC5,0.04999999999999716
GGI1,6.0
GGI2,3.555555555555557
GGI3,2.125
GGI4,2.0933333333333337
GGI5,0.826388888888889
GGI6,0.6677551020408163
GGI7,0.4288194444444444
GGI8,0.2872260015117158
GGI9,0.18937500000000004
JGI1,0.23076923076923078
JGI2,0.09356725146198833
JGI3,0.05059523809523809
JGI4,0.06156862745098041
JGI5,0.027546296296296298
JGI6,0.023848396501457727
JGI7,0.01715277777777778
JGI8,0.013677428643415037
JGI9,0.012625
MIC0,14.653234120004061
MIC1,34.852820303097374
MIC2,42.116588367338444
MIC3,44.25360133096176
MIC4,45.17337449601627
MIC5,45.223774496016276
MPC2,38
MPC3,51
MPC4,64
MPC5,84
MPC6,88
MPC7,91
MPC8,102
MPC9,111
Mare,1.042
NaaN,0
NaaO,1
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,5
NsSH,0
NssO,2
NssS,0
NtCH,0
NtsC,0
RNCG,0.14145128184284103
RPCG,0.09418472597001738
SIC0,0.29004732282883605
SIC1,0.6804916788694274
SIC2,0.8461324217550487
SIC3,0.9494784253450579
SIC4,0.9812098175290896
SIC5,0.9906049087645452
SaaN,0
SaaO,4.916281432696025
SaaS,0
Sare,41.68
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,48.51453300047301
SsSH,0
SssO,10.56714999580079
SssS,0
StCH,0
StsC,0
TIC0,61.744439848385895
TIC1,144.861111364491
TIC2,180.12223629333107
