DLiP-ID,C0028T
DLiP-Mol-ID,29304
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H21N3O3/c1-24-18-5-3-2-4-15(18)20-8-10-21(11-9-20)19-13-14-6-7-16(22)17(23)12-14/h2-7,12-13,22-23H,8-11H2,1H3/b19-13+"
Standard Inchi Key(RDKit),DNVXABBKUHQVDA-CPNJWEJPSA-N
Canonical SMILES(RDKit),COc1ccccc1N1CCN(/N=C/c2ccc(O)c(O)c2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),327.384
MW Monoisotopic(RDKit),327.158291532
MolLogP(RDKit),2.2625
XLogP(SDF),
XLogP(CDK),3.604
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),68.53
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.665871772371516
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,364992.0363483545
qed,0.6658717723715161
Chi0,16.94094682093905
Chi1,11.669035095596021
TPSA,68.53
Chi0n,13.591545546226854
Chi0v,13.591545546226854
Chi1n,7.86036205825727
Chi1v,7.86036205825727
Chi2n,5.605281325607652
Chi2v,5.605281325607652
Chi3n,4.051496465480347
Chi3v,4.051496465480347
Chi4n,2.712368329391605
Chi4v,2.712368329391605
MolMR,94.14560000000003
MolWt,327.38400000000007
fr_SH,0
Kappa1,15.984994218945344
Kappa2,7.122834172007409
Kappa3,3.5344928287410458
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,725.1989667667755
MolLogP,2.2625
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.604118814004097
SMR_VSA1,14.94991774348146
SMR_VSA2,0.0
SMR_VSA3,5.008912523954532
SMR_VSA4,5.101407525739723
SMR_VSA5,0.0
SMR_VSA6,38.188732895778315
SMR_VSA7,48.02802097092827
SMR_VSA8,0.0
SMR_VSA9,17.248535499851716
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,2
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,140.75945743881215
NHOHCount,2
PEOE_VSA1,19.84982747433194
PEOE_VSA2,5.008912523954532
PEOE_VSA3,0.0
PEOE_VSA4,5.101407525739723
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,35.89528683400505
PEOE_VSA8,13.08951281182515
PEOE_VSA9,32.10129720732156
RingCount,3
SMR_VSA10,11.90198685421888
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,2
ExactMolWt,327.158291532
NumHDonors,2
PEOE_VSA10,5.749511833283905
PEOE_VSA11,11.49902366656781
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,9.636772684650527
SlogP_VSA2,54.725391058099085
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,5.563451491696996
SlogP_VSA6,47.565977004970996
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,1
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,11.49902366656781
EState_VSA3,0.0
EState_VSA4,43.17937522331476
EState_VSA5,12.13273413692322
EState_VSA6,19.39076518927446
EState_VSA7,23.208013729339363
EState_VSA8,16.06768432505181
EState_VSA9,4.736862953800049
SlogP_VSA10,5.687386274683562
SlogP_VSA11,17.248535499851716
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,54.83333333333334
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,10.213054789681411
EState_VSA11,0.0
FractionCSP3,0.2777777777777778
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,1
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.8899999999999997
NumHAcceptors,6
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,24
HeavyAtomMolWt,306.21600000000007
MaxEStateIndex,9.503424236690346
MinEStateIndex,-0.13894265491675006
NumHeteroatoms,6
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.0
FpDensityMorgan2,1.75
FpDensityMorgan3,2.4583333333333335
MaxPartialCharge,0.1575471959899791
MinPartialCharge,-0.5042596218325394
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,9.503424236690346
MinAbsEStateIndex,0.12724749544422886
NumAliphaticRings,1
NumRotatableBonds,4
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.5042596218325394
MinAbsPartialCharge,0.1575471959899791
NumRadicalElectrons,0
NumValenceElectrons,126
fr_para_hydroxylation,2
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,2
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,327.1582915320006
MZ,0.6444444444444445
Mi,1.1302425394231652
Mm,0.6057114311880776
Mp,0.6622575249501
Mv,0.6246106655811113
SZ,29.000000000000004
Si,50.860914274042436
Sm,27.25701440346349
