DLiP-ID,C0011X
DLiP-Mol-ID,31708
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H13NO3/c1-20-13-9-6-12(7-10-13)8-11-16-18-17(19)14-4-2-3-5-15(14)21-16/h2-11H,1H3/b11-8-"
Standard Inchi Key(RDKit),TWCMCYYZVRDTPJ-FLIBITNWSA-N
Canonical SMILES(RDKit),COc1ccc(/C=C\c2nc(=O)c3ccccc3o2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),279.295
MW Monoisotopic(RDKit),279.089543276
MolLogP(RDKit),3.367
XLogP(SDF),
XLogP(CDK),4.57
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),52.33
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.737287589530455
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,89011.27417163088
qed,0.7372875895304554
Chi0,14.656489770562878
Chi1,10.258351493073059
TPSA,52.33
Chi0n,11.445461158787808
Chi0v,11.445461158787808
Chi1n,6.4813595436500515
Chi1v,6.4813595436500515
Chi2n,4.459908193681447
Chi2v,4.459908193681447
Chi3n,3.0778959158082695
Chi3v,3.0778959158082695
Chi4n,1.9819364439359417
Chi4v,1.9819364439359417
MolMR,82.20100000000002
MolWt,279.29499999999996
fr_SH,0
Kappa1,13.119272753143168
Kappa2,5.626045013344558
Kappa3,2.840477853745542
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,847.7882612710162
MolLogP,3.3670000000000027
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.9307854841920358
SMR_VSA1,9.154013890853395
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,7.109797541277533
SMR_VSA7,70.33891604053963
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,120.87491730280799
NHOHCount,0
PEOE_VSA1,9.154013890853395
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,4.9839785209472085
PEOE_VSA5,0.0
PEOE_VSA6,24.26546827384644
PEOE_VSA7,35.90493987237732
PEOE_VSA8,6.076020106833881
PEOE_VSA9,12.49602175574233
RingCount,3
SMR_VSA10,23.1212845697748
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,279.08954327600003
NumHDonors,0
PEOE_VSA10,11.332531974926148
PEOE_VSA11,0.0
PEOE_VSA12,5.890723922025908
PEOE_VSA13,5.559266895052008
PEOE_VSA14,0.0
SlogP_VSA1,10.296129848852058
SlogP_VSA2,12.093776062224741
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,11.454175413722904
SlogP_VSA6,57.74262466881805
SlogP_VSA7,0.0
SlogP_VSA8,23.1212845697748
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,11.449990817077916
EState_VSA3,10.969244356107037
EState_VSA4,11.3129633249809
EState_VSA5,0.0
EState_VSA6,31.38491885349624
EState_VSA7,36.407855449141934
EState_VSA8,4.9839785209472085
EState_VSA9,9.154013890853395
SlogP_VSA10,0.0
SlogP_VSA11,5.749511833283905
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,5.586629582388511
VSA_EState9,43.4133704176115
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,4.794537184071822
EState_VSA11,0.0
FractionCSP3,0.058823529411764705
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.8799999999999994
NumHAcceptors,4
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,21
HeavyAtomMolWt,266.191
MaxEStateIndex,11.872846317743505
MinEStateIndex,-0.2858973001505465
NumHeteroatoms,4
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.0476190476190477
FpDensityMorgan2,1.8095238095238095
FpDensityMorgan3,2.5714285714285716
MaxPartialCharge,0.2835592744569194
MinPartialCharge,-0.4967678242053162
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,11.872846317743505
MinAbsEStateIndex,0.2858973001505465
NumAliphaticRings,0
NumRotatableBonds,3
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.4967678242053162
MinAbsPartialCharge,0.2835592744569194
NumRadicalElectrons,0
NumValenceElectrons,104
fr_para_hydroxylation,1
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,279.08954327600037
MZ,0.715686274509804
Mi,1.1064199757503066
Mm,0.6839196422886864
Mp,0.7144119232123989
Mv,0.6889482824678824
SZ,24.333333333333336
Si,37.61827917551042
Sm,23.253267837815336
Sp,24.290005389221562
Sv,23.424241603908
nB,0
nC,17
nF,0
nH,13
nI,0
nN,1
nO,3
nP,0
nS,0
nX,0
ABC,16.291965537992017
AMW,8.208515978705893
IC0,1.4890077783311209
IC1,2.8758908000764944
IC2,3.7352814162198364
IC3,4.712319091186707
IC4,4.947613208833767
IC5,4.947613208833767
MID,43.16310730940139
Mpe,0.9839677047289503
Mse,1.0125315967610644
NdO,1
NdS,0
NsF,0
NsI,0
NtN,0
SMR,82.20100000000002
SdO,11.872846317743505
SdS,0
Spe,33.45490196078431
SsF,0
SsI,0
Sse,34.42607428987619
StN,0
fMF,0.5294117647058824
nBr,0
nCl,0
AMID,2.055386062352447
BIC0,0.271130300139721
BIC1,0.5236649177667398
BIC2,0.6801495507438475
BIC3,0.8580562896585949
BIC4,0.9009005015338747
BIC5,0.9009005015338747
CIC0,3.5984550629192182
CIC1,2.2115720411738446
CIC2,1.3521814250305026
CIC3,0.3751437500636321
CIC4,0.13984963241657233
CIC5,0.13984963241657233
GGI1,4.0
GGI2,2.000000000000001
GGI3,1.0
GGI4,1.2088888888888891
GGI5,0.38888888888888895
GGI6,0.2220408163265306
GGI7,0.27951388888888884
GGI8,0.11060720584530107
GGI9,0.0925
JGI1,0.17391304347826084
JGI2,0.06451612903225809
JGI3,0.03225806451612903
JGI4,0.05037037037037037
JGI5,0.020467836257309944
JGI6,0.013061224489795919
JGI7,0.016441993464052285
JGI8,0.006912950365331317
JGI9,0.007115384615384616
MIC0,13.580357407852832
MIC1,27.517182028571966
MIC2,37.83932271906965
MIC3,41.41311787190684
MIC4,41.65029434249508
MIC5,41.65029434249508
MPC2,31
MPC3,40
MPC4,50
MPC5,63
MPC6,61
MPC7,62
MPC8,66
MPC9,74
Mare,0.9961176470588238
NaaN,1
NaaO,1
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,1
NssS,0
NtCH,0
NtsC,0
RNCG,0.2800487582412953
RPCG,0.1598541991452375
SIC0,0.29268179931613403
SIC1,0.5652897897863939
SIC2,0.7342130120211003
SIC3,0.9262611321655504
SIC4,0.9725109279850382
SIC5,0.9725109279850382
SaaN,3.9164027462836986
SaaO,5.586629582388511
SaaS,0
Sare,33.86800000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,5.099595913580783
SssS,0
StCH,0
StsC,0
TIC0,50.62626446325811
TIC1,97.78028720260082
TIC2,126.99956815147443
TIC3,160.21884910034805
TIC4,168.21884910034808
TIC5,168.21884910034808
Vabc,246.45814183260595
WPol,31
apol,40.56430899999999
bpol,18.521690999999997
nRot,3
ABCGG,12.329539031758136
ATS0Z,866.0
ATS0d,121.0
ATS0i,5327.027450062737
ATS0m,3429.7989409999996
ATS0p,56.330879763037004
ATS0s,156.16666666666669
ATS0v,8496.362511455452
ATS1Z,978.0
ATS1d,148.0
ATS1i,5113.3361122426995
ATS1m,3762.914178999999
ATS1p,69.46917603
ATS1s,128.38888888888889
ATS1v,10423.514713449234
ATS2Z,1387.0
ATS2d,218.0
ATS2i,8478.667042269197
ATS2m,5260.773542999999
ATS2p,97.25036887254699
ATS2s,211.1666666666667
ATS2v,14445.193029917937
ATS3Z,1443.0
ATS3d,231.0
ATS3i,10309.228090006794
ATS3m,5374.716127
ATS3p,105.046533733094
ATS3s,233.16666666666669
ATS3v,15319.092984937379
ATS4Z,1224.0
ATS4d,192.0
ATS4i,10428.054937051595
