DLiP-ID,I000I6
DLiP-Mol-ID,28452
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H29N5O3/c1-17(27-2)25(33)30-22-15-28-24(19-10-4-3-5-11-19)31(26(22)34)16-23(32)29-21-14-8-12-18-9-6-7-13-20(18)21/h3-7,9-11,13,15,17,21,27H,8,12,14,16H2,1-2H3,(H,29,32)(H,30,33)/t17-,21+/m0/s1"
Standard Inchi Key(RDKit),ISIMRBVYDGGLCG-LAUBAEHRSA-N
Canonical SMILES(RDKit),CN[C@@H](C)C(=O)Nc1cnc(-c2ccccc2)n(CC(=O)N[C@@H]2CCCc3ccccc32)c1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),459.55
MW Monoisotopic(RDKit),459.227039788
MolLogP(RDKit),2.6505
XLogP(SDF),
XLogP(CDK),3.494
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),105.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.50386718720086
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP_Smac
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,52146850.30682989
qed,0.5038671872008603
Chi0,24.078775022443736
Chi1,16.47356554823633
TPSA,105.12
Chi0n,19.37580241741321
Chi0v,19.37580241741321
Chi1n,11.481734370236417
Chi1v,11.481734370236417
Chi2n,8.463559586715407
Chi2v,8.463559586715407
Chi3n,6.169678236295471
Chi3v,6.169678236295471
Chi4n,4.201739911486989
Chi4v,4.201739911486989
MolMR,131.3481
MolWt,459.5500000000003
fr_SH,0
Kappa1,23.380598654328992
Kappa2,10.436196914386523
Kappa3,5.06982126509417
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1238.683540598468
MolLogP,2.6505
NOCount,8
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.6346050661505052
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,20.184655376751223
SMR_VSA4,0.0
SMR_VSA5,44.814640132677155
SMR_VSA6,12.36446058668352
SMR_VSA7,82.27485425028539
SMR_VSA8,0.0
SMR_VSA9,11.387855989696924
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,197.9726018215057
NHOHCount,3
PEOE_VSA1,15.950365812018994
PEOE_VSA2,18.95071120000682
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,54.59730361615449
PEOE_VSA7,44.36077703453984
PEOE_VSA8,5.563451491696996
PEOE_VSA9,18.280525229909
RingCount,4
SMR_VSA10,17.501745733386574
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,459.227039788
NumHDonors,3
PEOE_VSA10,18.056547178596066
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,5.559266895052008
PEOE_VSA14,0.0
SlogP_VSA1,21.509632707071002
SlogP_VSA2,34.454950439266725
SlogP_VSA3,22.554652396982227
SlogP_VSA4,0.0
SlogP_VSA5,36.934124258084594
SlogP_VSA6,65.58868437183939
SlogP_VSA7,0.0
SlogP_VSA8,11.387855989696924
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,11.601107724199968
EState_VSA2,30.088342968447108
EState_VSA3,11.387855989696924
EState_VSA4,24.825916360475023
EState_VSA5,16.327394711101427
EState_VSA6,13.971409182367815
EState_VSA7,48.53093654769288
EState_VSA8,27.00071140142781
EState_VSA9,0.0
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,1.3185041099773243
VSA_EState9,78.18149589002266
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,14.383611552215466
EState_VSA11,0.0
FractionCSP3,0.3076923076923077
VSA_EState10,0.0
fr_C_O_noCOO,2
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-3.7799999999999994
NumHAcceptors,6
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,34
HeavyAtomMolWt,430.31800000000027
MaxEStateIndex,13.343421840588595
MinEStateIndex,-0.4895201744416413
NumHeteroatoms,8
fr_aryl_methyl,1
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.1176470588235294
FpDensityMorgan2,1.8529411764705883
FpDensityMorgan3,2.6176470588235294
MaxPartialCharge,0.2775511689696905
MinPartialCharge,-0.34773596307055626
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,13.343421840588595
MinAbsEStateIndex,0.03017882628768276
NumAliphaticRings,1
NumRotatableBonds,7
NumSaturatedRings,0
fr_Ndealkylation1,1
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.34773596307055626
MinAbsPartialCharge,0.2775511689696905
NumRadicalElectrons,0
NumValenceElectrons,176
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,1
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,459.2270397880008
MZ,0.6455026455026452
Mi,1.1286277678186423
Mm,0.6073136661763755
Mp,0.6716376485124989
Mv,0.6315987031490801
SZ,40.66666666666665
Si,71.10354937257446
Sm,38.26076096911166
Sp,42.313171856287425
Sv,39.79071829839204
nB,0
nC,26
nF,0
nH,29
nI,0
nN,5
nO,3
nP,0
nS,0
nX,0
ABC,26.317429301227804
AMW,7.289318091873029
IC0,1.541448026563912
IC1,3.7033373684811637
IC2,4.903490391884925
IC3,5.451574915900491
IC4,5.667600955177267
IC5,5.6993469869233
MID,69.44429446368798
Mpe,0.9686896981014627
Mse,1.0028786459959078
NdO,3
NdS,0
NsF,0
NsI,0
NtN,0
SMR,131.3481
SdO,38.7966064010121
SdS,0
Spe,61.027450980392146
SsF,0
SsI,0
Sse,63.18135469774219
StN,0
fMF,0.3968253968253968
nBr,0
nCl,0
AMID,2.0424792489319996
BIC0,0.24597104378043594
BIC1,0.5909467865919228
BIC2,0.7824569035570175
BIC3,0.8699155269609655
BIC4,0.9043871078699304
BIC5,0.9094528670975476
CIC0,4.435831896936005
CIC1,2.273942555018753
CIC2,1.0737895316149917
CIC3,0.5257050075994254
CIC4,0.3096789683226495
CIC5,0.277932936576617
GGI1,6.0
GGI2,4.222222222222224
GGI3,2.375
GGI4,1.9911111111111115
GGI5,1.2777777777777775
GGI6,0.8506122448979593
GGI7,0.6336805555555556
GGI8,0.5265810027714789
GGI9,0.3231250000000001
JGI1,0.16216216216216214
JGI2,0.08278867102396519
JGI3,0.04241071428571428
JGI4,0.03756813417190777
JGI5,0.023662551440329218
JGI6,0.016678671468587432
JGI7,0.013482565011820331
JGI8,0.010746551076968957
JGI9,0.0064625
MIC0,14.258401449251723
MIC1,33.79748982805897
MIC2,39.66571721092824
MIC3,42.72172409590147
MIC4,43.28877993079404
MIC5,43.32077993079404
MPC2,51
MPC3,68
MPC4,87
MPC5,111
MPC6,115
MPC7,130
MPC8,149
MPC9,162
Mare,0.9819047619047623
NaaN,1
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.11375257674010088
RPCG,0.09079348701452364
SIC0,0.2578845304707325
SIC1,0.6195690039412984
SIC2,0.8203548193563188
SIC3,0.9120494582272122
SIC4,0.9481906532258705
SIC5,0.9535017700134952
SaaN,4.4315927308455265
SaaO,0
SaaS,0
Sare,61.86000000000002
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,97.11122567352646
TIC1,233.31025421431332
TIC2,308.9198946887503
TIC3,343.44921970173095
TIC4,357.05886017616785
TIC5,359.0588601761679
Vabc,428.4796743949758
WPol,56
apol,70.66299699999999
bpol,36.25700300000001
nRot,7
ABCGG,20.299905191269776
ATS0Z,1402.0
ATS0d,205.0
ATS0i,10271.819338500723
ATS0m,5529.217250000002
