DLiP-ID,C000TG
DLiP-Mol-ID,31339
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H10N2O3S/c15-12(8-11-5-2-6-18-11)13-9-3-1-4-10(7-9)14(16)17/h1-7H,8H2,(H,13,15)"
Standard Inchi Key(RDKit),OZYGGTPZTXULJW-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Cc1cccs1)Nc1cccc([N+](=O)[O-])c1
SMILES(SDF),
MW(SDF),
MW(RDKit),262.29
MW Monoisotopic(RDKit),262.04121318
MolLogP(RDKit),2.8375
XLogP(SDF),
XLogP(CDK),1.759
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),72.24
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.679831134886411
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,16549.505701981685
qed,0.6798311348864107
Chi0,12.957819157813608
Chi1,8.647867045540842
TPSA,72.24
Chi0n,9.32876542286934
Chi0v,10.145262003797066
Chi1n,5.2165215077734155
Chi1v,6.096174319028311
Chi2n,3.611754656436968
Chi2v,4.64399983879872
Chi3n,2.2556188080483275
Chi3v,3.132006172739941
Chi4n,1.4738213223392505
Chi4v,2.177311149944297
MolMR,69.74910000000001
MolWt,262.28999999999996
fr_SH,0
Kappa1,12.252284869216162
Kappa2,5.415119636893004
Kappa3,3.1431125153109756
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,566.4613167542892
MolLogP,2.8375000000000012
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.0252045892603774
SMR_VSA1,9.717848232889493
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
SMR_VSA6,5.316788604006331
SMR_VSA7,56.769730643702445
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,107.22310483091732
NHOHCount,1
PEOE_VSA1,5.316788604006331
PEOE_VSA2,14.908855452837393
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,12.13273413692322
PEOE_VSA7,17.512796907389134
PEOE_VSA8,22.69726760530808
PEOE_VSA9,11.34413267174368
RingCount,2
SMR_VSA10,28.618738156653365
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,262.04121318
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,5.687386274683562
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,10.830490778169176
SlogP_VSA3,11.21535880699783
SlogP_VSA4,10.114318268765572
SlogP_VSA5,4.877147193701299
SlogP_VSA6,41.778265181235575
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,4.923311048817671
EState_VSA2,18.015387626961076
EState_VSA3,5.687386274683562
EState_VSA4,4.877147193701299
EState_VSA5,23.469520014857956
EState_VSA6,12.13273413692322
EState_VSA7,17.512796907389134
EState_VSA8,5.316788604006331
EState_VSA9,0.0
SlogP_VSA10,11.374772549367124
SlogP_VSA11,0.0
SlogP_VSA12,11.336785877934737
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
