DLiP-ID,T006LS
DLiP-Mol-ID,24213
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H20N2O5/c1-17-4-2-5-21(14-17)29-16-22(26)25-24-15-18-7-9-20(10-8-18)30-23(27)12-11-19-6-3-13-28-19/h2-15H,16H2,1H3,(H,25,26)/b12-11+,24-15+"
Standard Inchi Key(RDKit),VGCKWUAYSBMKKE-YYTNQIMQSA-N
Canonical SMILES(RDKit),Cc1cccc(OCC(=O)N/N=C/c2ccc(OC(=O)/C=C/c3ccco3)cc2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),404.422
MW Monoisotopic(RDKit),404.13722174
MolLogP(RDKit),3.73592
XLogP(SDF),
XLogP(CDK),4.587
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),90.13
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.203098024013364
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,7711461.034480139
qed,0.2030980240133644
Chi0,21.183587508058327
Chi1,14.580520035918413
TPSA,90.13000000000001
Chi0n,16.278465597660585
Chi0v,16.278465597660585
Chi1n,9.131916292943421
Chi1v,9.131916292943421
Chi2n,6.237246782257501
Chi2v,6.237246782257501
Chi3n,3.7877475789082165
Chi3v,3.7877475789082165
Chi4n,2.3734720013082686
Chi4v,2.3734720013082686
MolMR,112.22970000000001
MolWt,404.42200000000014
fr_SH,0
Kappa1,20.60032451528954
Kappa2,10.423998688683193
Kappa3,6.793252874071687
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1037.7201281028754
MolLogP,3.735920000000002
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.4222357349471342
SMR_VSA1,23.479951212797086
SMR_VSA2,0.0
SMR_VSA3,5.425791397110385
SMR_VSA4,5.101407525739723
SMR_VSA5,6.923737199690624
SMR_VSA6,6.606881964512918
SMR_VSA7,89.8900041893575
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,2
fr_furan,1
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,173.17036791309823
NHOHCount,1
PEOE_VSA1,13.890876844653445
PEOE_VSA2,4.794537184071822
PEOE_VSA3,10.220328581182207
PEOE_VSA4,5.101407525739723
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,72.65759683761138
PEOE_VSA8,6.076020106833881
PEOE_VSA9,12.477763575174373
RingCount,3
SMR_VSA10,24.167105703672554
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,404.13722174
NumHDonors,1
PEOE_VSA10,17.25927108544225
PEOE_VSA11,6.606881964512918
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
SlogP_VSA1,14.899517304710482
SlogP_VSA2,24.69796756135159
SlogP_VSA3,9.589074368143644
SlogP_VSA4,6.923737199690624
SlogP_VSA5,16.887150402268432
SlogP_VSA6,82.52141224988213
SlogP_VSA7,0.0
SlogP_VSA8,6.076020106833881
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,1
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.969305287951849
EState_VSA2,12.514061693864424
EState_VSA3,17.25927108544225
EState_VSA4,11.126902983393991
EState_VSA5,24.629803788842136
EState_VSA6,42.46456947923127
EState_VSA7,25.122838405075452
EState_VSA8,10.527198922850108
EState_VSA9,13.890876844653445
SlogP_VSA10,0.0
SlogP_VSA11,11.49902366656781
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,5.099664515388627
VSA_EState9,68.06700215127805
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,9.589074368143644
EState_VSA11,0.0
FractionCSP3,0.08695652173913043
VSA_EState10,0.0
fr_C_O_noCOO,2
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-4.129999999999999
NumHAcceptors,6
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,30
HeavyAtomMolWt,384.2620000000002
MaxEStateIndex,11.793199629653973
MinEStateIndex,-0.5197312238460323
NumHeteroatoms,7
fr_aryl_methyl,1
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.0666666666666667
FpDensityMorgan2,1.9
FpDensityMorgan3,2.6333333333333333
MaxPartialCharge,0.33578349307934785
MinPartialCharge,-0.48370312544846955
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,11.793199629653973
MinAbsEStateIndex,0.13769261617932016
NumAliphaticRings,0
NumRotatableBonds,8
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.48370312544846955
MinAbsPartialCharge,0.33578349307934785
NumRadicalElectrons,0
NumValenceElectrons,152
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,404.13722174000054
MZ,0.7066666666666666
Mi,1.1156260668010622
Mm,0.6734193655815502
Mp,0.6940821556886229
Mv,0.6701640138408306
SZ,35.33333333333333
Si,55.78130334005311
Sm,33.67096827907751
Sp,34.704107784431145
Sv,33.50820069204153
nB,0
nC,23
nF,0
nH,20
nI,0
nN,2
nO,5
nP,0
nS,0
nX,0
ABC,22.95558639719305
AMW,8.082744434800011
IC0,1.5620536425448175
IC1,3.3101152518935115
IC2,4.473269689515108
IC3,5.3736606896881876
IC4,5.508758439731458
IC5,5.508758439731458
MID,60.75030271421392
Mpe,0.9876862745098041
Mse,1.0171595047341588
NdO,2
NdS,0
NsF,0
NsI,0
NtN,0
SMR,112.22970000000001
SdO,23.57906947596307
SdS,0
Spe,49.3843137254902
SsF,0
SsI,0
Sse,50.857975236707944
StN,0
fMF,0.54
nBr,0
nCl,0
AMID,2.0250100904737973
BIC0,0.2603422737574696
BIC1,0.5516858753155852
BIC2,0.745544948252518
BIC3,0.8956101149480312
BIC4,0.9181264066219096
BIC5,0.9181264066219096
CIC0,4.081802547229907
CIC1,2.333740937881213
CIC2,1.170586500259616
CIC3,0.2701955000865368
CIC4,0.13509775004326663
CIC5,0.13509775004326663
GGI1,6.0
GGI2,2.222222222222223
GGI3,1.0972222222222223
GGI4,1.1694444444444447
GGI5,0.5519444444444445
GGI6,0.5584580498866213
GGI7,0.22654478458049887
GGI8,0.19351536911060718
GGI9,0.1318827160493827
JGI1,0.1875
JGI2,0.054200542005420085
JGI3,0.03047839506172839
JGI4,0.0365451388888889
JGI5,0.01724826388888889
JGI6,0.018014775802794238
JGI7,0.007811889123465479
JGI8,0.00744289881194643
JGI9,0.00549511316872428
MIC0,14.63930677182024
MIC1,31.585058575606748
MIC2,42.54344042363368
MIC3,45.377635095534224
MIC4,45.51381362757784
MIC5,45.51381362757784
MPC2,41
MPC3,47
MPC4,55
MPC5,60
MPC6,56
MPC7,58
MPC8,58
MPC9,59
Mare,1.00112
NaaN,0
NaaO,1
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,1
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,2
NssS,0
NtCH,0
NtsC,0
RNCG,0.176079663456104
RPCG,0.12223333144831074
SIC0,0.276770631642754
SIC1,0.5864988654194669
SIC2,0.7925910120848879
SIC3,0.95212572911123
SIC4,0.9760628645556153
SIC5,0.9760628645556153
SaaN,0
SaaO,5.099664515388627
SaaS,0
Sare,50.056000000000004
SdNH,0
SdSe,0
SddC,0
SdsN,3.8860044284180564
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,10.596257266780158
SssS,0
StCH,0
StsC,0
TIC0,78.10268212724087
TIC1,165.5057625946756
TIC2,223.6634844757554
TIC3,268.6830344844094
TIC4,275.43792198657286
TIC5,275.43792198657286
Vabc,370.90189083322537
WPol,36
apol,57.955859999999994
bpol,27.578139999999994
nRot,8
ABCGG,16.59710460445972
ATS0Z,1266.0
ATS0d,166.0
ATS0i,7964.359785187481
ATS0m,5010.628166
ATS0p,78.67297809697999
ATS0s,251.69444444444443
ATS0v,11931.14586011834
ATS1Z,1394.0
ATS1d,198.0
ATS1i,7534.954357431399
ATS1m,5343.684384
ATS1p,96.05643418999999
ATS1s,189.91666666666669
ATS1v,14467.987774768768
ATS2Z,1914.0
ATS2d,286.0
ATS2i,12358.279075763345
ATS2m,7197.271245
ATS2p,131.022862097396
ATS2s,310.97222222222223
ATS2v,19440.200342510198
ATS3Z,1848.0
ATS3d,288.0
ATS3i,15359.825081200945
ATS3m,6671.251788
ATS3p,135.30891946594298
ATS3s,361.08333333333337
ATS3v,19327.152078763214
ATS4Z,1640.0
ATS4d,265.0
ATS4i,15506.144625844132
ATS4m,5918.663692
ATS4p,122.85089254928201
ATS4s,313.7777777777778
ATS4v,17250.06099042565
ATS5Z,1631.0
ATS5d,247.0
ATS5i,14089.153496318986
ATS5m,5962.620948000001
ATS5p,112.94875597473501
ATS5s,335.58333333333326
ATS5v,16266.477657203659
ATS6Z,1565.0
ATS6d,228.0
ATS6i,13288.392329237937
ATS6m,5724.382319
ATS6p,106.902237221037
ATS6s,320.3333333333333
ATS6v,15599.722050138958
ATS7Z,1445.0
ATS7d,222.0
ATS7i,12847.388125952435
ATS7m,5288.642309000001
ATS7p,102.06206702958399
ATS7s,291.80555555555554
ATS7v,14689.061241012978
ATS8Z,1328.0
ATS8d,204.0
ATS8i,11701.193851216743
ATS8m,4763.690706
ATS8p,96.90812679594299
